"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Africa","January",0.105,-0.337,0.448,-0.09,-0.14,0.578,-0.54,-0.594,0.141,0.792,-0.323,-0.114,0.375,-0.546,-0.675,-0.596,0.387,0.14,0.841,0.559,-0.543,0.472,-0.995,-0.378,0.853,-0.172,0.39,0.516,-1.202,0.292,0.215,-0.274,-0.444,0.271,-0.118,0.987,0.575,0.522,0.471,0.146,0.216,-0.094,0.917,0.86,0.228,0.921,0.369,-0.068,0.864,1.602,0.643,0.016,0.896,1.07,0.243,1.366,0.636,0.67,0.759
"2","Africa","February",-0.814,-0.499,0.569,0.023,-0.12,0.09,-0.195,-0.273,0.902,0.409,-0.38,-0.311,0.628,-0.329,-0.094,-0.495,0.253,0.777,0.515,0.452,-0.149,-0.19,0.462,-0.026,-0.058,0.673,0.87,0.641,-1.12,-0.026,0.392,-0.199,-0.518,-0.108,0.307,0.685,-0.232,1.3,0.348,-0.274,-0.074,0.675,0.895,0.664,1.531,1.01,1.044,0.167,0.928,2.412,0.632,0.068,1.003,0.72,0.921,1.303,0.958,1.13,0.654
"3","Africa","March",-0.492,0.193,-0.443,0.885,-0.094,-0.353,-0.42,-0.556,1.151,0.111,0.247,-0.145,0.426,-0.32,-0.183,-0.634,-0.127,0.176,0.482,0.393,0.467,0.117,0.34,0.666,0.483,0.338,0.628,0.769,-0.281,-0.012,0.455,0.339,0.128,0.698,0.592,0.514,0.114,0.595,0.604,0.323,1.244,1.025,0.759,0.862,1.566,0.871,0.845,0.975,0.788,1.692,1.147,0.528,1.797,0.714,0.937,1.655,1.021,1.52,1.337
"4","Africa","April",0.318,-0.003,-0.203,-0.122,-0.668,0.001,0.055,-0.402,0.177,0.251,-0.047,-0.06,0.467,-0.194,0.097,-0.384,0.092,0.128,0.412,0.665,0.544,0.296,0.947,0.608,-0.098,0.624,0.676,1.062,0.139,0.764,0.236,0.597,0.51,0.583,0.4,0.462,-0.043,1.876,0.966,1.136,0.97,1.024,1.259,0.814,1.373,1.092,1.119,0.65,0.851,2.105,1.151,0.954,1.043,1.162,0.942,1.956,1.306,1.285,1.645
"5","Africa","May",0.684,-0.224,-0.719,-0.07,-0.266,-0.016,0.1,-0.272,0.299,0.21,-0.123,-0.283,0.62,-0.162,-0.061,-0.345,0.221,0.16,0.201,0.382,0.123,-0.072,1.081,0.643,0.269,0.452,1.088,0.906,0.216,0.54,0.01,0.163,0.537,0.766,0.777,0.753,0.2,1.096,0.983,0.88,0.905,1.122,1.135,0.771,1.215,0.591,1.12,1.057,0.944,1.611,1.138,1.054,1.137,1.142,1.666,1.404,1.63,1.2,1.684
"6","Africa","June",0.28,-0.135,0.004,-0.249,-0.325,0.302,-0.069,-0.637,0.422,0.35,-0.025,-0.167,0.586,0.162,-0.041,-0.205,0.204,-0.156,0.136,0.223,0.326,0.381,0.654,0.236,0.514,0.293,0.451,0.642,0.267,0.946,0.649,0.458,0.692,0.419,0.991,0.338,0.974,1.056,1.214,0.695,0.605,0.674,0.77,0.594,0.887,1.005,0.916,0.882,1.452,1.241,1.092,1.093,1.009,1.242,1.164,1.465,1.471,1.201,1.637
"7","Africa","July",0.047,0.19,0.246,-0.617,0.109,0.494,-0.334,-0.041,-0.012,0.217,-0.071,0.47,0.573,-0.327,-0.12,-0.16,0.465,-0.208,0.256,0.154,0.062,0.563,0.865,0.318,0.157,0.225,1.119,0.621,0.264,0.426,0.346,0.041,0.74,0.2,0.9,0.411,0.929,1.178,0.732,0.653,0.69,1.485,0.942,0.654,1.022,1.271,0.863,1.059,1.174,1.181,1.196,0.943,0.938,1.475,1.607,1.174,1.494,1.52,1.728
"8","Africa","August",-0.422,-0.118,0.106,-0.436,-0.118,0.417,-0.248,0.309,0.177,0.198,-0.278,0.218,0.158,-0.058,-0.301,-0.235,0.283,0.306,0.61,0.362,0.205,0.221,0.484,0.608,0.445,0.652,0.919,0.531,0.635,0.589,0.328,0.019,0.614,0.361,1.113,0.609,1.048,0.921,0.628,0.505,0.817,1.166,0.786,1.117,1.212,0.989,0.733,1.039,1.133,1.093,0.943,0.984,0.633,1.206,1.629,1.218,1.274,1.341,1.632
"9","Africa","September",-0.257,0.088,0.439,-0.616,-0.087,-0.029,-0.247,0.132,0.171,0.023,-0.269,0.526,0.379,-0.324,-0.137,0.095,0.329,0.035,0.381,0.406,0.022,0.467,0.533,0.511,0.15,0.331,0.95,0.271,0.558,0.619,0.492,0.215,0.63,0.431,0.856,0.605,1.138,0.909,0.413,0.678,0.824,1.132,0.901,0.649,1.065,0.759,0.961,1.064,1.095,1.103,1.126,0.73,0.937,1.106,1.396,1.342,1.546,1.364,1.411
"10","Africa","October",-0.322,0.268,0.138,-0.47,-0.191,0.158,-0.246,0.009,0.066,-0.132,-0.393,0.47,0.29,-0.116,-0.351,0.032,0.104,-0.02,0.636,0.442,0.501,0.103,0.017,0.464,0.25,0.101,0.547,0.153,0.159,0.892,0.184,0.484,0.852,0.324,0.618,0.289,0.758,0.754,0.432,0.236,0.807,0.67,1.42,1.175,1.027,1.103,0.884,0.898,1.093,1.416,0.606,1.23,0.962,0.96,2,1.908,1.06,1.22,1.46
"11","Africa","November",-0.148,0.504,0.017,-0.473,-0.244,0.207,-0.32,-0.017,0.408,-0.066,-0.502,-0.155,-0.309,-0.363,-0.24,-0.171,-0.009,-0.485,0.303,0.459,-0.066,-0.602,0.685,0.12,0.757,-0.149,0.884,0.074,0.585,1.136,0.206,-0.07,0.846,0.299,0.513,0.205,0.925,0.638,0.705,0.634,0.624,0.735,1.175,0.997,1.047,0.357,0.816,0.792,0.738,1.471,0.554,1.57,1.033,1.055,1.179,1.716,0.781,1.3,1.883
"12","Africa","December",-0.406,0.164,0.397,-0.221,-0.192,-0.046,-0.274,0.343,0.284,-0.339,-0.474,0.332,-0.266,-0.65,-0.022,0.584,0.074,0.555,-0.109,-0.242,0.841,-0.184,0.213,-0.115,0.031,-0.47,1.111,-0.451,0.722,1.076,-0.453,0.304,0.737,-0.003,0.766,0.725,0.689,0.486,0.354,0.5,1.11,1.023,0.744,1.024,1.311,0.145,0.533,1.064,1.559,1.177,0.206,0.777,0.582,0.805,0.81,1.508,0.911,1.153,1.371
