"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Albania","January",0.18,1.414,-1.783,-2.319,0.635,-1.501,-1.887,-2.29,-0.868,1.797,2.397,1.629,0.244,0.743,-0.648,-0.057,1.238,0.183,-0.528,-1.577,-2.543,0.336,0.61,1.098,-0.933,0.668,-0.167,2.543,-0.697,-0.972,-0.491,-0.192,-0.361,2.058,-0.052,1.158,2.025,1.946,1.038,-2.435,3.057,-1.06,2.04,-0.411,0.431,-1.06,2.755,1.229,1.152,1.137,0.812,-1.004,1.76,3.583,1.083,1.53,-2.47,2.304,-0.816
"2","Albania","February",-0.625,-2.125,-0.621,-0.932,-4.319,2.845,-1.224,1.316,0.453,0.136,-0.465,1.442,-0.105,1.708,-1.524,-0.354,3.226,0.897,1.464,-0.321,-1.157,-1.817,-2.272,-0.285,-3.434,-0.603,0.804,0.194,1.242,2.317,-1.721,-1.113,-2.075,0.405,2.24,-0.992,0.758,2.26,-1.408,-0.042,1.314,3.123,-3.763,0.486,-2.478,-0.379,2.374,1.08,-0.803,0.879,0.554,-2.714,1.219,3.502,0.378,4.611,2.622,0.765,1.563
"3","Albania","March",0.995,-0.782,-1.487,0.68,0.093,-0.636,0.477,-0.347,-0.139,-0.031,-2.375,1.59,-2.014,1.005,1.316,-1.071,2.007,0.692,1.964,-0.048,2.104,-0.673,0.781,-0.86,0.177,0.973,-4.313,-0.77,2.641,2.884,2.184,0.01,-0.899,2.188,-0.434,-2.114,0.204,-1.465,0.911,-0.159,4.308,2.819,-0.394,0.524,-0.098,0.181,2.25,1.946,0.058,1.079,1.521,2.081,1.42,2.363,0.777,1.67,3.419,1.768,3.119
"4","Albania","April",2.412,0.518,0.601,0.174,-1.076,1.285,-0.665,2.185,-0.649,0.307,0.568,1.129,-1.512,-1.155,0.076,-0.243,-0.178,-0.68,-1.112,-1.882,0.543,-0.819,1.615,-1.071,0.98,1.355,-0.16,-0.062,2.065,0.571,-1.061,0.299,0.35,0.602,-0.639,-0.419,-3.431,1.38,1.473,2.427,-0.18,0.517,-0.679,1.407,0.248,1.559,1.93,1.022,1.875,1.804,1.35,1.32,2.509,1.076,0.607,3.554,0.938,4.878,1.866
"5","Albania","May",-0.515,0.568,-0.074,-0.474,-0.781,-0.368,0.345,2.723,2.359,-1.951,1.531,0.079,1.039,-1.561,0.547,-0.054,0.95,-1.216,0.379,-2.036,-0.451,0.439,1.299,-0.019,1.664,1.778,-1.534,1.084,-0.72,0.718,-2.581,0.48,1.335,1.447,-0.041,1.432,1.339,0.295,1.798,2.333,1.772,1.009,3.568,-1.186,1.494,1.177,2.061,1.327,2.275,0.938,0.687,0.916,2.107,0.079,2.341,0.141,1.424,3.424,-0.822
"6","Albania","June",0.176,-0.772,0.449,1.048,0.174,0.128,-1.463,-0.263,-1.001,0.128,0.056,1.174,0.018,-0.868,-0.595,-0.975,-0.33,-0.111,1.197,-1.11,1.358,1.632,-1.291,-1.051,-0.393,0.076,-0.014,0.021,-1.586,0.379,0.467,-0.293,0.972,0.511,0.507,1.265,1.428,1.564,1.412,1.981,0.354,1.941,4.046,0.521,0.522,0.615,2.604,1.929,0.563,0.847,1.384,3.084,0.896,1.052,1.278,1.974,2.879,1.709,3.474
"7","Albania","July",-0.338,0.355,1.178,-0.533,0.899,-0.083,0.129,-0.099,-1.418,-0.467,-0.88,-0.455,0.392,-0.252,-0.263,-0.795,0.535,-0.532,-0.699,-0.51,-0.725,0.282,0.725,-0.715,0.611,-0.495,2.238,3.179,0.202,0.978,0.092,-0.389,0.163,1.502,1.223,0.127,0.303,1.709,0.577,1.197,1.789,1.692,2.358,1.131,1.076,1.375,3.02,1.605,1.397,1.676,1.228,3.824,1.452,0.353,3.828,2.373,2.783,1.538,1.873
"8","Albania","August",-0.163,2.025,1.229,-0.726,-1.335,0.83,0.975,-1.87,-0.562,0.184,1.279,-1.181,-0.317,0.731,-0.822,-3.241,-0.136,-1.024,-1.037,0.156,0.017,0.478,-0.63,-1.104,0.818,1.592,0.222,2.086,0.251,0.571,0.053,2.951,2.026,2.578,-0.475,0.699,-0.443,2.628,2.029,2.105,2.655,0.194,3.367,0.503,-0.024,0.558,2.18,2.452,1.952,2.518,2.444,3.13,2.822,1.44,3.174,1.414,3.522,2.704,3.336
"9","Albania","September",0.569,1.05,1.214,-0.893,0.457,0.291,0.518,-0.427,0.654,0.217,-2.116,-2.021,1.174,0.631,1.676,-1.763,-1.182,-2.113,-0.529,0.001,0.391,2.41,-0.225,-0.136,0.746,1.134,3.541,0.543,0.153,-0.237,0.935,0.738,0.35,2.914,-0.961,-2.313,0.391,-0.04,1.55,0.708,0.224,-0.931,0.057,0.531,1.012,0.955,-0.51,-0.16,1.692,0.296,3.838,2.487,0.88,0.264,2.707,0.948,0.905,2.328,2.706
"10","Albania","October",1.053,0.965,-0.098,0.751,-0.395,3.118,1.674,-0.305,-0.096,-1.109,-1.823,-3.5,0.448,-1.073,-0.003,0.962,-0.392,-0.892,0.38,0.823,1.63,1.157,-0.625,1.988,-0.4,0.658,0.887,0.363,-0.822,1.842,0.322,1.842,1.999,1.058,0.197,-0.702,-1.35,1.033,1.8,1.585,2.822,0.326,0.428,2.796,0.401,1.893,0.191,1.169,0.109,-0.408,-0.083,2.858,1.783,1.068,1.732,1.018,0.644,2.789,3.004
"11","Albania","November",1.467,1.171,2.417,0.28,0.49,-0.275,0.682,0.709,1.631,0.127,-0.811,-0.438,-1.842,-1.133,-1.211,-0.338,1.091,-3.09,0.013,0.668,-3.421,-0.947,-1.805,0.384,0.409,-0.891,0.396,-4.322,-1,1.562,0.066,0.675,-1.267,0.14,-2.622,0.944,0.352,-1.242,-0.023,2.954,-0.548,1.342,1.505,-0.137,-0.659,-1.034,-1.49,1.322,0.802,2.859,-0.711,2.557,1.922,2.048,1.683,0.625,0.253,2.101,3.585
"12","Albania","December",-0.321,-2.019,0.884,0.45,0.972,-0.563,-0.474,-0.655,-0.885,0.011,-0.536,-1.118,-0.444,-1.027,-0.294,-0.197,-1.572,1.433,1.33,-1.37,0.481,1.241,-0.616,-0.607,1.45,-2.346,0.448,-1.635,-0.463,-1.119,-3.536,-0.95,1.384,-0.134,1.466,0.173,0.307,-2.233,1.018,1.713,-4.266,0.409,-0.085,1.46,0.07,0.33,-1.38,0.953,1.902,0.453,0.703,-0.831,-0.035,1.106,0.509,-0.872,0.476,0.04,2.052
