"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Algeria","January",-1.022,0.697,1.533,-0.69,0.01,1.88,-0.871,-1.491,0.773,1.757,-0.06,-0.709,-1.244,-0.157,-0.945,-1.875,1.159,0.074,3.128,-0.011,-2.041,0.533,-1.816,-0.644,-1.044,-0.544,-0.21,1.045,-1.243,-0.071,-0.92,-1.552,-1.402,0.127,-1.376,2.491,1.582,0.777,0.045,-1.33,0.806,-0.218,0.515,0.774,-1.732,-1.084,1.213,-0.233,0.37,2.197,1.496,-1.14,0.226,1.373,-0.519,2.288,-1.669,1.504,-0.874
"2","Algeria","February",0.196,-1.568,0.44,0.303,-0.713,2.307,0.083,0.608,1.733,0.127,-0.822,-0.181,-1.769,-1.294,-0.789,-1.328,1.525,2.275,0.532,0.5,-1.072,-0.449,0.032,-1.169,2.362,0.826,0.421,0.844,-0.448,1.441,-1.003,0.059,-1.249,-0.232,0.997,-0.132,0.804,1.156,-1.941,-0.462,-0.441,0.61,-0.501,1.704,-1.608,-0.216,2.109,0.908,0.393,4.067,-0.643,-2.68,-0.835,1.095,-0.477,1.731,2.156,-0.301,-1.145
"3","Algeria","March",-1.051,-0.162,-0.573,2.208,0.729,-1.618,0.659,0.278,2.266,0.156,-0.759,-0.405,-1.449,-0.108,-1.122,-2.27,1.146,0.376,0.673,0.053,2.553,0.102,0.72,-0.079,-0.484,-0.495,1.227,0.243,0.829,1.452,0.548,-0.688,-0.246,1.486,0.009,1.034,-0.487,-0.14,0.991,1.711,4.305,1.945,1.152,1.71,2.29,2.251,0.098,1.69,1.592,3.386,1.79,0.193,2.801,0.318,-0.274,-0.001,2.054,1.985,0.764
"4","Algeria","April",1.72,0.583,0.804,-0.712,-1.376,0.876,-0.176,1.337,-0.669,-0.231,0.582,-0.786,0.106,-1.296,0.03,-0.863,0.944,0.216,-0.487,0.664,1.843,-0.276,1.851,2.162,0.908,0.702,2.285,2.616,0.406,0.772,-0.214,-0.217,0.95,-0.435,-0.257,0.939,0.167,2.798,2.803,2.879,1.576,1.242,1.933,1.201,2.547,3.998,1.474,2.506,0.227,3.921,2.375,1.234,2.213,2.965,3.222,3.738,2.258,2.286,1.169
"5","Algeria","May",1.863,0.638,-2.133,0.988,0.337,-0.416,0.607,-0.246,0.532,-0.487,-1.347,-2.08,2.456,1.18,-0.842,-0.899,-0.207,-0.302,0.273,-0.366,1.056,0.235,1.733,-0.418,-0.153,1.799,1.705,1.837,0.542,0.032,-1.355,-0.734,0.946,1.996,2.279,1.296,1.528,0.522,3.622,2.351,1.455,1.976,2.22,-0.592,3.485,3.001,1.176,1.83,1.445,1.227,1.26,2.491,1.325,2.396,3.218,2.584,4.114,1.001,1.743
"6","Algeria","June",-0.182,-0.39,-0.518,0.32,-0.808,1.1,-0.72,-0.862,-0.329,0.311,-0.14,-0.22,1.13,0.735,-0.846,-0.786,-0.565,0.082,0.323,0.842,0.783,1.224,0.647,0.721,1.969,0.319,1.327,0.922,0.03,1.811,0.438,-0.708,2.303,1.454,0.61,-0.528,1.899,1.242,2.599,1.035,2.335,1.533,1.9,1.075,1.109,1.554,1.793,1.49,1.798,1.568,0.912,3.151,0.838,0.857,0.946,1.976,2.062,1.104,1.861
"7","Algeria","July",0.123,0.278,0.571,-0.291,0.652,0.54,-0.807,-0.158,-1.331,-0.475,-0.146,0.3,0.879,-0.781,-0.297,-0.392,0.889,-0.485,0.375,-0.091,0.152,1.075,1.054,-0.272,0.741,0.529,1.09,1.709,0.269,0.325,1.284,-0.252,1.314,0.847,0.733,0.401,1.476,1.672,2.26,1.637,2.343,2.036,2.597,0.77,2.374,1.619,1.322,2.493,2.439,2.096,1.858,2.388,1.728,2.147,1.115,1.443,1.827,3.442,2.367
"8","Algeria","August",-0.349,-0.516,0.544,0.068,-0.837,0.728,-0.17,0.038,-0.287,0.762,-0.197,-0.225,-0.028,-0.527,-0.275,-0.444,0.07,-0.296,1.004,0.553,-1.177,0.323,1.32,0.234,0.253,0.831,1.494,1.471,1.239,0.326,0.671,0.324,0.528,1.409,1.624,1.686,0.72,1.613,2.689,0.728,1.638,1.602,1.298,1.879,1.371,1.777,1.394,1.538,1.593,1.783,1.617,1.878,0.498,2.27,1.921,0.87,1.734,0.601,2.388
"9","Algeria","September",-0.023,0.624,0.057,-0.234,-0.845,-0.074,-0.097,0.389,-0.479,0.138,-0.208,-0.627,0.521,-0.179,0.422,-0.473,-0.372,-0.462,-0.096,0.59,0.653,0.217,0.787,0.805,0.12,0.72,1.462,0.119,1.996,2.437,0.93,0.498,0.723,0.578,1.019,0.501,0.778,2.58,2.397,1.111,2.512,1.728,1.657,0.562,1.027,0.393,1.937,1.849,-0.077,1.395,2.639,1.317,1.021,2.998,1.539,1.738,1.534,1.562,2.192
"10","Algeria","October",0.063,0.848,-0.95,-0.279,1.313,0.106,0.798,0.141,-0.596,-0.202,-0.543,-0.073,0.474,-1.211,0.154,-0.378,0.466,-1.219,1.214,-0.333,1.686,0.715,0.265,-0.969,0.399,0.834,2.058,1.563,1.466,2.833,0.697,0.921,1.502,0.754,0.728,0.024,1.604,0.584,3.236,0.076,3.691,1.274,3.426,3.247,2.681,2.687,2.013,1.252,1.788,1.687,0.395,2.686,3.903,2.47,2.734,3.334,0.969,1.295,2.076
