"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","American Samoa","January",0.565,-0.23,-0.066,0.222,-0.836,0.137,-0.099,0.068,0.315,0,-0.511,-0.799,0.395,-0.264,-0.206,-0.761,0.616,0.076,-0.05,0.218,0.556,0.285,0.553,-0.02,-0.319,0.215,0.479,0.821,-0.557,0.463,0.539,0.573,0.463,0.674,0.529,0.626,0.583,NA,0.078,1.174,1.32,1.277,1.779,0.276,1.617,0.054,1.145,0.689,1.468,3.01,0.379,0.843,0.534,0.553,0.993,1.863,1.713,0.763,1.513
"2","American Samoa","February",0.261,-0.105,0.132,0.294,-0.859,0.559,-0.459,-0.463,0.133,0.275,-0.614,-0.369,0.617,-0.735,0.016,-0.594,0.865,0.368,0.227,0.514,-0.103,-0.119,1.191,0.42,0.328,0.351,0.927,0.88,-0.262,0.5,0.696,0.746,0.596,NA,0.672,0.697,1.281,NA,0.14,1.04,1.271,1.911,1.016,0.276,1.658,0.465,1.539,1.437,1.69,1.015,-0.098,0.702,1.182,1.466,1.526,2.606,0.806,0.956,1.506
"3","American Samoa","March",-0.831,-0.108,0.039,0.642,-0.625,0.675,0.204,-0.297,0.236,-0.496,-0.72,-0.206,1.029,-0.576,0.099,-0.095,0.034,-0.407,0.611,0.583,-0.245,0.699,0.427,0.042,0.603,0.546,0.777,0.741,0.044,0.278,1.097,NA,NA,0.633,1.05,0.75,0.25,NA,0.33,0.837,0.64,1.331,1.332,0.049,1.405,1.166,1.456,0.94,1.564,1.171,0.62,0.32,1.02,NA,NA,NA,NA,NA,NA
"4","American Samoa","April",0.068,0.145,-0.094,0.202,-0.471,-0.165,-0.492,-1.042,0.279,0.05,-0.333,0.09,0.294,-0.3,-0.3,-0.327,0.581,-0.257,-0.07,0.315,-0.045,0.584,-0.014,0.37,0.158,-0.071,0.81,0.071,-0.337,-0.198,0.94,NA,NA,0.093,NA,NA,NA,-0.46,NA,NA,-0.5,0.45,0.33,-0.88,-0.74,0.9,2.01,0.36,-0.41,-0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","American Samoa","May",0.133,-0.309,0.171,-0.577,-0.232,0.013,-0.485,-0.431,-0.151,0.357,-0.427,0.227,0.416,-0.744,-0.153,-0.44,-0.336,0.154,0.565,-0.264,0.261,0.388,0.565,0.859,0.26,0.18,0.252,0.731,0.194,0.917,0.63,1.017,0.617,0.282,0.891,0.395,NA,NA,-0.605,-0.136,1.191,0.979,0.484,-0.244,-0.078,1.059,1.103,0.729,NA,0.906,0.901,0.606,1.671,0.997,0.697,1.147,1.297,1.097,1.047
"6","American Samoa","June",-0.256,-0.396,0.03,-0.774,-0.708,0.132,-0.764,0.149,0.404,0.076,-0.517,0.657,0.254,-0.166,-0.215,-0.313,0.101,-0.037,0.733,0.377,-0.102,0.328,0.073,0.411,0.262,0.562,-0.335,0.776,0.314,0.478,0.679,0.906,0.126,0.013,1.61,1.013,NA,NA,0.013,0.295,1.1,1.07,0.013,-0.1,0,0.968,1.737,-0.105,0.157,0.702,1.052,0.665,1.285,0.756,0.566,1.176,0.976,1.476,1.476
"7","American Samoa","July",-0.169,0.191,0.401,-0.758,-0.23,0.449,-0.628,-0.23,-0.137,0.09,-0.317,0.105,0.425,0.196,0.126,-0.136,0.141,0.058,-0.104,0.278,0.081,0.115,-0.041,0.015,0.276,0.331,-0.158,0.254,0.099,0.753,1.237,1.61,-0.29,-0.68,1.419,0.897,NA,NA,0.797,0.054,0.869,1.574,0.397,0.349,0.209,0.617,1.794,0.502,NA,1.616,1.967,0.674,1.059,0.42,0.58,1.01,1.16,0.96,1.36
"8","American Samoa","August",0.149,-0.22,0.386,-0.349,-0.476,-0.185,-0.468,-0.613,-0.356,-0.264,-0.055,0.352,0.274,-0.204,0.216,0.018,0.028,0.328,0.195,0.398,0.233,0.286,-0.158,0.45,0.612,-0.187,-0.305,0.77,0.646,0.759,1.206,0.879,NA,-0.389,1.033,1.078,NA,NA,0.478,0.973,1.358,0.743,-0.222,0.973,0.593,1.095,1.868,1.23,NA,1.313,1.058,1.133,1.158,0.849,0.279,1.579,1.329,0.879,1.879
"9","American Samoa","September",0.268,0.29,-0.014,-0.717,-0.298,-0.079,0.004,0.087,-0.293,-0.453,-0.478,0.414,0.45,0.525,0.133,-0.073,-0.34,0.127,0.752,0.441,0.644,-0.025,0.421,0.095,0.266,0.409,0.197,0.387,1.251,0.732,0.704,1.238,NA,0.122,0.799,1.381,NA,NA,0.559,1.164,0.949,1.334,0.781,0.964,0.909,0.908,1.449,0.966,NA,0.799,1.185,1.354,1.314,1.718,0.748,1.408,1.758,1.308,1.658
"10","American Samoa","October",-0.517,-0.086,0.032,-0.413,-0.078,0.049,-0.46,-0.001,0.319,-0.049,-0.231,0.389,-0.441,0.275,0.549,0.604,0.245,0.091,0.601,0.049,0.21,0.604,0.006,0.044,0.621,0.813,0.388,0.096,0.704,1.056,0.875,0.914,NA,NA,0.002,0.692,NA,-2.114,0.318,0.578,0.091,0.006,0.892,0.802,0.33,0.817,0.638,1.079,NA,1.327,1.223,1.588,1.268,2.114,0.494,1.654,1.004,1.304,1.504
