"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Americas","January",0.339,-0.36,-0.329,0.653,-0.074,-1,0.449,-0.31,-0.263,-0.359,-0.757,-0.797,0.617,-0.564,-0.231,0.026,0.521,-0.027,-0.214,0.609,2.193,-1.189,1.063,0.031,0.853,1.439,1.623,0.352,0.301,1.335,-0.103,1.416,0.641,-0.284,1.608,-0.471,0.313,1.169,0.832,0.961,1.741,1.566,1.864,0.22,1.097,2.564,1.795,0.832,0.82,1.731,1.319,1.474,1.516,1.657,1.511,2.727,2.409,1.48,1.462
"2","Americas","February",0.279,-0.349,0.256,0.377,-0.938,-0.168,-0.863,-0.186,0.716,0.561,-0.196,-1.275,0.039,-0.604,-0.243,0.209,1.4,0.342,-2.296,0.833,1.626,-0.334,0.802,1.148,-0.704,0.858,1.412,0.415,0.025,-0.578,1.555,0.64,-0.153,-0.89,0.642,0.929,0.789,2.313,1.637,1.784,0.754,0.787,0.278,0.938,1.606,1.534,0.436,0.214,1.03,1.996,0.417,1.97,1.192,0.096,0.043,2.484,2.094,0.869,0.367
"3","Americas","March",-0.15,0.278,-0.033,-1.443,-0.504,0.385,-0.287,0.701,-0.219,0.233,-0.214,-0.193,1.238,-0.409,-0.448,-0.467,1.1,0.032,0.307,0.659,1.823,0.086,0.603,0.427,0.856,0.608,0.817,1.387,-0.463,1.536,0.866,1.32,1.07,1.059,0.603,0.079,0.277,1.264,1.477,1.813,1.056,0.035,0.581,1.278,1.452,1.475,0.922,0.183,0.473,2.444,0.607,1.846,0.923,-0.048,1.5,2.38,1.117,1.546,1.608
"4","Americas","April",-0.303,-0.125,0.615,-0.272,0.119,-0.293,-0.329,-0.302,0.647,0.101,-0.37,-0.796,0.097,-0.242,-0.462,0.479,0.74,0.082,-0.068,0.839,0.546,-0.601,0.175,0.372,-0.008,0.565,1.063,0.946,0.865,0.902,0.973,0.255,0.615,0.519,0.604,0.397,0.033,1.768,0.785,0.664,0.949,0.369,0.661,1.005,1.369,1.629,0.988,0.491,0.86,2.116,0.452,1.36,0.094,0.581,1.362,1.357,1.198,0.388,1.34
"5","Americas","May",-0.042,-0.323,-0.122,0.02,-0.034,-0.062,-0.026,-0.7,0.375,-0.087,-0.447,0.151,0.187,-0.188,0.276,-0.079,0.449,0.02,-0.005,0.906,0.672,0.107,-0.254,0.253,0.595,0.641,0.253,0.381,-0.009,0.176,0.981,0.178,0.645,0.838,0.512,0.323,0.195,1.492,0.303,0.383,0.73,0.215,0.883,-0.103,0.814,0.869,0.244,0.347,0.501,0.743,0.427,1.256,0.586,0.949,1.22,1.146,1.204,1.374,1.059
"6","Americas","June",0.085,-0.243,-0.118,-0.631,0.031,0.203,-0.436,-0.188,-0.131,0.242,-0.117,0.13,0.522,-0.052,0.394,-0.168,0.567,-0.181,-0.197,0.237,0.092,-0.006,0.109,0.118,0.009,0.21,0.665,0.438,0.544,0.566,0.742,0.351,0.323,1.01,0.802,0.287,0.741,1.004,0.475,0.386,0.488,0.696,0.875,0.482,1.15,1.276,0.78,0.516,0.376,1.052,0.83,1.291,1.397,1.054,1.565,1.057,1.201,0.763,1.41
"7","Americas","July",0,-0.606,0.257,-0.231,-0.375,0.256,-0.207,-0.063,0.179,0.074,-0.03,-0.269,-0.043,0.031,-0.139,-0.09,0.403,0.335,0.382,0.364,0.073,0.324,0.415,0.191,0.03,-0.001,0.797,0.072,0.368,0.108,0.171,-0.756,0.091,0.469,0.464,0.26,0.88,1.437,0.299,0.066,0.695,0.767,0.872,0.4,0.723,1.268,0.766,0.878,0.544,0.773,1.038,1.077,0.63,0.794,1.103,1.279,1.123,1.023,1.035
"8","Americas","August",0.489,0.122,0.201,-0.372,-0.202,-0.283,0.083,-0.368,0.145,0.133,-0.093,-0.149,0.124,-0.316,-0.192,-0.126,0.105,-0.438,0.277,0.413,0.59,0.005,0.624,0.078,-0.243,0.125,-0.018,0.537,0.472,0.498,0.462,-0.285,0.234,0.404,0.658,0.494,0.57,1.178,0.516,0.565,1.216,0.801,0.79,0.199,0.88,0.856,0.401,0.744,0.791,0.906,1.137,1.213,0.544,1.072,1.418,1.447,1.191,0.646,1.019
"9","Americas","September",-0.167,0.113,0.291,-0.344,-0.706,0.091,0.207,0.041,0.342,-0.093,0.165,-0.488,0.043,-0.732,-0.273,0,0.499,0.081,0.077,-0.173,0.081,0.214,0.174,-0.465,-0.08,-0.274,0.635,0.28,0.124,0.311,0.313,-0.557,-0.127,0.701,0.69,0.12,1.273,1.258,0.775,0.114,0.881,0.959,0.776,0.659,0.725,0.701,0.86,0.455,1.247,1.001,1.293,1.483,0.954,1.101,1.658,1.186,1.456,0.927,1.687
"10","Americas","October",-0.213,0.5,1.32,-0.34,-0.114,-0.352,0.13,0.47,-0.255,-0.183,0.069,-0.713,0.535,-0.711,-0.023,-0.806,0.49,-0.302,0.513,0.191,-0.035,-0.075,0.209,0.176,-0.013,-0.254,0.512,0.111,0.058,0.083,-0.128,-0.025,0.308,0.723,0.527,-0.243,0.184,1.067,0.085,0.555,0.453,0.538,1.467,0.78,1.008,0.931,1.113,0.699,0.103,1.229,0.964,0.845,1.063,1.576,1.472,1.25,1.326,0.566,0.991
