"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Andorra","January",-0.518,1.438,-2.595,-1.142,-0.443,0.796,-0.407,0.494,1.125,1.395,0.209,-0.316,-0.314,2.037,2.259,-0.169,0.092,-0.85,-0.198,-0.62,0.077,2.978,1.267,0.721,-4.294,0.459,-2.715,2.917,0.447,1.072,0.075,-1.628,0.904,1.008,0.649,3.263,0.95,1.749,1.537,-0.63,2.177,1.528,-0.282,1.494,-0.078,-0.349,1.881,2.423,-0.379,-1.069,0.068,1.314,0.523,2.776,0.779,3.193,-0.992,3.379,-0.333
"2","Andorra","February",3.383,-0.754,-3.659,0.834,-3.045,3.399,0.604,0.447,-2.173,0.354,-0.215,0.873,-1.437,0.116,1.568,0.821,2.46,1.05,0.417,2.066,-1.463,1.388,-1.746,-1.191,2.241,-2.188,-0.057,0.241,1.186,4.662,-0.829,0.382,-0.428,1.058,2.862,-0.992,3.211,2.343,-0.136,2.685,0.954,2.328,-0.934,0.08,-2.433,-1.045,2.527,2.702,0.065,-0.769,1.476,-3.585,-1.019,1.431,-0.771,1.997,2.875,-1.468,2.791
"3","Andorra","March",1.559,-1.946,0.098,-0.602,0.195,-0.662,1.356,-0.423,-0.061,-2.43,-3.526,0.624,-1.474,0.095,-1.846,0.086,1.54,0.56,0.269,-0.471,2.417,-0.494,0.632,-1.74,-1.557,0.147,-0.469,-0.111,2.398,1.941,2.177,0.581,0.337,3.088,0.068,-0.078,3.296,1.753,1.241,1.25,3.609,2.402,2.338,-0.486,-0.028,1.46,0.695,0.397,0.878,-0.432,1.22,2.38,0.677,1.515,1.486,0.383,2.9,0.446,2.023
"4","Andorra","April",2.486,-0.047,0.227,0.349,-0.363,1.407,-0.132,0.838,0.117,-0.943,1.497,-0.721,-1.314,-0.628,-0.086,-0.738,0.136,-1.51,-1.162,-1.131,1,0.58,0.406,0.897,1.167,-2.355,1.921,1.019,-0.978,-0.387,-0.728,0.742,0.485,-0.833,1.016,1.088,1.91,0.039,1.275,0.842,0.438,1.509,1.852,0.055,1.283,2.096,3.596,0.947,0.683,2.141,4.157,0.203,0.656,3.155,2.571,1.331,1.839,2.84,1.204
"5","Andorra","May",0.545,-0.591,-0.64,2.294,0.389,0.277,-0.508,-0.881,0.192,-0.259,0.026,-1.531,1.295,-0.129,-1.113,0.686,-1.671,-1.137,-0.479,-1.548,-0.825,0.406,-0.818,-2.956,-1.249,1.736,-1.121,0.649,2.359,2.432,-1.328,2.11,1.041,1.434,1.114,0.4,1.975,1.592,2.58,2.399,1.618,-0.009,1.701,0.263,1.978,2.243,1.549,1.487,2.558,-0.172,3.214,2.166,-1.645,0.348,2.211,0.693,2.794,1.358,-0.084
"6","Andorra","June",0.92,-0.034,-0.189,1.111,0.701,0.642,-0.742,-0.271,-1.634,1.376,-1.085,-1.776,0.526,0.132,-0.423,2.903,-1.471,-1.251,0.525,-1.348,0.852,1.991,1.197,-0.139,0.07,0.74,-0.43,0.048,1.384,0.696,-0.136,-1.465,1.389,1.399,0.461,1.886,0.398,1.3,1.08,1.905,1.866,1.967,5.52,2.911,3.704,2.877,1.661,1.292,2.749,1.03,0.892,2.572,-0.199,2.661,3.647,1.63,4.248,2.523,2.457
"7","Andorra","July",-0.078,-0.008,0.553,1.644,-0.847,-1.571,2.01,-0.194,0.586,0.181,1.079,-0.288,0.133,-0.06,0.897,0.826,-1.707,-0.812,0.597,-1.737,-1.139,2.344,3.241,1.028,1.699,1.015,0.323,0.196,2.141,1.793,1.524,0.596,-0.64,3.016,2.544,0.886,-0.1,1.054,1.605,-0.219,0.804,-0.015,3.046,1.035,2.027,4.516,0.351,0.745,1.772,2.568,-0.342,0.537,3.205,0.46,3.762,1.972,1.947,3.244,3.482
"8","Andorra","August",-0.217,1.525,-1.858,0.408,-0.544,-0.641,0.623,-0.964,-0.021,0.351,1.142,-1.489,2.054,0.228,1.341,0.111,-1.83,-0.175,-0.536,1.194,0.912,-0.367,0.539,-0.528,0.013,0.45,1.598,1.225,1.949,2.293,3.161,2.425,1.274,3.045,1.671,-0.004,2.651,1.81,2.025,1.939,2.296,-0.124,5.696,1.801,0.67,0.054,0.453,1.154,2.945,1.431,2.049,3.222,1.796,0.379,1.953,2.368,2.602,3.278,2.844
"9","Andorra","September",2.493,1.043,-1.218,1.925,-2.315,1.475,-0.168,-0.585,-1.137,1.764,0.075,-2.903,0.697,-1.551,-0.427,-1.48,-0.559,0.716,-0.178,1.399,0.597,1.253,1.306,-1.337,2.497,1.237,3.308,0.238,-0.024,1.296,2.407,-0.14,-1.021,-0.827,-1.634,-1.763,1.628,0.451,1.886,1.312,-0.981,-0.315,0.991,1.41,0.502,2.102,-0.138,-0.199,1.294,0.21,2.628,0.963,1.274,2.208,-0.254,2.772,-0.459,3.098,1.951
"10","Andorra","October",0.554,1.227,0.497,-1.847,1.478,0.322,2.429,2.686,1.313,-0.442,1.467,-0.36,-1,-4.54,-0.473,-0.972,1.729,-0.194,0.589,-0.495,0.524,-0.147,0.934,0.019,1.99,1.967,1.237,1.821,1.177,1.425,-1.407,-1.707,-1.341,0.83,3.33,0.113,2.435,-0.031,1.19,0.281,3.613,1.234,-0.472,2.376,2.356,3.375,0.32,0.326,1.788,-0.172,2.086,1.557,2.893,3.664,0.649,1.431,2.792,1.517,2.749
