"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Angola","January",0.209,-0.146,-0.463,0.458,-0.373,0.135,0.017,-0.327,-0.126,0.039,-0.461,-0.311,0.567,-0.086,-0.335,-0.287,0.12,0.213,-0.032,0.303,0.078,0.225,0.395,0.065,0.235,0.182,0.875,0.458,-0.595,0.073,-0.463,-0.089,-0.365,0.339,0.457,-0.336,-0.176,0.79,-0.173,0.057,0.204,0.244,0.867,0.361,0.718,0.237,0.932,0.113,0.326,0.799,-0.051,0.195,0.871,0.582,0.945,1.626,0.659,0.636,1.156
"2","Angola","February",-0.545,-0.028,-0.182,0.227,-0.539,0.001,-0.136,-0.184,0.025,0.274,-0.612,-0.22,1.033,0.228,-0.117,-0.656,0.273,0.57,0.005,0.303,-0.035,0.54,0.562,0.091,0.504,0.046,0.444,0.748,-0.787,0.976,0.476,1.943,0.129,0.415,0.241,0.694,0.044,2.064,0.682,-0.146,-0.286,0.3,0.665,0.008,1.407,0.396,0.168,0.118,0.329,1.079,0.745,-0.397,1.657,0.692,1.817,2.043,-0.034,1.014,2.156
"3","Angola","March",0.17,-0.219,-0.31,0.204,-0.251,-0.145,-0.255,-0.719,0.335,0.211,-0.148,-0.158,0.642,-0.247,-0.108,-0.3,-0.041,0.14,-0.026,0.308,-0.824,1.224,0.969,0.784,0.845,-0.204,0.448,0.181,-0.447,0.862,0.63,1.406,-0.27,0.195,0.52,0.159,-0.231,1.751,0.173,-0.211,-0.342,0.344,1.018,0.312,1.257,0.576,0.564,-0.374,-0.32,1.058,0.364,0.277,0.789,0.381,1.36,1.08,-0.25,1.527,2.814
"4","Angola","April",0.116,-0.019,-0.328,0.007,-0.302,-0.107,-0.11,-0.242,0.569,0.414,-0.526,-0.246,0.494,-0.321,0.004,-0.619,0.155,-0.056,0.197,0.202,-0.525,0.892,1.053,0.08,1.152,-0.184,0.513,0.86,-0.558,0.474,-0.185,1.464,0.186,-0.349,0.71,0.515,-0.347,1.506,0.688,-0.54,0.499,0.819,1.133,-0.384,0.593,0.24,0.52,-0.759,0.039,0.761,0.493,0.038,0.955,0.168,0.742,1.746,0.408,0.749,2.097
"5","Angola","May",0.786,-1.006,-0.551,-0.039,-0.747,0.43,-0.094,0.015,0.468,0.262,0.126,0.399,0.742,-0.472,0.426,-0.627,0.547,-0.202,0.362,0.233,-0.672,-0.712,1.069,1.1,1.174,0.532,1.368,0.37,0.072,1.363,0.771,0.449,0.817,0.046,1.29,0.681,-0.544,0.712,0.877,0.404,0.575,1.027,0.399,0.006,1.337,-0.284,1.051,1.021,0.945,1.856,1.422,-0.118,0.906,1.236,1.61,0.84,1.007,1.189,1.922
"6","Angola","June",0.12,0.119,-0.039,-0.558,0.507,0.714,0.629,-0.725,0.413,0.587,0.372,-0.187,0.28,-0.161,0.174,-0.28,0.473,-0.1,0.602,0.184,0.347,0.269,1.196,1.048,1.186,0.411,0.337,1.259,0.968,2.239,1.513,0.787,0.668,0.211,0.928,0.659,1.44,1.082,1.668,1.362,1.177,1.079,1.318,0.043,1.737,1.328,0.915,0.755,2.041,0.847,1.515,0.837,1.635,1.715,1.12,2.033,1.353,2.04,1.631
"7","Angola","July",0.197,0.147,0.587,-1.044,0.003,0.583,-0.494,0.003,0.239,0.494,0.305,0.385,0.387,-0.305,0.39,-0.223,0.535,-0.121,0.267,0.149,0.033,0.464,0.795,1.862,0.795,0.801,1.008,0.604,-0.148,0.732,0.721,-0.679,1.267,0.75,1.283,0.301,0.453,1.757,1.247,0.027,0.096,1.616,1.111,1.103,0.947,1.725,1.286,0.843,0.914,1.517,1.023,1.159,0.524,1.354,1.764,1.506,1.697,2.271,2.193
"8","Angola","August",-0.657,-0.338,-0.097,-0.364,0.013,0.226,-0.071,0.388,0.677,0.343,0.047,-0.111,0.219,0.14,-0.334,-0.688,0.323,0.219,0.213,0.201,1.161,0.28,-0.769,0.952,0.506,0.756,0.625,1.174,1.299,0.399,0.381,-0.625,0.962,0.831,1.642,1.146,1.182,1.011,0.795,-0.237,0.535,1.167,0.914,1.281,1.5,0.702,0.928,1.07,0.594,0.774,1.168,0.876,0.471,0.96,0.941,1.592,1.068,1.526,1.795
"9","Angola","September",0.03,-0.122,0.182,-0.527,-0.21,-0.169,-0.045,-0.029,0.135,0.12,-0.355,0.225,0.216,-0.349,0.008,0.187,0.276,-0.241,0.563,0.22,-0.674,-0.61,-0.995,1.293,0.493,0.519,0.601,0.206,-0.844,-0.303,0.211,0.254,-0.335,0.725,0.467,0.465,0.66,1.013,-0.469,0.244,0.408,0.372,0.794,-0.202,0.416,0.372,0.47,0.5,0.868,1.741,1.229,0.661,1.061,0.063,1.543,1.413,1.227,1.544,0.534
"10","Angola","October",-0.073,0.108,-0.236,-0.721,0.047,0.15,0.129,0.267,-0.344,-0.093,-0.034,-0.092,0.207,-0.311,-0.28,-0.045,0.246,-0.096,0.454,0.316,0.014,-1.204,0.448,1.148,0.018,-0.964,0.063,0.03,-0.579,0.347,-0.735,0.738,0.476,-0.088,0.842,0.796,-0.797,0.979,-0.538,0.207,0.384,-0.267,0.79,-0.14,0.998,-0.513,0.473,0.609,-0.107,1.494,-0.092,1.058,0.949,0.243,1.033,1.993,0.707,0.535,1.23
"11","Angola","November",-0.157,-0.012,-0.584,-0.426,0.157,0.482,-0.576,-0.281,-0.025,-0.103,-0.222,0.204,0.049,-0.257,-0.064,-0.151,0.126,-0.17,0.211,0.315,0.312,-0.26,0.379,-0.23,1.341,-0.042,1.814,0.142,1.739,1.088,0.04,-0.551,0.156,-0.292,0.81,0.275,1.467,0.609,0.443,0.761,0.237,0.951,1.008,0.638,0.937,-0.197,0.257,0.041,0.188,0.461,0.375,0.598,0.512,0.811,1.344,1.403,0.897,1.239,1.688
"12","Angola","December",-0.144,-0.096,0.206,-0.474,0.017,0.181,-0.37,-0.09,0.124,-0.038,-0.656,0.54,-0.208,-0.343,-0.311,-0.152,-0.135,0.296,0.225,0.031,0.715,0.535,-0.112,0.033,0.146,0.384,0.656,-0.143,0.593,0.533,0.125,-0.558,0.465,0.492,-0.126,0.345,1.115,-0.074,0.52,-0.244,0.755,0.674,0.668,0.498,-0.153,0.345,0.098,0.829,0.307,0.298,-0.371,0.587,0.505,0.908,1.137,0.963,0.893,1.108,1.706
