"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Anguilla","January",0.617,0.358,0.31,0.178,-0.852,0.558,0.014,-0.474,-0.121,0.71,-0.001,-0.269,0.465,-0.193,-0.512,-0.959,0.467,-0.119,-0.292,0.361,1.037,0.409,0.514,0.335,-0.426,0.121,0.241,0.567,-0.079,0.56,0.572,-0.047,0.068,0.636,0.469,0.611,0.247,1.3,0.633,-0.151,0.574,1.24,0.975,0.176,0.251,0.461,0.601,0.089,0.671,0.837,0.757,-0.11,0.796,1.044,1.13,1.055,0.524,1.056,0.577
"2","Anguilla","February",0.382,-0.377,0.463,0.717,-0.488,0.215,0.037,-0.42,-0.387,0.287,-0.387,-0.274,-0.043,-0.236,-0.557,-0.915,0.618,0.216,0.072,0.55,0.638,0.138,0.196,0.148,-0.1,-0.633,0.082,0.213,-0.441,-0.204,0.616,0.238,0.03,0.431,0.762,0.455,0.247,1.303,-0.71,-0.281,0.25,0.122,0.935,0.553,-0.237,0.334,0.999,0.147,0.42,1.562,0.539,0.436,0.477,0.783,1.234,1.214,0.818,0.149,0.853
"3","Anguilla","March",0.004,0.104,0.357,0.432,0.154,0.124,-0.934,-0.647,0.595,0.089,-0.117,-0.284,0.194,-0.399,-0.474,-1.209,0.223,0.301,-0.395,0.276,0.789,-0.331,1.17,0.028,-0.503,-0.126,-0.063,-0.007,-0.418,-0.309,0.405,0.135,0.237,0.332,-0.256,0.42,-0.075,1.066,0.3,-0.807,0.466,0.662,1.262,0.206,0.922,0.199,1.034,-0.383,-0.314,2.153,-0.169,0.265,0.537,0.5,0.6,0.928,0.718,0.514,0.839
"4","Anguilla","April",0.276,-0.145,0.203,-0.129,-0.518,0.044,-0.864,-1.044,1.069,0.436,-0.204,-0.075,0.064,-0.77,-0.491,-0.781,-0.349,0.306,-0.112,0.507,0.144,0.116,0.321,0.295,-0.495,0.16,1.295,0.41,-0.324,0.01,0.106,0.386,0.441,0.332,0.383,0.082,0.01,0.769,0.349,0.193,0.175,0.22,0.592,0.699,1.583,0.779,0.869,-0.265,0.18,1.229,0.167,0.431,0.646,0.767,0.808,1.13,0.393,0.581,0.611
"5","Anguilla","May",0.218,-0.096,-0.271,0.356,-0.269,-0.301,-0.44,0.005,0.721,-0.082,-0.671,-0.554,0.46,-0.746,-0.583,-0.574,-0.107,0.049,-0.288,1.089,0.44,-0.232,0.392,-0.355,-0.093,-0.338,0.311,0.596,-0.299,0.234,0.167,-0.245,0.137,0.704,0.916,-0.079,0.382,0.961,0.989,0.03,-0.04,0.523,0.599,0.009,0.991,0.863,1.298,0.22,0.246,1.384,0.259,0.203,0.506,0.119,0.903,0.987,0.622,0.251,0.624
"6","Anguilla","June",0.054,-0.102,0.148,0.181,-0.494,-0.259,-0.249,-0.441,0.67,-0.283,-0.395,0.016,0.015,-0.323,-0.273,-0.75,0.154,-0.098,0.075,0.874,0.163,-0.027,0.567,-0.322,0.113,-0.15,0.356,0.489,-0.177,0.19,0.36,0.15,0.437,0.277,0.543,-0.035,0.779,0.922,0.5,0.169,0.581,0.604,0.321,0.533,0.742,0.578,0.781,0.536,0.5,0.707,0.806,0.957,0.354,0.747,0.862,0.945,0.473,0.545,0.775
"7","Anguilla","July",-0.21,0.281,0.16,0.025,-0.251,-0.032,-0.305,-0.261,0.063,-0.206,-0.323,-0.042,0.207,-0.181,-0.198,-0.171,0.213,-0.148,-0.064,0.573,0.224,-0.015,0.494,-0.304,0.228,-0.095,0.426,0.268,0.403,0.164,0.412,0.103,0.297,0.201,0.858,-0.124,0.511,0.711,0.199,0.539,0.617,0.557,0.433,-0.02,0.604,0.417,0.956,0.552,0.983,0.907,0.137,0.606,0.458,0.629,0.981,0.934,0.874,0.714,1.036
"8","Anguilla","August",0.052,-0.025,0.392,0.083,-0.33,-0.034,-0.232,0.064,-0.043,-0.205,-0.497,-0.298,0.005,-0.238,-0.27,-0.236,-0.478,-0.276,0.16,0.585,0.231,-0.051,0.341,0.065,0.106,-0.04,0.644,-0.194,-0.125,0.405,0.497,-0.099,0.536,0.241,0.625,0.218,0.576,0.916,0.394,0.361,0.527,0.667,0.442,0.724,0.527,0.101,0.573,0.654,0.946,0.934,0.318,0.505,0.678,0.479,0.871,0.98,0.924,0.612,0.878
"9","Anguilla","September",0.205,0.226,0.432,0.258,-0.062,-0.096,-0.107,0.258,0.126,-0.31,-0.175,-0.247,-0.219,-0.585,-0.36,-0.154,-0.414,0.159,-0.582,0.558,0.249,-0.161,0.627,-0.26,-0.115,0.006,0.661,0.244,-0.27,0.409,0.314,0.003,0.393,-0.085,0.214,0.069,0.62,0.831,0.588,0.22,0.626,0.726,0.853,0.317,1.061,0.711,0.486,0.118,0.412,0.644,0.332,0.887,0.834,0.468,0.964,0.7,0.891,0.742,1.034
"10","Anguilla","October",-0.142,0.133,0.51,-0.13,0.013,0.141,-0.122,0.197,0.308,-0.341,-0.394,-0.192,-0.125,-0.473,-0.578,-0.126,-0.202,-0.227,0.098,0.742,0.085,-0.184,0.221,-0.428,-0.769,0.072,0.819,0.217,-0.133,0.239,-0.043,0.194,0.41,0.165,0.284,0.329,0.499,0.701,0.316,0.347,0.717,0.627,0.525,0.453,0.347,0.784,0.005,0.049,0.83,0.04,0.685,0.74,0.991,0.837,1.345,0.925,0.63,0.392,0.966
