"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Annex I countries","January",0.808,0.665,-0.698,-0.412,0.355,0.111,-0.13,-0.396,-1.907,-0.33,0.131,-2.405,0.03,-0.756,1.115,0.516,-0.825,0.177,-0.139,-0.26,2.747,-0.578,1.837,0.787,-0.04,1.842,0.358,1.112,1.073,1.667,0.785,2.204,1.941,0.258,2.406,-0.141,0.444,0.976,1.252,0.683,1.563,2.365,1.896,0.923,2.046,0.59,3.903,1.19,1.366,0.605,1.428,1.406,1.41,1.189,2.203,2.507,2.52,2.094,2.224
"2","Annex I countries","February",1.155,0.45,0.591,-0.3,-1.121,1.105,-0.981,0.145,-1.569,0.779,0.408,-1.94,1.05,-0.244,0.205,-1.048,1.7,-0.033,-1.35,0.207,1.973,-0.398,1.303,-0.207,-1.487,-0.061,1.477,0.364,1.009,1.328,0.773,1.978,1.336,-0.953,3.251,1.166,1.893,2.197,2.413,3.134,0.681,2.756,0.553,1.826,0.962,1.321,0.744,1.602,0.638,0.699,0.202,1.073,1.558,0.678,2.112,4.039,2.927,1.422,1.73
"3","Annex I countries","March",0.826,0.474,-0.609,-1.348,-0.206,0.977,0.223,1.356,-1.185,0.392,0.035,-0.416,1.006,0.377,0.405,-1.041,1.699,0.729,0.862,-0.433,1.933,0.004,0.76,0.137,-0.177,0.545,-0.601,1.067,1.26,2.658,0.959,1.567,1.503,1.182,1.432,0.186,1.451,1.411,0.228,2.393,1.387,2.018,1.045,1.444,1.502,1.485,1.889,2.339,0.908,1.701,1.698,1.521,0.467,2.105,2.568,3.517,3.465,1.158,3.325
"4","Annex I countries","April",0.327,0.259,0.156,-0.674,-0.605,-0.039,-0.262,0.376,-0.202,0.267,-0.231,-0.082,0.156,-0.525,0.388,0.536,0.87,0.003,-0.176,0.701,0.092,-0.143,0.544,0.416,0.316,0.624,-0.094,0.766,1.003,0.76,0.967,-0.144,0.461,0.646,1.324,-0.081,1.265,0.767,0.815,1.768,1.064,0.6,0.721,0.572,1.816,0.641,2.079,0.723,1.221,1.953,1.528,2.165,0.931,1.7,1.307,2.379,1.581,1.264,1.864
"5","Annex I countries","May",0.318,-0.202,0.426,-0.196,-0.148,-0.251,0.045,-0.189,-0.062,-0.028,0.257,-0.14,0.345,-0.25,0.804,-0.147,0.642,-0.326,0.04,0.314,0.22,0.28,0.138,0.326,0.776,0.568,0.245,0.562,0.273,0.392,0.045,0.431,0.708,0.499,0.559,0.459,0.54,1.02,0.6,0.57,1.269,0.466,1.287,0.43,1.387,0.957,1.353,0.877,0.526,1.324,0.805,1.695,1.329,1.552,1.319,1.639,0.848,1.352,1.151
"6","Annex I countries","June",0.669,-0.217,-0.275,0.282,-0.269,0.304,-0.412,-0.074,-0.343,0.193,-0.033,0.082,0.401,-0.162,0.465,-0.409,0.529,-0.605,0.226,0.244,0.123,-0.71,-0.048,0.069,-0.07,0.21,0.301,0.951,0.294,0.579,0.619,-0.411,0.142,0.77,0.776,0.702,0.546,1.07,0.491,0.569,0.815,0.915,0.561,0.459,1.044,1.323,0.554,0.987,0.628,1.161,1.053,1.616,1.336,0.896,1.58,1.631,1.099,1.148,1.319
"7","Annex I countries","July",-0.036,-0.033,0.142,0.041,-0.642,0.351,-0.311,-0.607,-0.28,0.025,-0.024,-0.07,0.567,-0.165,0.957,-0.138,-0.183,-0.228,-0.117,0.414,0.345,-0.187,0.449,0.193,-0.124,0.091,0.03,1.001,0.623,0.284,0.637,-0.414,0.304,0.469,0.366,0.575,0.03,1.233,0.841,0.549,0.952,0.955,0.944,0.4,1.028,0.807,1.058,0.739,0.446,1.448,1.155,1.408,0.919,0.534,0.751,1.328,1.008,1.333,1.023
"8","Annex I countries","August",0.001,-0.008,0.056,-0.614,-0.459,0.087,0.012,-0.52,0.127,0.089,0.144,0.043,0.397,-0.443,0.279,-0.077,-0.116,-0.515,0.113,0.051,0.225,-0.089,0.694,0.384,0.233,0.004,-0.294,0.358,0.315,0.283,0.619,-0.168,0.169,0.229,0.984,0.089,0.441,1.274,0.55,0.754,1.071,0.582,1.398,0.163,0.735,0.834,1.354,0.739,0.775,1.333,1.097,1.058,1.167,1.097,0.873,1.519,1.255,1.011,1.033
"9","Annex I countries","September",-0.056,-0.226,0.436,-0.125,-0.259,0.002,0.212,0.181,-0.424,-0.272,0.227,-0.537,-0.365,-0.38,0.592,-0.231,-0.115,0.006,0.584,0.038,0.561,0.146,0.6,-0.327,-0.134,0.032,0.295,0.475,0.343,0.468,0.513,-0.638,-0.649,0.686,0.643,-0.493,0.73,0.788,0.687,0.39,0.597,0.859,1.051,0.584,1.464,1.235,1.038,0.458,1.486,0.759,1.177,1.478,0.939,0.63,1.25,1.583,1.046,1.074,1.268
"10","Annex I countries","October",-0.062,0.569,1.237,-0.405,-0.302,-0.055,0.911,0.133,-0.108,-0.268,0.336,-0.361,0.319,-0.062,-0.292,-1.693,-0.096,-0.173,0.34,0.151,0.326,-0.228,0.281,0.367,-0.245,-0.132,-0.519,0.282,0.576,0.143,0.659,-0.47,-0.054,1.361,1.164,0.005,0.941,0.573,0.801,0.227,0.321,0.194,1.335,0.949,1.882,0.951,1.777,1.697,0.628,1.251,1.83,1.184,1.212,0.973,1.37,0.618,1.293,1.841,1.758
