"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Antarctica","January",-1.807,-1.597,-0.733,0.009,-0.651,-1.431,2.291,-1.158,0.201,0.023,2.088,1.037,-0.694,0.764,0.298,0.32,2.343,-1.649,0.152,0.685,1.681,-0.789,-0.486,0.359,1.318,0.726,0.472,0.313,-2.013,0.655,-0.289,-0.623,-0.271,-0.619,-2.553,-0.894,-0.579,0.105,1.09,-1.952,-0.201,1.305,0.292,0.612,1.749,0.072,1.023,-0.715,0.895,2.022,1.525,-0.224,1.402,0.942,-0.914,-1.637,0.488,0.757,-0.509
"2","Antarctica","February",-0.471,-1.047,-1.16,-0.965,0.538,-0.1,0.27,0.281,-0.149,-0.226,1.274,0.817,-2.713,-0.918,0.629,-0.004,-1.022,0.26,-0.446,0.363,1.079,-0.57,-1.325,-0.707,-1.782,3.584,-0.397,-1.632,-0.593,-0.443,1.854,-1.759,-1.424,-2.332,-0.187,1.645,-1.782,1.421,-0.65,-1.781,0.84,-0.195,0.709,1.628,0.47,-1.302,-0.534,-0.723,-0.421,1.98,1.937,0.011,-1.871,-1.865,-0.679,-1.066,0.959,0.046,2.535
"3","Antarctica","March",-2.035,0.128,-0.666,0.649,1.217,2.049,-0.186,0.664,-0.736,0.552,-0.53,-1.27,-0.937,-0.028,1.603,0.115,-0.026,-0.32,1.154,0.537,1.46,-1.055,-0.647,1.427,0.501,1.753,1.653,3.518,-0.022,-0.271,-1.782,-1.091,0.78,-0.253,0.997,-1.407,-0.483,0.328,-0.525,-1.311,-1.013,2.764,0.708,-0.253,1.989,-0.661,-1.164,0.967,1.683,2.779,-0.917,1.48,1.626,-2.003,0.423,-0.341,1.931,1.858,1.966
"4","Antarctica","April",-1.477,-1.089,-2.956,-3.232,-0.095,0.377,-0.545,2.127,1.628,-1.576,2.471,-0.279,0.307,-0.676,-0.877,-2.278,-0.627,4.152,3.158,0.971,-1.053,0.98,0.978,-2.044,1.077,1.719,-0.78,0.25,-2.155,-0.897,-0.205,2.19,-0.987,0.031,-0.625,1.711,0.035,-3.677,-3.035,-2.791,-1.726,2.972,0.245,1.556,1.247,0.934,-1.966,2.175,-1.495,-3.382,-0.984,-2.13,-0.099,1.215,0.571,0.817,-1.108,-0.026,0.183
"5","Antarctica","May",0.497,-1.448,0.765,-3.206,1.126,-2.139,-0.587,-0.737,0.214,-1.141,0.845,-1.053,1.768,-0.142,2.783,-1.751,2.451,0.689,-2.965,1.084,1.895,0.717,1.441,1.821,-1.808,-2.317,-1.357,-0.314,-3.347,-1.871,-1.433,-0.956,-0.717,-1.109,-1.699,-2.889,-0.836,0.038,-0.711,-1.42,0.201,2.062,-1.127,-0.525,-1.167,0.45,2.933,-0.216,4.367,2.507,-2.658,-0.475,-3.115,2.165,-1.133,1.219,1.268,3.549,0.086
"6","Antarctica","June",3.399,3.378,2.356,3.082,2.824,-2.133,-1.761,-0.24,0.544,-1.49,-2.224,0.074,-0.835,0.747,-2.234,-0.826,1.498,-1.241,0.072,0.04,0.406,-1.426,-1.975,-4.203,3.263,-3.586,1.764,1.379,-2.585,0.87,0.383,2.086,-2.711,2.896,-0.081,-1.433,1.199,1.96,0.388,0.213,0.624,-2.252,-4.017,-2.096,-0.434,0.348,4.728,-1.95,2.738,-1.149,-1.688,-0.882,4.04,1.474,-0.914,-0.464,-1.17,4.585,-2.644
"7","Antarctica","July",0.016,-0.316,0.497,2.519,-2.59,1.354,2.497,-1.782,-3.355,0.422,-0.908,0.175,0.222,-0.456,-1.361,-0.266,2.749,0.237,-3.255,0.799,3.682,1.526,-3.108,3.313,-0.71,0.242,0.023,-0.417,2.275,3.128,3.164,0.048,0.372,0.159,4.148,4.13,-3.972,0.544,-1.664,0.283,0.27,4.279,-1.832,-5.025,-1.222,-3.34,2.427,3.09,2.83,0.563,2.243,-0.903,1.304,-0.843,-1.439,-1.894,0.185,1.512,1.561
"8","Antarctica","August",2.058,-0.649,4.004,0.949,1.939,-1.782,-0.637,-1.411,0.485,-0.817,0.167,4.206,-0.531,2.898,-1.906,-3.233,1.086,-2.72,-0.971,-0.935,4.23,-1.824,0.589,0.789,1.602,1.317,-4.988,2.667,3.337,-0.881,1.021,-0.408,-3.094,-1.019,-1.217,4.209,-0.432,-1.554,1.913,0.527,-2.527,1.398,3.083,-0.152,0.182,1.432,0.579,0.083,-0.369,1.32,3.752,-1.517,5.096,0.718,-1.052,3.439,-0.233,3.157,-0.134
"9","Antarctica","September",1.908,0.851,3.659,-2.754,-2.656,0.875,1.055,-2.379,0.235,2.419,-1.488,0.319,1.285,0.406,-0.856,-0.442,-2.912,-0.014,2.1,0.353,-1.201,-2.296,1.318,2.212,-1.032,-2.285,-1.113,2.755,1.731,-1.179,4.37,0.501,-0.307,1.425,-1.159,3.359,-1.123,-2.897,-1.996,-0.508,1.764,1.719,-1.361,3.348,4.774,-0.329,-0.275,4.235,2.671,-0.241,0.309,-0.913,6.738,2.043,-0.901,-0.411,0.561,-1.648,-0.044
"10","Antarctica","October",1.282,0.123,-0.467,-1.586,-1.108,-0.486,-1.999,2.962,0.627,1.779,1.046,1.831,0.787,0.81,1.001,-0.349,-2.992,0.37,-1.412,-0.609,-3.156,0.95,-2.584,-1.245,-0.512,-1.342,-0.576,3.576,-0.751,1.023,-0.63,2.934,-0.149,-0.565,0.647,-0.967,-2.027,-2.611,-0.517,-0.557,-1.453,0.985,-0.516,0.996,1.65,-2.514,0.539,-0.102,0.451,1.323,1.41,0.438,0.729,0.348,2.672,0.75,3.143,3.053,0.466
