"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Argentina","January",-0.091,-0.539,-0.011,0.29,0.114,-0.07,-0.405,-0.125,0.184,-0.344,-1.446,0.749,-0.087,-0.102,0.16,-0.198,0.061,-0.421,0.913,0.708,-0.476,0.474,1.051,0.843,-0.05,0.602,0.727,-0.148,1,0.576,-0.051,0.097,0.1,0.397,-0.207,-0.339,1.021,-0.201,-0.374,0.562,0.298,0.081,0.559,1.355,0.33,0.757,0.188,0.56,0.423,0.831,0.634,1.6,0.916,1.107,0.641,1.166,1.445,0.839,0.355
"2","Argentina","February",-0.077,-0.113,0.688,-0.068,0.573,-1.902,0.054,0.245,0.175,1.026,-1.06,0.272,0.182,-1.252,0.058,-0.089,-0.15,0.093,0.395,0.343,0.639,-0.589,-0.023,0.392,0.256,0.158,0.935,0.235,1.933,0.362,-0.026,-0.226,-0.108,-0.62,-0.784,-0.59,-0.721,-1.14,0.827,-0.342,1.488,0,0.303,0.145,0.954,0.618,0.199,0.893,0.749,0.342,-0.003,0.887,0.558,0.075,0.523,1.696,1.631,1.413,0.538
"3","Argentina","March",-0.519,1.455,-0.396,-1.161,-0.532,-0.059,-0.592,-0.549,0.165,0.365,-0.277,-0.949,0.827,0.199,-0.271,-2.035,0.447,0.449,-0.306,2.23,0.123,0.316,0.305,0.153,0.161,-0.745,0.622,1.357,-0.097,-0.188,1.012,1.047,1.247,0.271,0.04,0.74,0.435,-0.578,0.314,-0.598,0.788,0.337,0.842,1.538,0.052,0.147,0.226,0.658,1.841,1.44,0.175,0.894,-1.058,-0.801,1.462,0.441,0.672,0.375,-0.362
"4","Argentina","April",-0.457,-0.492,1.353,0.147,-0.297,0.86,1.359,-0.943,0.941,2.395,-1.473,0.214,-0.05,0.69,0.596,-0.816,1.051,0.565,-0.233,0.383,0.788,1.439,0.564,-0.555,-0.015,0.762,0.942,-0.381,0.681,-0.061,0.868,-0.077,0.404,0.114,0.575,0.195,1.655,0.159,-0.926,0.914,0.168,-0.066,-0.007,1.224,-0.658,0.871,0.875,0.283,2.271,-0.161,0.793,0.228,1.512,0.207,2.173,-0.034,0.475,2.934,1.449
"5","Argentina","May",1.045,-0.713,0.235,0.928,-1.066,0.92,2.499,-0.188,0.871,0.128,-1.301,0.766,-0.665,0.232,0.302,-0.094,-0.503,0.161,-0.133,0.984,1.964,1.432,-0.176,-0.7,0.806,0.251,-1.999,-1.957,-0.235,-0.398,1.116,-0.822,-0.613,1.352,0.395,1.141,1.143,0.831,-0.199,-0.555,-0.694,0.596,0.439,-1.922,-0.146,-0.943,-2.256,-0.336,1.068,-0.455,0.118,1.112,0.297,0.357,1.629,-1.107,0.686,1.334,0.657
"6","Argentina","June",-0.775,-0.227,0.627,-1.791,3.153,1.278,-2.619,0.686,0.282,-0.107,-2.239,0.97,0.898,-0.39,1.882,-0.572,1.063,0.043,0.176,-0.217,-0.238,-0.33,-1.803,-2.383,1.375,1.284,0.991,-0.353,1.389,0.001,0.179,0.673,0.077,1.708,0.275,-1.011,0.839,1.039,-0.37,0.474,0.778,-1.351,2.07,1.372,1.043,1.266,-0.411,-0.754,0.138,0.572,0.06,0.296,1.301,0.747,2.061,-0.588,1.069,-0.572,1.792
"7","Argentina","July",-0.348,-2.327,1.453,-0.738,-0.984,-0.038,-0.197,2.086,0.942,0.308,1.268,-0.423,-1.724,0.829,-1.022,-0.233,0.39,1.955,1.325,-0.487,0.297,-0.185,-0.989,-1.068,0.346,1.029,1.488,-1.553,-0.203,-0.351,-0.401,-2.56,-1.17,-0.246,-0.598,-0.4,1.924,2.124,-0.683,-1.884,-0.142,-0.05,0.281,0.285,0.44,1.85,-1.838,1.878,-0.686,-1.022,-0.374,-1.264,0.099,0.649,1.116,0.217,1.878,-0.976,0.444
"8","Argentina","August",1.814,0.039,0.183,-0.365,0.437,-0.999,-0.123,1.252,-0.691,-0.279,0.544,-1.002,-0.4,-0.055,-0.819,-0.412,0.059,-0.967,1.938,0.683,1.381,0.924,-0.361,-1.3,0.303,0.379,-0.654,0.06,0.798,2.022,0.104,0.128,0.682,0.47,-0.549,1.944,1.25,0.4,0.718,0.065,1.864,1.056,-0.258,0.428,0.274,0.045,-2.39,0.029,1.808,-0.736,-0.774,0.939,-0.708,2.164,2.256,1.756,1.845,0.222,0.426
"9","Argentina","September",-0.536,0.527,-1.026,-0.166,-0.766,-0.99,-0.022,0.104,0.996,1.565,1.63,0.537,-0.608,-1.158,0.256,-0.266,1.48,0.983,-1.197,0.116,-0.71,1.042,-0.858,0.479,0.317,0.174,-0.65,-0.321,-0.818,-0.719,0.816,-0.195,-0.319,1.258,0.451,0.199,0.683,-0.861,1.451,-0.815,-0.201,0.402,0.893,1.216,-0.905,0.373,1.186,0.032,-0.763,0.249,1.322,1.471,-0.524,1.552,0.216,0.486,1.083,2.137,0.38
"10","Argentina","October",0.881,-0.047,-0.48,-0.665,0.579,-0.425,0.626,-0.217,-0.576,-0.072,0.227,-1.066,0.258,0.228,0.081,-0.212,1.33,0.614,0.319,0.254,0.255,0.006,1.053,1.259,0.111,0.593,0.808,-0.394,0.545,1.532,-0.747,0.181,0.682,0.138,0.195,0.79,0.136,1.589,0.544,0.546,0.877,1.474,1.69,0.509,-0.357,1.55,1.308,0.826,0.77,0.175,0.079,0.915,1.251,2.48,-1.123,0.44,0.486,0.299,0.516
