"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Armenia","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.385,-1.423,2.085,2.272,0.929,3.067,0.041,3.615,0.869,1.215,0.3,2.429,2.901,0.489,-0.72,0.207,-4.265,0.651,4.451,2.146,1.203,2.327,1.724,2.567,1.813,-0.998,3.544,2.892
"2","Armenia","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.086,-2.086,-0.591,2.43,1.684,-0.807,-1.366,4.025,0.052,2.759,3.418,1.235,2.868,-0.575,1.844,0.783,-1.479,3.902,3.668,-0.109,-1.517,3.435,1.583,3.087,4.616,-1.345,4.767,2.59
"3","Armenia","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.375,-0.72,0.321,2.038,0.044,-2.458,0.803,1.74,-0.868,4.658,2.966,-1.926,3.198,0.66,2.929,-0.335,5.641,1.697,3.002,0.939,-2.198,2.712,3.058,1.827,3.25,2.21,5.676,1.155
"4","Armenia","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.041,-0.806,2.652,0.88,-0.987,-0.328,2.635,0.751,3.043,2.129,-0.984,-1.102,-0.653,1.44,1.26,-2.197,3.766,-1.651,0.426,-0.281,2.705,1.866,1.827,0.123,2.082,0.447,1.921,-0.33
"5","Armenia","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.243,-0.852,0.184,1.405,1.751,1.116,1.229,-0.085,0.154,-0.434,-1.282,0.866,-0.214,0.254,1.009,2.455,-0.738,0.25,0.641,0.267,2.531,1.36,2.666,0.87,1.025,1.109,1.861,1.887
"6","Armenia","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.612,0.001,0.082,1.217,-0.28,1.295,3.337,1.367,1.127,1.767,0.588,0.016,1.013,0.185,3.948,1.408,0.582,1.349,3.6,1.503,2.574,1.44,2.208,2.984,1.446,1.912,2.453,4.043
"7","Armenia","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.801,0.245,-0.175,0.222,1.528,0.104,1.294,0.86,3.559,1.219,1.09,0.338,-0.308,2.322,0.546,0.448,1.447,0.809,2.77,2.436,0.694,0.571,1.785,2.615,0.883,2.769,3.76,1.323
"8","Armenia","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17,-0.231,0.08,1.489,1.199,1.466,2.018,2.714,1.819,1.793,0.111,1.382,1.834,1.505,3.71,1.632,2.327,-1.278,2.427,0.633,2.566,0.115,3.491,2.034,3.065,3.419,1.598,1.845
"9","Armenia","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.976,0.669,0.831,0.814,0.523,-1.527,1.166,0.272,1.532,1.7,2.376,0.316,0.785,1.078,1.249,2.988,1.598,-0.644,3.398,0.414,1.752,0.884,1.86,3.191,0.304,3.513,2.562,0.384
"10","Armenia","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316,-0.052,1.542,-0.681,0.337,1.928,2.164,1.07,-0.429,-0.033,2.666,2.755,1.506,0.55,2.014,2.445,1.176,2.471,1.925,0.143,3.227,-0.217,0.075,1.257,-0.131,0.426,2.504,3.257
"11","Armenia","November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.751,-3.944,0.194,0.655,0.253,0.405,3.008,-0.631,-0.039,-0.448,1.645,0.195,0.607,0.608,-0.444,-0.106,1.042,1.384,2.749,-4.511,2.798,1.951,-0.53,0.352,-1.176,1.002,1.09,0.569
