"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Aruba","January",0.226,0.014,0.064,0.487,-0.489,0.703,-0.367,-0.514,0.109,0.835,-0.12,-0.431,1.119,-0.774,-0.223,-1.475,NA,0.68,0.098,0.726,1.177,0.319,0.891,0.572,-0.356,0.404,0.617,0.862,-0.23,0.052,0.384,0.748,NA,0.384,1.041,1.229,0.416,2.065,0.302,0.26,0.868,NA,1.446,0.31,-0.034,0.046,1.3,0.712,0.49,2.187,-0.123,0.16,1.601,0.888,1.268,1.023,0.137,1.529,1.17
"2","Aruba","February",0.123,-0.293,0.047,0.505,-0.888,0.404,-0.007,-0.582,0.109,0.441,0.011,-0.162,0.538,-0.454,0.341,-1.176,0.332,0.749,NA,0.989,1.179,0.26,0.892,0.634,0.235,-0.143,0.382,0.807,-0.508,0.164,0.625,0.842,NA,0.733,0.491,1.328,0.471,1.184,NA,-0.631,0.947,NA,1.39,0.735,-0.529,-0.159,1.047,0.683,-0.511,2.087,0.877,0.479,1.442,1.413,1.187,1.085,0.838,0.23,1.122
"3","Aruba","March",0.008,0.036,0.003,0.125,-0.531,0.261,-0.528,-0.086,0.883,0.14,-0.196,-0.032,0.576,-0.54,0.382,NA,-0.188,0.459,NA,0.824,1.126,0.031,1.269,0.261,-0.108,0.312,0.716,0.242,-0.529,0.091,0.312,1.223,NA,0.853,0.201,1.159,0.085,1.114,NA,-0.621,0.377,NA,0.595,0.587,1.451,0.134,1.011,0.32,-0.951,2.547,-0.326,0.074,1.719,0.909,0.959,1.047,1.195,1.087,1.129
"4","Aruba","April",0.036,0.147,-0.505,0.073,-0.305,0.287,-0.473,-0.731,0.932,0.415,-0.434,-0.195,0.052,-0.752,-0.415,-0.906,NA,0.219,NA,1,0.631,0.253,0.965,0.418,-0.072,0.26,1.344,0.394,0.236,0.236,0.378,1.251,NA,0.173,0.571,0.879,0.413,1.054,NA,0.069,0.167,NA,1.223,0.774,0.931,0.463,1.23,NA,0.689,1.337,0.223,0.478,1.061,1.012,2.533,1.025,1.671,1.263,1.054
"5","Aruba","May",-0.272,-0.041,-0.592,0.007,0.096,-0.712,-0.489,0.357,1.025,0.514,-0.322,0.098,0.264,-1.016,-0.391,-0.457,NA,NA,NA,1.278,0.206,0.615,0.793,0.448,0.219,0.242,1.113,0.645,0.035,0.378,0.499,1.527,NA,0.332,0.69,1.442,1.014,1.513,0.501,0.189,0.687,NA,1.138,-0.042,1.13,1.052,1.099,NA,1.258,1.606,0.578,1.041,0.818,0.286,2.003,1.08,1.139,0.914,1.156
"6","Aruba","June",-0.424,-0.078,-0.08,-0.404,-0.421,-0.129,-0.235,-0.162,0.883,0.566,-0.465,0.324,0.064,-0.632,-0.465,NA,-1.061,-0.123,NA,1.284,0.326,0.387,0.851,-0.039,-0.048,0.284,1.749,0.767,-0.331,0.491,0.713,0.955,NA,0.35,0.748,0.876,0.406,1.411,0.449,-0.273,0.125,NA,0.248,0.3,1.348,1.018,1.181,1.049,1.296,2.144,0.339,0.965,0.843,0.74,0.59,0.712,0.674,0.697,1.139
"7","Aruba","July",-0.505,0.353,-0.313,-0.091,0.166,0.358,-0.491,-0.284,0.671,0.072,-0.451,-0.156,0.165,-0.47,-0.587,NA,-0.17,-0.542,NA,1.131,1.103,0.354,0.306,0.075,0.319,0.308,0.983,1.059,0.496,0.438,0.864,-0.394,1.234,-0.248,0.169,0.622,0.295,0.963,0.58,0.238,0.936,NA,0.355,0.697,1.491,1.109,1.126,0.71,0.808,1.105,0.936,1.013,1.093,0.685,2.031,1.325,1.442,0.934,1.176
"8","Aruba","August",-0.061,0.026,-0.065,0.324,-0.302,0.29,0.091,-0.513,0.13,0.182,-0.692,-0.441,-0.129,-0.597,-0.436,0.388,NA,NA,NA,0.753,0.154,0.517,0.308,0.086,0.112,0.112,0.825,-0.261,0.498,-0.01,0.729,NA,NA,0.387,0.265,0.558,0.82,1.16,0.646,0.763,1.361,1.059,1.011,1.016,1.125,1.061,0.813,0.535,1.333,1.131,0.623,0.78,0.971,0.985,2.397,1.613,1.475,1.016,1.608
"9","Aruba","September",-0.361,0.407,0.26,0.223,NA,-0.11,-0.24,0.4,0.418,-0.476,-0.541,0.197,-0.121,-0.681,-0.777,NA,NA,NA,NA,0.633,-0.207,0.506,0.368,-0.47,0.041,-0.524,0.844,0.174,0.178,0.67,0.311,NA,-0.598,0.52,1.238,0.89,0.663,0.971,0.118,0.586,NA,0.882,1.125,0.382,0.831,0.903,0.456,0.558,2.006,-0.21,0.293,1.079,1.023,1.032,2.891,0.917,2.024,1.416,1.458
"10","Aruba","October",0.139,0.143,0.455,-0.27,0.17,-0.438,-0.154,0.29,-0.518,-0.317,-0.778,0.105,-0.498,-0.107,-0.991,NA,0.26,NA,0.716,1.075,0.169,0.058,0.13,-0.299,-0.267,-0.175,0.142,-0.336,0.07,0.211,0.8,NA,0.304,0.202,-0.061,-0.024,0.745,0.383,-0.75,0.688,NA,0.584,0.398,0.305,-0.13,0.78,0.27,-1.34,1.908,0.303,0.029,0.128,0.971,1.015,1.042,0.574,0.696,-0.062,1.33
"11","Aruba","November",-1.043,0.33,-0.166,-0.257,0.306,-0.727,-0.198,0.576,-0.071,-0.639,-0.256,0.295,-0.969,-0.349,-0.376,0.533,NA,0.869,NA,0.591,1.203,0.298,0.974,-0.452,-0.321,0.451,0.963,0.252,0.196,0.608,0.219,NA,NA,0.612,1.13,-0.08,1.156,0.593,0.091,-0.301,NA,0.949,0.748,-0.453,-0.419,1.409,0.796,-0.079,1.818,-0.698,1.017,0.539,0.02,0.335,1.095,0.841,0.836,0.674,1.616
"12","Aruba","December",-0.177,0.402,0.692,-0.881,0.41,-0.821,-0.334,0.512,0.451,-0.26,-0.502,0.631,-0.925,-0.475,-1.373,0.598,0.786,NA,0.37,0.455,1.027,0.181,0.24,-0.308,-0.357,0.136,1.457,-0.676,0.11,0.172,-0.763,-0.068,0.429,0.637,1.625,0.126,1.71,0.708,-0.004,0.813,NA,1.275,0.764,-0.178,-0.501,1.211,0.11,-0.865,1.933,0.148,0.046,0.653,0.29,1.218,0.764,1.592,1.036,0.628,NA
