"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Asia","January",0.182,-0.324,0.207,-0.714,0.604,1.371,-0.407,-0.359,-0.601,0.149,0.09,0.108,0.196,-0.299,0.33,0.423,-1.563,0.036,1.204,0.069,0.31,1.039,-0.078,-0.362,0.488,0.55,1.149,1.099,-0.003,0.507,0.648,0.602,0.107,1.334,0.816,0.04,1.03,0.257,1.788,0.617,0.547,2.143,1.399,1.533,0.732,0.129,1.69,-1.47,1.155,1.522,-0.729,-0.363,1.107,1.412,1.892,1.325,1.906,0.712,2.099
"2","Asia","February",-0.136,0.603,1.07,-1.496,0.245,1.68,-0.497,-1.837,-1.301,0.816,-0.263,-2.011,1.486,-0.959,0.138,0.629,0.012,-0.098,1.547,-0.117,0.607,-0.138,-0.541,-0.989,0.216,0.085,1.54,0.188,-0.218,0.79,0.615,0.167,1.263,0.143,1.36,0.483,0.338,1.757,3.045,0.366,1.184,2.85,1.611,2.365,-0.415,2.321,2.776,-0.605,2.544,1.072,1.157,-0.72,1.663,-0.256,2.26,2.3,1.526,1.591,1.433
"3","Asia","March",0.095,0.209,0.543,0.567,-0.397,0.393,-0.437,0.335,0.832,-1.183,-0.209,0.223,0.432,-0.218,0.357,-0.909,1.052,-0.025,-0.091,-0.163,0.873,-0.305,-0.421,0.165,-0.493,-0.082,-0.16,-0.373,0.278,0.64,0.319,-0.587,0.266,0.006,0.428,-0.128,0.97,0.419,0.104,0.588,1.691,2.413,0.231,1.913,1.297,1.628,0.814,3.25,1.566,1.419,-0.066,0.179,2.391,1.617,1.358,2.828,0.929,3.202,1.782
"4","Asia","April",0.288,-0.328,-0.352,0.523,-0.786,-0.171,-0.574,-0.411,-0.013,0.405,0.058,-0.205,0.905,0.412,0.29,-0.576,0.133,0.606,0.351,0.24,0.762,0.164,-0.456,0.157,0.493,-0.014,0.283,0.378,0.42,-0.126,0.284,0.366,-0.176,0.67,0.34,-0.549,0.45,1.615,1.136,1.664,1.053,0.622,0.581,1.243,1.124,0.776,1.123,1.532,0.985,0.574,1.018,1.853,0.803,1.443,1.08,2.055,1.642,1.51,1.525
"5","Asia","May",0.064,0.082,-0.165,-0.064,0.032,0.033,0.367,-0.262,0.353,0.432,-0.03,-0.035,0.003,0.11,-0.223,-0.223,-0.215,0.501,-0.05,0.5,-0.051,0.098,0.45,0.203,0.431,0.25,0.149,0.48,0.403,0.232,0.026,-0.34,-0.394,0.731,0.35,0.593,0.555,0.851,0.548,1.048,1.261,0.455,0.529,0.726,0.537,0.871,1.396,1.004,0.895,1.117,0.822,1.522,1.122,1.092,1.373,1.206,1.663,1.162,1.084
"6","Asia","June",0.149,-0.036,0.019,-0.147,0.116,0.135,-0.297,-0.093,0.025,-0.122,-0.372,0.281,0.011,-0.189,-0.001,-0.483,0.145,0.187,0.429,0.355,0.251,-0.015,-0.045,0.007,-0.026,0.25,0.131,0.448,-0.162,0.317,0.31,-0.094,0.145,0.541,0.753,0.287,0.619,1.139,0.497,0.649,0.79,0.729,0.496,0.673,1.227,1.094,1.079,0.828,0.806,1.506,1.093,1.291,0.937,1.166,1.062,1.204,1.177,1.261,1.46
"7","Asia","July",0.187,0.365,0.162,-0.154,-0.162,0.008,-0.016,0.111,-0.143,0.031,-0.049,-0.047,0.069,-0.06,-0.076,-0.491,0.183,0.05,-0.089,0.292,0.427,-0.08,0.077,-0.24,-0.261,0.022,0.357,0.441,0.102,0.157,0.34,-0.266,-0.074,0.169,0.317,0.535,0.561,1.001,0.629,1.058,0.745,0.942,0.238,0.432,1.054,0.641,0.758,0.933,0.669,1.332,0.948,1.143,0.787,0.693,1.048,1.194,1.556,1.462,1.224
"8","Asia","August",0.036,0.095,0.273,0.029,-0.23,0.459,0.022,-0.426,-0.279,0.251,-0.206,-0.176,0.106,-0.108,0.212,-0.522,0.224,-0.118,-0.066,-0.063,0.103,-0.017,0.256,-0.173,0.361,0.091,0.422,0.249,0.145,0.372,0.229,-0.244,-0.127,0.488,0.562,0.181,0.515,1.202,0.901,0.891,0.841,0.822,0.81,0.511,0.715,1.283,1.166,0.807,0.799,1.361,1.064,1.182,0.921,0.94,0.911,1.594,1.252,1.192,1.163
"9","Asia","September",-0.094,-0.009,0.253,-0.179,-0.088,-0.059,-0.303,-0.173,-0.156,-0.202,-0.206,-0.306,0.254,-0.151,0.495,-0.112,0.385,0.028,-0.029,-0.166,0.086,-0.042,0.434,-0.278,-0.243,0.153,0.555,0.525,0.166,0.424,0.241,-0.408,0.096,-0.063,0.392,0.492,0.018,1.203,0.79,0.641,0.791,0.708,0.75,0.74,1.29,0.701,1.086,0.85,0.939,1.17,0.683,0.784,0.935,0.7,1.083,1.52,1.51,0.934,1.469
"10","Asia","October",-0.317,-0.119,0.103,-0.428,0.353,0.18,-0.137,-0.375,0.407,-0.032,-0.44,0.032,-0.158,-0.233,0.138,0.213,0.317,0.04,0.819,0.071,-0.538,0.588,0,-0.346,-0.026,-0.105,0.03,0.355,0.556,0.661,0.179,-0.363,-0.01,0.226,0.672,0.057,0.948,1.31,1.021,-0.101,0.924,0.864,1.03,0.572,1.005,1.905,0.565,1.248,1.276,1.29,1.046,1.021,0.894,0.803,1.402,0.494,1.082,0.889,1.623
