"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Australia","January",0.287,-0.088,-0.652,-0.227,-0.076,-0.206,0.115,0.478,1.065,0.144,0.559,-0.741,1.141,-0.738,-0.54,-1.33,0.174,0.121,1.316,0.41,0.701,0.874,0.35,-1.166,0.776,0.036,0.189,1.233,-0.059,0.749,0.556,-0.161,0.578,0.909,0.389,0.155,-0.213,0.949,1.276,-0.557,1.334,0.13,0.882,0.595,0.678,1.185,0.302,1.322,0.662,0.877,1.078,0.284,1.978,1.237,0.405,0.883,1.065,1.494,2.727
"2","Australia","February",-0.002,-0.033,-0.078,-0.556,1.239,-0.145,-0.503,0.332,0.251,0.846,0.394,-0.145,0.224,-0.938,-0.113,-0.482,0.802,0.71,0.116,0.293,0.231,0.399,2.142,-0.056,0.949,0.715,-0.216,0.02,0.708,-0.251,0.738,0.414,-0.192,0.032,-0.155,0.372,1.004,1.346,0.262,0.318,0.573,-0.4,1.025,0.957,0.787,0.661,1.792,-0.351,0.688,1.069,0.068,-0.029,1.045,0.382,1.93,1.29,0.739,0.999,1.456
"3","Australia","March",0.238,-0.43,0.366,0.104,-0.201,-0.029,-1.477,0.149,-0.254,-0.151,0.313,-0.55,0.389,0.209,-0.563,-0.334,-0.356,0.813,0.458,0.872,-0.706,-0.45,0.59,-1.074,1.005,1.457,-0.666,0.802,0.023,1.092,0.279,0.995,0.141,-0.692,-0.55,0.077,-0.629,1.193,0.518,0.022,-0.451,0.384,-0.362,0.372,1.032,0.686,0.65,0.557,0.541,0.425,-0.679,-0.765,0.877,0.913,0.848,1.763,1.682,1.066,1.899
"4","Australia","April",0.649,-0.164,-0.723,0.132,-0.594,0.257,0.556,0.58,-0.224,-0.086,-0.433,-0.363,0.949,-0.364,-0.248,-0.473,-0.232,0.135,0.183,0.744,1.513,0.079,-0.932,-0.126,0.088,0.619,0.971,0.663,0.484,0.212,0.434,0.851,1.242,0.003,-0.673,-0.125,0.22,0.574,-0.737,0.171,0.325,1.769,0.911,1.034,2.471,-0.486,0.981,-0.346,0.741,1.491,-0.331,0.289,1.208,1.255,-0.399,2.122,0.236,2.332,1.292
"5","Australia","May",-0.156,-0.505,0.405,-0.031,0.641,-0.639,0.515,-1.287,0.317,-0.39,-0.339,0.362,1.55,-0.075,0.65,-0.355,-0.057,0.89,-0.57,1.47,0.572,0.205,0.763,0.686,0.579,1.127,0.281,1.478,1.218,1.204,0.755,0.751,1.021,0.635,0.109,0.699,0.398,1.628,1.305,-0.653,-0.05,1.667,1.345,0.378,1.548,-0.565,2.127,0.659,0.386,0.865,-0.902,-0.057,1.437,1.956,0.28,2.313,1.048,0.644,0.906
"6","Australia","June",-0.156,1.484,-0.474,0.201,0.262,0.115,-0.012,0.172,-0.487,0.799,-0.981,0.438,0.713,-0.701,-0.19,-0.536,-0.597,-0.237,0.811,0.463,-0.238,-1.363,0.102,0.075,-0.827,0.381,0.89,0.866,-0.788,-0.375,1.745,0.156,-0.012,0.043,0.353,2.049,0.009,0.621,0.505,-0.648,0.902,0.411,0.831,0.688,1.023,-0.849,-1.278,1.122,0.708,0.389,-0.509,-0.473,0.864,0.555,1.32,1.283,0.526,0.33,0.275
"7","Australia","July",-0.637,0.43,-0.506,0.679,-0.974,-0.408,-0.574,-0.822,0.9,-0.271,-0.418,-0.209,1.842,0.395,1.857,0.181,-0.296,-0.207,0.196,0.2,0.645,-0.901,-0.679,-0.581,0.046,-0.004,0.17,1.169,-0.298,0.699,0.548,0.649,1.172,0.365,0.448,0.924,-0.395,0.57,0.789,0.741,0.643,0.535,0.988,0.455,1.256,0.162,0.378,0.415,0.896,1.167,0.726,-0.12,1.608,0.462,0.583,1.138,1.761,1.237,1.47
"8","Australia","August",-0.658,-0.225,0.05,0.255,0.362,-0.646,-0.721,-0.998,0.818,-0.363,0.478,0.848,0.964,0.325,0.172,-0.371,1.032,-0.192,0.345,1.066,0.733,1.542,1.059,0.249,0.918,-0.471,0.185,0.904,-1.005,-0.218,0.407,0.329,0.849,-0.223,1.224,0.838,0.13,1.687,1.052,0.319,0.298,0.421,0.74,0.112,0.614,1.205,1.188,-0.538,2.546,0.28,1.244,0.493,1.764,0.475,0.869,0.706,1.198,0.191,0.434
"9","Australia","September",0.938,0.021,0.059,0.641,0.965,-0.33,-0.171,-0.553,-1.43,-0.546,0.495,0.905,0.376,-0.437,1.023,-0.411,-0.478,-1.06,0.449,1.558,1.628,0.031,1.854,-1.054,-0.287,0.681,0.481,1.355,0.586,0.153,0.73,0.037,0.293,0.258,1.282,0.716,1.341,1.51,1.491,1.863,1.198,1.257,1.385,0.011,1.324,1.425,1.346,1.541,1.409,0.461,0.422,1.31,2.781,1.43,0.591,0.34,1.474,0.859,1.252
"10","Australia","October",1.22,-0.309,0.292,-1.348,0.885,-1.17,1.556,-0.127,0.824,0.584,0.433,0.464,0.449,-0.645,-1.203,-1.072,0.894,-0.485,0.275,0.534,0.184,-0.459,0.824,0.095,-0.228,-0.653,0.785,2.238,0.563,0.641,1.544,-0.411,-0.388,0.666,0.137,0.741,0.779,0.863,0.91,0.058,-0.748,1.052,-0.26,1.784,1.352,1.53,1.467,1.751,0.605,-0.068,0.698,1.035,1.656,2.068,2.98,-0.157,1.668,1.955,2.119
"11","Australia","November",0.238,0.824,0.024,-0.386,0.173,-0.082,0.44,-0.027,0.178,-0.267,-1.069,0.534,-0.115,-1.135,0.144,-0.657,0.633,-0.281,1.305,1.303,-0.573,1.389,0.193,0.393,0.369,-0.009,0.531,-0.092,-0.102,1.652,0.296,-1.024,0.663,0.428,0.575,0.099,0.965,0.245,-1.191,0.543,-0.287,1.679,0.886,0.532,0.965,1.647,0.979,0.202,2.181,-0.32,0.617,1.511,0.811,1.983,2.118,0.779,1.03,0.929,1.202
"12","Australia","December",0.468,-0.137,0.266,-1.162,0.433,-0.827,-0.364,-0.613,-0.279,0.087,-0.359,1.812,-0.033,-0.25,-0.163,0.755,0.731,-0.469,1.427,0.777,0.553,0.997,0.266,0.162,0.068,0.049,0.238,-0.015,0.384,1.304,-0.011,-0.391,-0.439,1.016,-0.281,0.197,1.075,0.324,-0.716,0.108,-0.434,1.117,1.14,0.675,1.118,0.436,0.307,0.261,1.094,-0.318,-0.197,1.366,0.948,1.089,1.246,0.981,1.306,2.051,3.107
