"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Australia and New Zealand","January",0.27,-0.042,-0.619,-0.27,-0.043,-0.211,0.09,0.44,1.013,0.185,0.579,-0.738,1.106,-0.73,-0.464,-1.293,0.132,0.144,1.286,0.401,0.718,0.851,0.297,-1.176,0.796,0.095,0.22,1.201,-0.002,0.739,0.548,-0.152,0.522,0.902,0.383,0.18,-0.24,0.946,1.29,-0.548,1.267,0.139,0.848,0.614,0.665,1.161,0.29,1.327,0.676,0.849,1.067,0.269,1.936,1.182,0.447,0.878,1.026,1.564,2.711
"2","Australia and New Zealand","February",-0.013,-0.042,-0.054,-0.548,1.158,-0.09,-0.514,0.308,0.211,0.812,0.424,-0.167,0.228,-0.852,-0.08,-0.543,0.768,0.716,0.102,0.278,0.245,0.412,2.029,-0.064,0.92,0.703,-0.229,0.042,0.684,-0.183,0.704,0.367,-0.222,0.054,-0.131,0.371,0.983,1.385,0.29,0.312,0.578,-0.407,0.977,0.903,0.809,0.649,1.732,-0.318,0.663,1.065,0.094,-0.037,1.016,0.378,1.876,1.335,0.732,1.009,1.441
"3","Australia and New Zealand","March",0.191,-0.415,0.323,0.08,-0.215,-0.01,-1.421,0.21,-0.259,-0.118,0.31,-0.499,0.384,0.164,-0.502,-0.324,-0.338,0.805,0.472,0.812,-0.638,-0.44,0.562,-1.01,0.959,1.404,-0.674,0.748,0.039,1.088,0.271,0.899,0.091,-0.707,-0.526,0.046,-0.634,1.197,0.558,0.009,-0.439,0.383,-0.328,0.324,1.01,0.626,0.668,0.565,0.511,0.427,-0.649,-0.774,0.878,0.875,0.849,1.746,1.639,1.072,1.894
"4","Australia and New Zealand","April",0.614,-0.162,-0.744,0.108,-0.596,0.248,0.538,0.555,-0.247,-0.061,-0.403,-0.338,0.919,-0.335,-0.219,-0.456,-0.225,0.202,0.178,0.704,1.502,0.03,-0.914,-0.125,0.088,0.628,0.937,0.606,0.477,0.23,0.4,0.754,1.165,0.008,-0.615,-0.095,0.194,0.572,-0.704,0.184,0.325,1.709,0.869,0.96,2.374,-0.417,0.939,-0.322,0.72,1.482,-0.326,0.299,1.205,1.249,-0.357,2.091,0.262,2.269,1.239
"5","Australia and New Zealand","May",-0.162,-0.432,0.384,-0.055,0.6,-0.651,0.503,-1.217,0.303,-0.402,-0.291,0.341,1.514,-0.061,0.657,-0.354,-0.104,0.877,-0.56,1.435,0.543,0.205,0.731,0.642,0.551,1.092,0.296,1.421,1.195,1.198,0.74,0.677,1.001,0.636,0.128,0.685,0.419,1.61,1.325,-0.591,-0.014,1.646,1.34,0.39,1.529,-0.538,2.133,0.606,0.337,0.862,-0.795,-0.056,1.414,1.924,0.3,2.327,1.012,0.65,0.939
"6","Australia and New Zealand","June",-0.157,1.473,-0.475,0.187,0.251,0.103,-0.035,0.176,-0.506,0.795,-0.887,0.381,0.706,-0.676,-0.206,-0.538,-0.573,-0.246,0.814,0.447,-0.196,-1.346,0.103,0.106,-0.764,0.373,0.879,0.869,-0.738,-0.347,1.676,0.132,0.042,0.034,0.352,1.97,0.02,0.634,0.52,-0.583,0.899,0.465,0.881,0.719,0.995,-0.852,-1.226,1.128,0.663,0.389,-0.446,-0.457,0.858,0.604,1.3,1.302,0.525,0.331,0.286
"7","Australia and New Zealand","July",-0.62,0.444,-0.491,0.69,-0.976,-0.403,-0.564,-0.816,0.842,-0.231,-0.407,-0.188,1.767,0.414,1.79,0.18,-0.271,-0.174,0.215,0.194,0.637,-0.892,-0.672,-0.528,0.082,-0.015,0.178,1.179,-0.296,0.7,0.521,0.65,1.154,0.359,0.415,0.892,-0.382,0.621,0.798,0.771,0.61,0.543,0.951,0.438,1.271,0.175,0.383,0.433,0.865,1.133,0.728,-0.087,1.613,0.466,0.579,1.14,1.71,1.244,1.487
"8","Australia and New Zealand","August",-0.657,-0.208,0.016,0.244,0.333,-0.657,-0.649,-0.951,0.794,-0.325,0.494,0.786,0.934,0.302,0.189,-0.344,1,-0.169,0.327,1.034,0.682,1.501,1.03,0.277,0.882,-0.476,0.219,0.896,-0.947,-0.189,0.433,0.299,0.806,-0.198,1.181,0.801,0.128,1.638,1.024,0.321,0.32,0.432,0.724,0.081,0.629,1.175,1.174,-0.517,2.518,0.304,1.198,0.512,1.769,0.469,0.842,0.678,1.205,0.217,0.441
"9","Australia and New Zealand","September",0.885,0.015,0.053,0.611,0.93,-0.33,-0.189,-0.562,-1.341,-0.516,0.488,0.902,0.392,-0.396,0.995,-0.416,-0.518,-1.022,0.446,1.529,1.562,0.02,1.802,-1.018,-0.26,0.652,0.476,1.363,0.609,0.132,0.728,-0.005,0.257,0.226,1.24,0.738,1.277,1.495,1.469,1.816,1.195,1.246,1.352,-0.001,1.317,1.425,1.321,1.518,1.379,0.478,0.399,1.291,2.71,1.402,0.558,0.367,1.46,0.843,1.223
"10","Australia and New Zealand","October",1.225,-0.257,0.292,-1.314,0.817,-1.144,1.519,-0.152,0.759,0.579,0.423,0.462,0.445,-0.619,-1.154,-1.065,0.851,-0.492,0.268,0.549,0.179,-0.489,0.815,0.085,-0.243,-0.612,0.772,2.198,0.584,0.637,1.487,-0.421,-0.363,0.616,0.124,0.734,0.76,0.872,0.922,0.07,-0.675,0.988,-0.262,1.724,1.311,1.478,1.411,1.693,0.544,-0.07,0.688,0.999,1.63,2.006,2.903,-0.124,1.65,1.899,2.048
