"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Austria","January",-0.801,1.349,-5.062,-3.158,1.426,-2.16,0.276,-1.087,0.083,0.049,-0.355,-0.414,0.737,3.375,4.242,2.094,1.478,1.281,-2.23,-1.517,-1.534,-0.838,4.34,1.169,-4.475,0.774,-3.184,3.923,2.219,1.549,1.659,2.097,2.948,4.127,0.55,0.033,-0.031,3.033,2.135,-0.241,1.931,1.392,0.352,0.07,1.585,-1.783,5.623,4.041,-0.488,-0.951,1.707,2.56,1.971,4.368,3.332,2.116,-2.346,4.845,0.872
"2","Austria","February",2.903,-0.669,-5.299,0.045,-3.706,5.161,1.306,1.359,-1.842,-0.828,0.625,2.272,0.155,3.33,0.804,0.413,2.879,-1.322,0.417,1.967,-0.702,-1.231,-2.425,-1.092,-2.624,-5.209,-0.227,1.442,3.321,4.831,-2.703,2.112,-0.813,0.671,4.044,-2.46,2.989,4.246,-0.635,3.234,2.415,4.496,-2.721,1.568,-2.291,-0.874,4.332,3.375,0.298,0.011,0.845,-3.405,-0.653,3.602,0.705,4.221,3.215,-1.881,3.655
"3","Austria","March",2.721,-3.122,-1.547,-2.143,-0.663,-0.335,1.717,0.783,-1.207,-1.926,-2.935,2.497,-0.278,2.658,0.687,-1.921,3.488,1.396,1.557,0.224,3.212,0.441,1.557,-1.139,-0.644,-0.728,-4.26,-0.841,3.748,3.771,3.049,1.216,-0.278,4.25,-0.311,-2.196,2.104,0.527,2.223,1.715,2.985,2.792,2.048,-0.098,-0.354,-1.244,2.64,1.061,0.787,0.791,1.95,3.801,-1.141,4.026,1.911,1.46,4.335,-0.579,3.332
"4","Austria","April",3.571,0.717,1.318,1.342,-1.035,2.075,-0.683,1.799,-0.097,-1.411,1.444,0.017,-2.046,-0.187,-0.409,0.144,-1.199,-0.84,-1.29,-2.22,0.816,-1.416,1.76,-0.83,0.199,0.704,1.013,0.674,0.964,-0.424,-0.723,0.488,1.665,0.225,1.173,0.788,-1.621,1.542,1.572,3.285,-0.222,0.562,0.371,1.495,1.4,1.554,4.124,0.863,4.073,1.366,3.638,1.421,1.964,2.932,1.321,1.921,0.837,5.448,2.187
"5","Austria","May",-1.18,-1.586,-0.047,0.855,-1.205,0.453,0.505,0.215,2.319,-1.561,1.695,-0.291,1.136,-0.684,1.134,0.621,0.193,-1.167,0.628,-1.834,0.442,0.695,0.621,-1.111,1.258,3.015,-1.537,1.628,0.707,1.814,-2.708,1.848,2.995,1.111,0.694,1.26,1.564,1.494,2.15,2.959,3.179,2.72,3.552,-0.425,1.714,1.017,2.667,2.358,2.788,0.531,2.037,2.207,0.509,0.588,1.65,1.104,2.265,4.056,-1.269
"6","Austria","June",0.864,-1.702,0.542,1.833,0.099,0.763,-0.614,0.269,-1.18,1.196,-1.111,-0.058,0.322,-1.658,-1.063,0.898,0.47,-0.844,1.613,-0.777,0.714,1.112,0.444,-0.861,-1.512,-0.02,-0.421,-0.306,-1.131,-0.036,-0.432,0.917,0.914,1.171,-0.857,1.438,0.799,1.835,0.399,2.378,-0.327,2.945,5.168,0.449,1.612,1.635,2.766,2.37,0.432,1.501,1.738,2.563,0.964,1.532,1.967,1.916,3.611,2.686,5.024
"7","Austria","July",-1.238,-1.231,1.182,0.827,-0.857,-1.182,1.832,-0.427,0.694,-0.228,0.86,0.232,-0.035,-0.525,0.463,1.331,-0.131,-1.27,-1.241,-1.385,-0.459,1.546,3.566,-0.692,1.255,-0.146,1.358,1.446,0.865,0.15,1.924,1.826,-0.158,3.568,3.225,-0.599,-0.14,1.149,1.502,-0.588,1.549,1.758,2.431,0.791,1.251,4.153,1.897,1.261,1.743,3.07,0.188,2.146,3.219,1.547,4.192,2.595,2.404,2.744,2.851
"8","Austria","August",0.107,1.426,0.192,-0.543,-1.459,-1.072,0.33,-0.901,-0.849,0.345,2.019,-0.267,1.285,1.763,0.581,-1.893,-0.547,-1.058,-0.772,0.862,0.533,0.759,1.237,-0.055,0.694,1.019,-0.355,1.197,0.71,1.571,1.596,4.745,1.131,2.744,0.556,0.322,1.666,1.855,0.919,2.539,2.814,1.593,5.03,1.883,-0.379,-1.106,1.148,1.597,2.74,0.877,2.732,3.021,2.447,0.049,4.032,1.541,3.289,4.06,3.264
"9","Austria","September",2.782,-0.618,0.973,0.153,-0.427,0.619,0.519,-0.391,0.725,0.29,-1.658,-2.819,0.98,-0.001,2.564,-1.325,-1.543,-0.578,0.115,0.381,0.774,2.702,0.624,-0.765,1.11,-0.204,2.863,0.105,0.36,-1.304,1.738,0.829,-0.302,1.459,-1.109,-2.8,1.054,-0.189,2.723,0.647,-1.84,-0.737,0.316,0.487,1.368,2.692,-1.2,-0.645,2.051,-0.846,2.865,1.191,0.307,0.984,0.462,3.079,-0.857,2.364,1.269
"10","Austria","October",1.567,0.254,-0.196,-1.212,-0.481,3.393,2.183,1.072,1.151,-0.45,-0.151,-1.982,-1.333,-3.956,-0.509,1.293,1.516,0.107,-0.092,-0.571,0.584,0.736,0.566,1.252,0.147,0.835,1.289,1.489,1.039,1.403,-0.823,-1.106,0.541,-0.789,2.594,0.688,-0.926,0.825,1.073,2.454,3.86,0.26,-2.087,2.258,1.565,3.065,-0.221,1.287,0.258,-0.941,0.328,0.811,2.007,2.912,0.474,-0.101,1.943,2.815,2.758
"11","Austria","November",-0.009,-1.083,3.401,1.447,-1.581,-1.71,0.29,0.618,1.261,2.028,-0.51,0.037,-1.094,0.097,-1.093,0.976,0.703,-1.441,-0.304,-1.501,0.027,1.348,-1.531,1.166,-2.659,0.825,0.581,-2.568,-1.164,0.435,-0.116,1.36,-2.501,3.217,-1.254,1.621,0.685,-2.076,-1.321,2.564,-0.847,3.014,2.223,0.653,-0.443,2.643,-0.807,1.483,2.563,2.022,0.418,2.502,1.131,3.82,3.224,0.915,0.748,2.396,2.526
"12","Austria","December",-1.162,-4.113,-3.846,-0.696,1.255,0.467,-0.774,-2.547,-4.11,-0.655,2.055,-0.211,-0.439,2.939,-0.04,-1.33,0.04,0.268,3.109,-1.033,-1.181,2.041,0.026,0.509,3.015,-0.205,1.722,1.672,1.474,-0.836,-1.258,0.255,1.826,2.023,-0.439,-1.909,1.931,-0.901,0.325,2.584,-2.324,0.941,0.971,0.665,-0.672,2.831,0.05,1.361,0.536,-1.933,2.642,0.451,2.492,2.563,4.234,1.311,1.179,1.909,3.091
