"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Azerbaijan","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.943,-0.76,2.232,2.235,-0.268,1.427,-0.356,2.801,0.835,1.358,1.075,2.175,3.531,1.594,-1.418,2.351,-4.347,0.804,3.36,1.897,0.33,2.825,1.527,2.074,1.897,0.518,2.007,3.127
"2","Azerbaijan","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.615,-1.89,-1.698,2.783,1.017,-0.686,-0.852,4.084,1.458,2.833,3.76,0.328,3.53,-0.569,1.555,1.188,-0.782,3.44,1.961,-0.357,-2.543,3.452,0.715,2.335,3.663,-0.254,3.093,2.448
"3","Azerbaijan","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.931,0.19,0.657,2.35,-0.725,-1.29,1.02,1.973,0.523,3.971,3.722,-1.658,3.034,0.491,2.634,0.287,5.959,2.445,2.114,0.675,-0.782,3.105,2.843,1.524,3.518,2.64,4.052,2.272
"4","Azerbaijan","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.689,-0.271,1.659,1.805,-1.195,0.743,2.747,1.007,3.478,2.227,-0.82,-1.45,-0.372,1.346,1.097,-1.386,3.388,-1.892,0.519,-0.021,3.776,1.799,1.217,-0.012,2.449,0.64,1.166,0.645
"5","Azerbaijan","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.114,-0.591,-0.246,1.102,1.77,0.852,1.098,-1.011,-0.131,-0.045,-1.505,0.287,0.103,0.941,0.201,1.84,-0.024,0.336,0.828,0.628,3.166,1.416,3.354,0.866,1.477,1.485,2.114,2.428
"6","Azerbaijan","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.381,-0.259,-0.815,1.3,-0.171,1.348,3.7,0.847,0.666,1.243,0.418,-0.743,0.872,0.61,3.51,1.629,0.497,1.244,3.846,1.805,2.88,1.58,2.282,3.77,1.776,1.53,1.966,4.503
"7","Azerbaijan","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.758,-0.484,-0.695,0.682,1.582,0.295,1.441,0.708,2.265,1.027,1.435,0.115,-0.396,2.11,0.53,0.381,1.213,1.463,2.902,3.18,0.938,0.749,1.69,2.215,0.864,2.46,4.369,1.418
"8","Azerbaijan","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.428,-0.013,-0.138,1.051,0.932,1.238,1.969,2.65,1.99,1.465,0.481,1.37,1.847,1.273,3.334,2.175,2.181,-1.109,2.48,0.733,2.631,0.112,3.533,2.005,2.899,3.288,1.247,1.278
"9","Azerbaijan","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.871,-0.043,0.693,1.142,0.972,-1.635,0.63,0.265,1.153,1.507,2.801,0.405,0.804,1.68,1.317,2.81,1.399,-0.036,2.848,0.505,1.639,1.255,2.032,2.576,0.777,3.032,2.318,0.441
"10","Azerbaijan","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,-0.604,1.361,-0.358,0.449,2.308,1.564,1.196,-0.674,-0.219,3.03,2.999,1.117,1.052,2.628,2.157,1.179,2.506,1.901,0.357,3.835,0.804,-0.744,0.731,-0.753,1.15,2.356,3.366
