"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Bahamas","January",-0.322,0.948,-0.174,0.512,-0.574,-0.517,0.861,-0.076,0.198,-1.146,0.052,1.749,1.261,1.552,1.339,-0.708,-1.111,-0.287,0.509,0.291,-2.191,0.863,0.36,0.725,-1.173,0.183,0.101,0.735,1.597,2.26,2.339,0.446,1.826,1.358,0.439,0.443,0.407,1.61,1.853,0.163,-1.389,1.42,-1.027,-0.258,0.283,0.785,2.295,0.758,-0.072,-1.017,-0.373,0.645,2.134,0.923,1.535,0.455,1.24,0.657,1.322
"2","Bahamas","February",1.086,0.469,0.199,-0.301,0.889,0.081,0.314,-1.825,-0.544,-1.506,0.631,0.73,-0.779,-0.05,1.912,-0.141,0.293,-1.394,-0.389,-0.681,0.456,1.828,0.358,0.896,0.28,0.744,1.06,0.486,0.933,2.421,1.043,1.155,0.229,2.293,0.313,-0.744,2.722,1.063,0.411,0.554,2.38,1.066,2.576,1.494,0.054,-0.497,0.958,2.389,-0.613,-1.055,1.213,1.673,1.508,2.688,0.413,0.407,2.033,3.033,3.143
"3","Bahamas","March",0.913,-0.433,0.91,1.323,0.485,-0.601,-0.23,-1.794,-0.865,-0.432,-0.577,-0.038,0.801,0.666,0.665,0.414,1.098,-0.246,-0.759,0.285,-0.843,1.13,-0.516,-0.319,0.258,-0.192,-0.083,-0.037,0.618,0.749,0.78,0.274,-0.535,0.601,0.427,-1.023,1.88,-0.586,-0.684,0.74,0.755,1.219,3.566,0.439,0.048,-0.298,0.796,1.227,-0.597,-2.066,0.234,0.974,-1.527,0.807,1.79,1.491,0.139,-0.672,0.886
"4","Bahamas","April",0.392,-0.579,0.041,0.71,0.162,-0.571,-1.159,-0.501,0.758,0.733,-0.866,0.199,0.369,0.524,0.809,-1.123,-0.14,0.016,0.295,0.394,0.18,0.942,-0.557,-0.205,-0.159,-1.055,-1.348,0.344,0.68,0.236,1.337,-0.205,-0.604,1.054,1.076,0.268,0.643,0.358,0.932,0.301,0.117,0.893,0.527,-0.335,-0.39,0.234,-0.206,0.421,0.306,-0.344,1.8,-0.307,0.958,0.76,2.166,0.817,0.993,1.278,1.55
"5","Bahamas","May",-0.212,-1.011,-0.976,0.191,-0.799,-0.019,-0.112,-0.087,0.266,-0.397,0.359,0.212,0.59,0.162,0.468,0.44,-0.725,0.953,0.047,0.347,0.345,-0.722,-0.104,0.155,0.293,-0.482,0.104,0.031,0.662,0.99,0.87,-0.87,-0.316,0.727,1.447,0.907,1.077,1.095,0.013,0.404,-0.706,0.744,1.674,0.14,0.422,0.34,-0.01,1.145,0.361,1.078,0.817,0.232,-0.184,0.593,0.601,0.792,1.13,0.474,1.353
"6","Bahamas","June",0.088,-0.594,-0.212,0.309,-0.129,-0.598,-0.461,-0.017,0.264,0.139,0.104,0.141,0.103,-0.135,0.307,-0.89,0.381,0.61,0.157,0.596,0.922,0.568,0.333,-0.458,0.834,0.206,0.522,0.423,0.575,0.611,0.523,0.426,0.351,1.036,0.675,0.014,0.468,2.084,0.23,0.358,-0.252,0.24,0.788,1.238,0.668,0.373,0.113,0.943,0.443,1.948,0.659,0.424,0.586,0.164,0.648,1.169,1.536,0.923,1.587
"7","Bahamas","July",0.526,0.483,0.106,-0.126,-0.336,0.137,0.188,-0.043,0.26,-0.041,-0.041,-0.169,0.082,-0.252,-0.216,-0.265,-0.03,0.237,0.452,0.561,0.663,0.236,0.619,-0.081,0.138,0.437,0.732,0.334,0.344,0.485,0.694,0.418,0.525,0.16,0.426,0.475,0.564,1.334,0.423,0.475,0.267,0.628,0.671,0.279,1.515,0.074,0.689,0.612,1.074,0.819,1.025,0.046,-0.351,0.902,1.272,1.392,1.349,0.855,0.821
"8","Bahamas","August",0.199,0.039,0.012,0.274,0.005,0.235,-0.159,0.086,-0.187,-0.107,-0.27,-0.235,-0.336,-0.266,-0.032,-0.484,0.022,-0.052,0.092,0.364,0.204,0.298,0.365,-0.28,0.517,0.35,0.976,0.116,0.337,0.461,0.216,0.298,0.45,0.086,0.297,0.354,0.671,1.083,0.9,0.122,0.554,0.252,0.339,0.357,1.077,0.339,0.84,0.362,0.987,0.903,0.706,0.396,0.075,0.672,0.754,0.905,1.251,0.818,0.927
"9","Bahamas","September",-0.115,-0.159,0.398,-0.108,0.044,0.568,-0.202,0.247,-0.088,-0.274,-0.344,-0.045,0.004,0.154,0.075,-0.267,0.198,0.033,0.013,0.223,0.254,0.307,0.481,-0.323,0.04,0.63,0.845,0.302,0.811,0.769,0.334,0.117,0.462,0.394,0.72,0.704,0.404,0.85,0.696,0.851,0.234,0.686,0.557,0.395,0.979,0.455,0.45,0.376,0.64,0.734,0.671,0.154,0.417,0.212,1.066,0.937,1.312,0.82,0.884
"10","Bahamas","October",-0.584,0.208,-0.413,-0.166,0.12,0.132,0.18,0.181,0.292,0.006,0.285,-0.071,-0.083,-0.382,0.348,-0.098,-0.415,0.394,0.124,0.787,0.537,0.151,0.612,0.001,0.991,0.637,-0.004,0.352,0.568,1.058,0.723,-0.052,1.065,0.782,1.505,0.042,0.253,1.124,0.978,-0.506,0.526,1.402,0.994,0.585,0.697,0.664,1.354,0.458,1.584,1.087,0.247,0.376,1.103,0.296,0.996,0.687,0.89,1.497,1.986
"11","Bahamas","November",-0.715,-1.077,-0.434,0.25,-0.124,-0.955,-0.392,-0.506,-1.081,-1.287,0.158,1.243,0.337,-0.301,0.123,0.489,0.615,0.969,0.734,0.89,-0.429,0.769,0.436,-0.099,1.372,2.115,0.973,1.026,1.232,0.639,0.319,1.174,1.184,1.439,0.566,0.042,1.082,1.436,0.717,-0.333,-0.035,0.951,1.093,0.679,0.681,-0.102,0.36,-0.478,0.537,-0.122,1.109,-1.131,1.443,0.13,2.195,0.063,1.247,1.671,1.095
"12","Bahamas","December",0.172,-0.959,-1.295,0.55,-0.276,-0.897,0.757,-0.596,-1.484,0.086,1.47,1.226,-0.912,-0.389,-0.447,0.835,0.726,1.663,0.394,-0.591,0.106,0.884,1.643,0.855,0.645,2.052,0.799,0.563,-0.395,1.181,1.084,0.759,0.473,1.491,-0.079,0.404,0.848,2.181,0.558,0.397,1.908,1.231,-0.269,0.207,0.457,2.316,2.065,0.651,2.064,-3.402,1.092,0.892,2.358,-0.201,3.458,2.864,0.858,1.651,2.007
