"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Bahrain","January",0.646,0.345,2.026,-3.593,-0.144,2.06,0.755,-1.106,1.722,0.769,0.299,-0.619,-1.941,-0.312,-0.36,-0.172,-1.625,0.898,1.209,-0.33,1.768,-0.122,-1.7,-0.383,1.671,-0.187,0.298,-0.795,-2.745,-1.007,0.924,-2.765,-1.261,1.821,0.796,0.365,0.977,-0.834,1.88,0.883,-0.125,0.701,0.628,2.919,0.83,1.183,-1.578,-1.516,-1.157,2.121,1.149,0.61,2.374,0.499,1.861,1.234,1.574,1.347,3.319
"2","Bahrain","February",-0.303,1.028,3.65,-0.489,0.048,0.74,-1.517,-2.295,-0.679,1.458,0.678,-2.193,1.439,-0.841,-0.189,-1.227,-0.02,0.613,1.847,0.348,0.545,-1.803,-1.685,0.065,-0.639,-0.079,1.626,-0.136,-2.351,-0.121,-0.057,-1.967,-0.731,-0.06,0.837,1.373,-1.005,0.862,2.594,-0.267,-0.039,0.901,1.527,1.459,0.091,1.817,1.027,-0.867,1.849,3.043,1.014,0.167,2.063,1.408,2.648,1.44,-1.226,2.652,1.318
"3","Bahrain","March",-0.885,0.806,0.613,1.164,0.064,-0.183,-1.32,0.346,3.449,0.564,-0.178,-0.899,0.444,0.109,-0.701,-2.832,1.53,0.135,0.14,1.229,0.858,-1.716,-3.165,1.102,-0.689,-0.069,-0.152,-0.105,-0.1,-0.1,-1.04,-3.447,-0.008,-0.262,-0.654,-0.045,-1.975,0.154,0.551,-0.246,1.481,1.982,0.274,1.595,1.19,1.383,1.157,3.162,0.269,2.997,0.778,-0.396,1.805,2.549,1.614,2.138,0.944,4.197,-0.145
"4","Bahrain","April",-0.469,-0.048,0.836,-0.057,-0.936,-0.741,-1.939,-0.694,0.001,1.523,-1.198,-0.698,0.588,-0.047,0.056,-0.944,0.055,1.012,1.06,1.656,0.194,0.064,-1.396,1.475,0.41,0.512,0.324,0.547,0.59,0.408,0.698,-0.97,-0.417,1.372,-0.219,0.134,-1.103,1.146,2.308,3.586,1.924,1.019,1.879,0.604,2.117,1.548,2.141,1.958,0.783,2.304,1.683,1.485,2.212,2.936,1.788,1.476,3.213,2.27,1.003
"5","Bahrain","May",-0.591,0.372,-1.922,-0.03,0.866,0.783,-0.683,-0.206,0.178,-0.491,1.562,-1.267,0.852,-0.35,0.728,0.112,0.988,0.311,0.703,0.35,0.27,0.896,1.358,-0.532,1.337,2.122,2.074,1.197,1.352,2.177,-1.517,0.307,0.272,1.243,0.944,2.008,1.062,2.019,1.902,2.732,2.573,2.544,2.158,1.591,1.449,3.215,3.02,2.814,2.769,1.981,3.102,3.889,1.264,3.13,3.4,2.837,3.833,1.854,2.482
"6","Bahrain","June",-1.2,0.251,-0.529,0.93,1.103,0.843,-1.377,0.273,-0.79,-0.36,-1.188,1.187,-0.374,0.224,0.722,-0.451,1.293,-0.529,2.064,0.769,0.035,0.806,1.059,0.084,0.218,0.509,0.844,0.811,0.044,0.568,-0.488,1.189,0.139,1.106,1.085,0.743,1.618,2.558,2.597,1.523,1.208,1.383,2.273,1.491,1.834,2.551,2.199,2.592,2.868,2.566,2.792,2.773,1.687,2.085,2.289,2.187,2.418,3.476,3.722
"7","Bahrain","July",0.094,0.59,0.57,-0.021,0.287,-0.101,-0.491,0.305,-0.008,0.477,0.167,-0.138,-0.046,0.035,0.048,-0.666,0.589,0.015,-0.021,0.92,1.005,0.157,0.523,0.545,0.359,1.292,1.416,1.676,1.124,1.394,-1.156,-0.231,0.551,0.688,0.066,1.766,1.257,1.93,1.489,2.342,1.613,2.328,1.661,1.582,1.547,2.299,1.43,2.083,1.845,2.541,1.887,2.538,1.655,2.375,2.767,2.564,3.278,2.74,2.056
"8","Bahrain","August",0.219,0.972,0.4,0.175,0.77,0.505,-0.09,-0.804,-0.029,-0.52,-0.454,-0.012,0.227,0.065,-0.472,-0.731,0.213,-0.749,-0.226,-0.05,0.346,-0.063,-0.066,-1.135,1.02,1.151,0.751,0.957,0.817,0.493,-1.187,0.039,0.715,0.119,0.601,1.138,-0.064,2.572,1.81,2.224,1.823,1.519,1.561,1.343,1.943,2.363,1.773,1.446,1.766,1.856,1.806,2.137,0.853,2.083,2.905,2.722,2.875,2.156,2.238
"9","Bahrain","September",-1.327,0.203,-0.024,-0.05,0.788,0.896,-0.363,-0.491,0.304,-1.109,-0.592,-0.465,0.46,-0.023,0.832,-0.182,0.363,-0.713,0.464,-0.262,0.644,1.285,-0.589,-0.552,0.195,1.127,0.802,1.78,-0.143,0.496,-0.879,-0.018,0.256,0.769,-0.201,0.947,0.556,2.561,2.069,0.332,1.694,0.883,0.781,0.036,1.059,0.81,1.733,1.888,1.348,2.401,1.661,1.336,1.572,2.025,2.994,1.98,2.677,2.938,2.727
"10","Bahrain","October",-0.993,0.189,0.858,-2.279,1.455,0.822,1.008,0.01,1.197,-1.088,-1.219,-0.068,0.334,-0.598,-1.872,1.366,0.772,-0.311,1.231,-0.306,0.304,1.214,-1.779,-1.129,0.107,1.699,0.909,1.405,0.192,0.75,0.376,-0.83,1.191,1.039,0.251,0.156,1.818,1.345,2.122,1.137,1.921,1.93,1.591,1.587,0.842,2.208,1.73,1.326,1.106,2.196,0.867,2.331,-0.137,2.57,3.685,0.795,2.711,2.239,3.98
