"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Bangladesh","January",0.928,-1.171,-0.318,-0.268,0.396,0.44,0.441,-0.293,-0.52,-0.335,0.095,0.517,0.638,-0.387,-0.145,-0.063,-0.261,-1.136,0.806,0.031,0.146,0.777,-0.425,-0.547,0.591,0.269,0.565,0.825,-1.108,0.693,-0.301,-0.574,-0.934,0.803,-0.958,-0.112,-0.77,-0.565,0.784,0.51,-0.105,0.829,-1.263,-0.042,0.371,0.576,0.301,0.343,1.368,-0.58,-0.772,-0.795,-1.743,0.206,1.462,0.392,1.376,-0.415,1.019
"2","Bangladesh","February",-1.527,0.024,1.319,0.31,-0.417,1.338,0.601,-0.995,0.137,0.041,-0.654,-2.095,1.214,-0.238,0.082,0.482,-0.099,-0.1,-0.578,-0.131,0.032,-0.161,-0.818,-0.819,-0.229,0.312,0.897,1.002,-0.267,0.505,1.141,-1.165,0.354,-0.744,-0.51,0.181,-1.269,0.476,1.997,-0.822,0.903,1.074,1.109,0.911,1.563,3.877,0.129,-1.136,1.472,0.836,0.563,-0.052,0.475,-0.119,1.088,2.727,1.877,1.827,1.264
"3","Bangladesh","March",1.024,0.06,-0.066,1.159,-1.184,0.29,-1.12,-0.223,0.441,0.007,-0.603,-0.079,-0.576,-0.361,0.606,0.617,1.264,-1.019,-0.066,0.058,-0.902,-1.09,-0.383,0.032,1.135,0.571,-0.247,0.068,-0.207,-2.014,0.799,0.897,-1.528,-0.071,-0.611,0.915,0.39,-1.139,1.607,-0.566,-0.124,0.775,-0.662,1.284,0.719,1.095,-0.455,0.599,1.053,2.119,0.357,0.911,0.659,0.158,0.608,1.981,-0.318,1.659,0.427
"4","Bangladesh","April",0.813,0.345,-0.855,-0.567,-0.332,0.708,-1.135,-0.592,-0.019,0.203,-1.625,-0.643,0.965,-0.548,0.452,0.232,-1.583,-0.612,0.234,1.181,-2.141,-0.885,-0.81,0.24,0.503,-0.759,-0.397,0.35,0.312,-1.232,-0.146,0.68,-1,-0.668,0.848,0.168,-2.453,-0.162,1.867,-0.243,0.486,-0.59,0.21,-0.667,0.044,-0.06,0.074,0.5,1.419,1.474,-0.229,-0.476,0.187,1.412,-0.925,1.837,-0.009,-0.054,0.422
"5","Bangladesh","May",0.39,-0.233,-1.122,-0.383,0.351,1.072,0.083,-0.118,0.303,0.579,-0.81,0.565,-0.975,-0.526,-0.124,-0.76,-1.676,-0.655,1.512,-0.91,-1.035,1.017,-0.694,-0.563,-0.549,-0.689,0.349,-0.184,0.619,-0.324,-0.709,-0.731,-1.278,0.21,0.796,0.125,-0.018,0.608,-0.021,-0.252,-0.519,-0.473,0.293,1.145,-0.286,0.078,0.65,0.358,0.159,0.531,-0.071,0.942,-0.278,1.337,0.803,0.448,1.34,-0.294,1.47
"6","Bangladesh","June",-0.005,-0.22,-0.057,0.158,-0.063,-0.21,0.487,-0.956,0.136,0.026,-0.672,0.495,0.136,-0.117,0.403,-0.617,-0.749,-0.333,0.858,0.111,0.327,-0.073,0.787,-0.341,0.216,0.91,1.08,-0.103,0.044,0.316,-0.416,0.382,-0.284,0.043,0.533,-0.338,0.171,1.828,0.429,0.414,-0.132,0.25,-0.157,0.344,1.544,0.795,0.429,0.028,1.265,0.779,0.353,1.022,1.566,0.821,0.902,1.586,1.404,1.337,1.999
"7","Bangladesh","July",0.209,0.649,0.113,-0.652,-0.408,0.425,0.27,0.009,0.294,-0.192,-0.487,0.44,0.48,-0.753,-0.731,-0.25,0.012,0.007,0.3,0.235,-0.146,0.615,0.587,-0.241,-0.468,-0.037,0.076,0.275,0.069,-0.065,0.363,-0.317,0.37,0.501,0.089,0.251,-0.166,0.432,0.22,0.709,0.383,0.416,0.66,0.184,0.424,1.235,0.223,0.082,0.867,1.313,0.689,0.503,1.332,1.082,0.82,0.902,0.982,1.452,1.536
"8","Bangladesh","August",0.301,-0.096,0.263,0.195,-0.802,-0.021,0.122,0.078,-0.523,0.031,-1.057,-0.468,0.046,-0.001,0.124,-0.696,0.081,0.485,0.034,0.116,0.397,-0.088,0.174,0.127,0.41,0.585,0.085,0.072,0.348,0.536,0.269,0.278,0.022,0.356,0.029,-0.467,0.399,0.297,-0.059,0.569,0.779,0.25,0.754,0.636,0.657,0.686,0.853,0.173,0.724,1.219,0.029,0.7,0.622,0.495,0.962,1.553,1.398,1.657,1.922
"9","Bangladesh","September",-0.004,0.481,0.395,0.2,-0.205,-0.223,-0.369,0.432,0.063,-0.221,-0.055,0.244,-0.265,-0.525,-0.435,-0.152,0.252,-0.397,-0.019,0.353,-0.029,0.161,0.158,-0.524,-0.145,-0.525,0.2,0.427,0.063,0.115,-0.527,-0.235,-0.632,0.378,-0.027,0.312,-0.17,0.835,-0.17,0.104,0.717,0.36,0.473,-0.226,1.138,0.384,0.826,0.38,0.709,0.735,0.228,0.374,1.102,0.393,1.187,1.26,1.389,1.577,0.939
"10","Bangladesh","October",0.128,-0.335,-0.093,0.368,-0.133,-0.776,-0.419,-0.284,-0.174,-0.251,-0.017,0.026,0.126,0.893,0.549,-0.198,-0.594,0.618,0.169,-0.449,0.385,0.142,0.171,0.447,0.261,-0.566,0.391,0.369,0.052,-0.827,-0.221,-0.303,0.095,-0.048,0.572,-0.301,0.013,1.945,0.498,0.535,0.766,0.633,0.726,-0.532,0.052,0.619,0.305,0.298,0.346,1.202,1.041,0.472,0.496,0.374,0.994,1.746,1.209,0.246,0.974
"11","Bangladesh","November",-0.862,-0.694,-0.333,0.442,0.099,0.556,-1.365,-0.076,0.016,-0.3,-0.736,0.646,-0.12,1.415,-0.696,1.16,0.633,0.717,1.898,0.277,0.221,-0.548,0.61,-0.228,-0.369,0.357,0.917,0.658,-0.221,1.13,-1.056,0.061,0.524,0.527,0.598,0.2,1.025,2.105,0.883,1.032,1.407,1.199,0.88,0.119,0.334,0.745,0.899,0.806,0.69,1.715,0.49,0.064,0.577,1.003,1.368,1.255,1.577,0.858,1.909
"12","Bangladesh","December",-1.854,-0.215,0.29,0.339,0.312,-0.18,0.281,-0.05,0.069,-0.319,0.165,0.317,-0.459,-0.969,-0.906,-0.44,-0.029,0.362,0.409,0.662,-0.315,-0.659,-0.656,0.168,0.763,0.777,0.84,1.392,-0.665,0.29,-0.539,-0.863,0.591,0.199,-0.051,0.49,0,1.343,1.364,0.701,0.933,0.711,1.05,1.682,0.923,0.737,0.126,1.639,-0.027,0.241,0.417,-0.49,0.612,0.429,1.032,2.305,2.063,0.644,0.421
