"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Barbados","January",0.56,-0.049,0.541,-0.068,-0.177,0.514,0.105,-1.004,-0.314,0.477,0.343,-0.126,0.46,-0.363,-0.675,-1.085,-0.029,-0.052,-0.721,0.461,0.031,NA,NA,-0.468,-0.75,-0.393,0.146,0.346,0.133,0.191,0.621,0.38,0.239,0.295,0.52,0.469,0.215,1.223,0.426,-0.028,0.296,0.924,0.847,0.938,0.645,0.649,0.851,0.421,0.583,1.418,1.364,0.838,0.87,0.675,1.279,0.684,1.138,0.793,1.197
"2","Barbados","February",0.293,-0.217,0.374,0.465,-0.444,-0.353,-0.062,-0.471,-0.181,-0.29,0.035,-0.461,-0.094,-0.237,-0.523,-0.973,0.319,0.653,-0.057,1.193,1.264,NA,NA,0.226,-0.337,-0.969,0.679,0.417,-0.102,-0.408,0.669,0.194,0.305,0.522,0.465,0.835,0.284,1.548,0.006,-0.305,0.065,0.385,1.12,0.841,1.078,0.582,0.937,0.105,0.273,1.404,0.743,0.576,1.003,0.608,1.212,2.517,1.121,0.025,1.38
"3","Barbados","March",0.848,-0.361,0.13,0.421,-0.088,-0.297,-0.407,-0.916,0.875,-0.034,-0.359,-0.25,-0.185,-0.617,-0.691,-1.158,-0.159,0.56,-0.418,-0.181,NA,NA,NA,-0.131,-0.511,-0.726,0.263,0.037,-0.255,0.041,0.538,0.716,0.386,0.605,0.071,0.252,-0.172,1.286,0.368,-0.429,0.374,-0.441,0.744,0.515,1.833,0.738,0.838,-0.353,-0.068,2.064,0.279,0.618,1.159,0.463,0.368,1.022,1.027,1.381,0.986
"4","Barbados","April",0.452,0.243,0.334,0.224,-0.785,-0.094,-0.603,-0.512,0.779,0.47,-0.38,-0.456,-0.089,-0.998,-1.105,-0.829,-0.848,0.513,-0.073,0.635,0.065,NA,NA,0.138,-0.416,0.221,1.02,0.752,-0.436,0.094,-0.019,0.967,1.053,0.675,0.16,0.287,-0.221,1.291,0.332,0.149,0.41,0.246,1.011,0.817,2.037,0.841,0.894,0.213,0.539,1.83,0.296,0.436,0.762,0.667,0.871,1.526,1.63,0.785,0.839
"5","Barbados","May",0.09,0.681,0.072,-0.038,-0.247,-0.456,-0.765,-0.074,0.717,0.707,-0.61,-0.36,-0.107,-0.816,-0.619,-0.786,-0.309,0.594,0.398,0.639,-0.712,NA,NA,-0.162,-0.357,0.364,0.833,0.673,-0.136,0.082,0.236,0.377,0.541,0.493,0.513,-0.111,0.33,0.611,0.604,0.233,0.803,0.729,1.045,0.201,1.175,1.079,0.851,0.55,0.608,1.336,0.664,0.162,0.5,0.705,0.809,1.264,1.418,0.773,1.077
"6","Barbados","June",0.088,0.079,0.17,-0.239,-0.248,-0.557,-0.167,-0.076,0.615,0.306,-0.207,0.144,-0.094,-0.511,0.125,-0.551,-0.042,-0.037,0.354,-0.627,NA,NA,NA,0.22,0.026,NA,0.318,0.458,0.316,0.204,0.804,-0.168,0.538,0.351,0.348,0.096,0.127,0.457,0.687,0.097,0.54,NA,0.819,0.489,0.673,1.078,0.41,0.305,0.55,1.211,1.227,0.562,0.949,0.803,NA,0.612,0.917,0.971,1.526
"7","Barbados","July",-0.051,0.039,-0.17,-0.379,-0.288,-0.497,-0.406,0.184,0.475,-0.334,-0.147,0.017,0.585,0.02,-0.13,-0.277,0.144,0.21,-0.012,NA,NA,NA,NA,-0.419,0.186,NA,0.275,0.636,0.626,0.521,0.604,0.179,0.506,0.66,0.652,0.04,0.138,0.694,0.172,0.501,0.607,0.461,0.585,0.42,0.983,1.238,0.618,0.791,0.841,1.282,0.757,0.954,1.059,0.864,0.868,1.222,1.327,1.181,1.436
"8","Barbados","August",-0.072,0.019,0.41,0.001,-0.109,-0.418,-0.027,-0.336,0.155,0.046,-0.604,-0.173,0.037,-0.364,-0.415,0.079,0.126,-0.199,0.223,NA,NA,NA,NA,-0.205,-0.064,NA,0.591,0.214,0.911,0.682,0.796,0.145,0.124,0.221,0.412,0.22,-0.279,1.109,0.217,0.959,0.497,0.417,0.566,0.618,1.213,1.117,0.596,1.006,1.077,1.185,1.082,0.545,0.949,0.493,1.247,1.952,0.006,1.011,1.015
"9","Barbados","September",0.274,-0.135,0.055,-0.254,0.037,-0.772,0.019,-0.19,-0.099,0.091,-0.307,0.211,0.019,0.285,-0.585,0.182,0.19,0.078,0.009,NA,NA,NA,NA,-0.242,-0.19,-0.402,-0.163,-0.085,NA,0.651,0.678,0.094,0.254,-0.131,0.739,0.058,0.335,0.889,0.555,0.492,0.731,0.573,0.96,0.742,1.659,1.263,0.805,0.968,1.063,0.712,1.026,0.992,1.184,0.939,1.693,1.598,0.702,1.257,1.561
"10","Barbados","October",-0.181,0.209,0.2,-0.509,-0.218,0.073,0.064,-0.145,0.045,0.136,-0.398,0.833,-0.595,-0.002,-0.949,0.315,-0.237,-0.041,0.202,NA,1.279,NA,-0.202,-0.524,-0.341,-0.275,0.405,-0.187,NA,NA,-0.081,0.346,0.148,-0.17,0.336,0.01,0.725,0.68,-0.273,0.6,0.275,0.26,0.799,1.198,1.504,1.108,0.625,0.433,1.093,1.145,0.674,1.023,1.029,0.584,1.738,1.693,NA,0.751,1.906
