"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Belarus","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.622,4.753,6.477,2.58,-2.339,1.273,5.64,4.214,2.747,4.895,3.987,1.407,0.386,5.726,-1.175,7.541,4.428,2.857,-4.483,3.249,2.274,0.049,0.256,5.815,-0.319,1.263,4.307,1.9
"2","Belarus","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.177,3.471,-1.862,7.044,-2.378,4.911,5.558,1.88,5.604,2.133,7.76,-0.969,2.245,-0.302,-2.162,-1.285,6.682,2.788,1.488,-2.023,-4.776,4.32,5.496,5.092,7.301,3.018,-0.057,6.504
"3","Belarus","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.447,1.087,1.796,4.128,-2.237,2.324,1.412,3.493,2.998,1.973,5.166,1.518,3.32,-1.88,-1.271,7.155,4.335,2.447,1.791,1.366,3.013,-2.73,7.027,6.026,3.911,6.201,-0.756,5.28
"4","Belarus","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.773,0.888,2.649,1.258,1.371,-2.006,1.79,3.776,4.969,3.339,1.923,-0.95,0.846,1.86,1.119,0.497,2.982,2.234,2.259,2.256,2.387,0.794,2.5,1.127,2.649,0.461,4.553,2.359
"5","Belarus","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.054,2.837,-0.918,0.236,3.076,-0.107,0.886,-1.902,0.624,0.067,2.335,3.121,-1.29,0.834,0.049,2.452,-0.46,0.182,2.769,1.237,2.294,4.174,2.22,0.151,2.139,0.027,4.179,1.593
"6","Belarus","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473,-2.074,-1.841,2.141,-0.407,0.216,1.641,4.023,-0.449,-1.133,0.551,-1.027,-1.413,-0.902,0.273,1.722,-0.234,0.053,2.072,2.066,-0.324,2.577,-0.827,0.375,1.694,-0.266,0.999,4.265
"7","Belarus","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.083,-1.245,1.976,0.566,-1.013,0.577,-0.055,2.961,-0.518,4.55,3.819,2.4,0.274,1.563,2.253,0.372,0.712,1.124,5.07,2.701,2.848,0.89,2.835,0.41,2.197,-0.021,2.252,-0.311
"8","Belarus","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.138,-1.406,0.589,0.758,1.162,1.309,-1.251,0.209,0.389,1.49,2.367,0.265,1.673,0.687,1.095,2.766,1.629,-0.263,4.253,1.089,0.676,1.247,1.702,2.892,1.657,2.171,2.839,1.085
"9","Belarus","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385,-2.281,2.916,0.412,-2.2,-1.1,0.299,1.638,-1.545,0.349,0.097,0.174,0.696,2.2,2.002,0.805,0.02,2.207,0.202,1.599,1.357,-0.496,0.879,2.387,1.737,1.887,3.291,1.078
"10","Belarus","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.408,-0.06,-0.675,1.391,1.309,-1.146,-0.055,0.812,2.446,1.778,-1.592,-1.247,1.61,1.244,2.243,1.068,2.607,-0.285,-1.697,0.221,0.787,1.663,-0.223,-1.283,-1.069,0.512,2.068,3.212
