"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Belgium","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.606,1.333,1.682,0.319,1.221,2.477,-0.745,4.703,3.879,-1.655,-2.403,1.533,2.839,0.26,3.709,1.8,2.642,-1.029,4.076,0.923
"2","Belgium","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.086,2.094,4.307,-0.615,1.948,-0.802,-0.325,3.726,2.85,0.456,-0.383,1.98,-2.205,-1.213,3.766,0.416,2.29,3.015,-1.743,4.039
"3","Belgium","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.684,1.12,2.148,2.871,0.621,1.125,-1.178,2.212,0.651,0.842,0.809,1.864,3.281,-2.482,3.519,1.278,0.26,3.956,-0.302,2.905
"4","Belgium","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.821,-0.116,1.192,1.566,1.94,1.993,0.716,4.736,0.336,3.806,1.404,4.74,0.306,0.517,3.677,1.42,0.399,0.573,4.304,2.147
"5","Belgium","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.474,2.385,1.131,1.625,-0.034,0.862,1.468,2.109,3.349,1.766,-1.202,2.211,2.095,-0.803,0.919,0.599,1.619,2.752,3.501,-0.411
"6","Belgium","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.452,-0.061,1.791,3.768,0.756,1.956,1.608,2.04,1.292,0.516,1.531,1.263,0.3,0.28,1.308,1.066,1.43,3.431,2.464,3.494
"7","Belgium","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.232,1.842,0.682,2.351,0.431,1.417,5.375,0.302,1.188,1.437,3.152,-0.703,0.46,2.78,2.469,2.587,1.858,2.057,4.403,2.712
"8","Belgium","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.472,2.283,1.925,4.158,2.281,-0.159,-0.354,0.244,0.962,2.261,0.37,1.054,2.272,1.641,-0.342,2.774,1.996,1.429,2.96,2.71
"9","Belgium","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.393,-1.315,0.081,0.884,1.198,1.983,3.691,-0.489,-0.932,1.302,-0.507,2.034,0.096,0.431,1.829,-0.651,3.701,-0.177,1.46,0.935
"10","Belgium","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972,3.826,-0.026,-2.234,1.194,3.289,3.474,-0.075,-0.135,0.238,-0.084,1.415,0.264,2.081,3.078,-0.093,-0.15,2.437,2.125,1.768
