"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Belgium-Luxembourg","January",0.112,1.956,-6.705,-1.857,1.156,-1.853,1.147,-0.229,1.88,-0.533,-0.222,-0.77,0.243,3.638,4.346,1.975,1.021,0.832,-4.486,-1.347,-0.316,-1.058,3.648,1.443,-4.756,0.67,-4.627,3.933,2.333,2.664,1.408,0.86,3.23,3.01,1.252,-0.767,-2.556,2.565,3.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Belgium-Luxembourg","February",4.081,-0.302,-5.835,1.07,-2.084,4.32,2.303,-0.04,-2.548,-0.94,0.709,1.744,-0.041,2.287,1.448,0.435,2.75,-1.44,-1.679,2.654,-1.317,0.248,-1.981,-0.356,-2.751,-6.345,-0.651,1.334,2.099,5.119,-2.749,1.947,-1.118,0.032,3.914,-1.606,3.5,3.194,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Belgium-Luxembourg","March",2.319,-3.384,-0.414,-2.138,-0.399,-0.28,1.537,0.683,-1.401,-2.354,-2.64,1.647,0.033,1.549,-0.484,-1.52,2.395,1.194,0.001,0.22,3.334,0.311,0.613,-1.203,-0.889,-0.633,-2.87,-0.368,3.405,3.083,3.124,1.487,0.594,2.767,-0.229,-1.543,3.185,1.816,2.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Belgium-Luxembourg","April",2.975,0.353,1.091,0.916,-0.61,1.458,-0.868,1.259,-0.282,-1.85,1.07,-0.279,-1.994,0.898,-0.4,-0.405,-1.782,-0.682,-0.879,-0.872,0.681,-0.555,0.662,-0.613,0.494,-1.722,2.159,0.66,-0.898,-0.15,-0.199,0.442,2.916,0.286,1.142,1.122,-0.447,0.888,1.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Belgium-Luxembourg","May",-1.228,-2.136,-0.676,1.807,-0.288,0.896,0.252,-1.161,0.96,0.143,2.081,-0.712,0.644,-0.731,-0.598,1.177,-0.531,-0.358,-0.234,-0.795,0.656,0.556,-1.33,-1.857,1,1.6,-2.099,2.044,2.322,1.983,-2.1,2.588,2.318,0.531,0.699,-1.119,0.835,2.383,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Belgium-Luxembourg","June",0.165,-1.12,0.086,0.874,0.024,1.366,-0.603,-0.044,-0.779,1.799,-1.269,-1.553,1.09,-0.757,-0.413,2.924,-0.433,-0.679,0.731,-0.786,-0.306,1.332,1.187,-1.085,-1.542,1.214,-1.066,-0.268,0.103,-0.245,-1.889,1.255,1.009,1.013,-0.552,0.62,0.523,1.218,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Belgium-Luxembourg","July",-1.603,-1.541,0.341,1.188,-1.727,-1.498,1.76,-0.587,1.562,-0.956,1.136,0.57,0.327,-1.323,1.297,2.962,-0.185,-1.283,-0.6,-1.717,-0.408,1.936,3.851,-0.345,0.653,0.292,0.235,-0.361,1.437,0.236,2.207,1.671,-0.131,4.41,3.624,-0.34,0.473,-0.333,2.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Belgium-Luxembourg","August",-0.289,-0.334,-0.984,0.047,-1.128,-0.827,0.066,-0.25,0.331,0.611,0.989,-0.752,2.063,0.615,2.721,0.706,-0.505,-1.315,-1.158,0.53,0.302,0.587,2.141,0.984,-0.419,-0.264,-0.159,0.732,1.017,2.43,2.175,2.385,-0.365,1.376,2.533,0.752,3.813,0.768,1.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Belgium-Luxembourg","September",3.312,-0.956,0.175,0.554,-1.177,0.304,0.051,0.044,0.394,0.56,-0.718,-2.516,1.221,-0.647,1.621,-0.373,-1.225,-0.843,-0.01,1.072,0.698,2.472,0.312,-0.841,0.773,-2.06,1.668,-0.212,1.075,-1.361,1.791,0.193,-0.854,-0.287,-0.677,-1.927,0.805,0.45,3.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Belgium-Luxembourg","October",1.468,0.258,-0.715,-1.944,-0.196,2.016,1.936,1.599,1.591,0.267,0.371,-1.357,-1.073,-3.694,-1.476,1.166,1.43,0.25,0.891,-1.1,-1.193,0.416,0.209,1.169,0.178,1.401,0.68,1.033,1.855,1.849,-0.391,-2.235,-1.113,-0.383,3.24,0.528,-0.47,-0.291,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
