"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Belize","January",0.182,-0.321,0.418,-0.352,-0.402,-0.54,-0.914,-0.206,0.203,-0.414,0.549,0.766,0.41,3.367,0.489,-0.307,0.197,0.583,0.932,2.327,-0.474,2.132,1.448,0.787,0.539,-0.557,0.729,1.302,1.685,2.37,2.49,1.774,2.534,1.415,2.201,0.928,2.055,2.667,1.833,0.736,0.521,1.66,0.005,1.866,1.383,1.73,2.841,1.754,1.461,1.079,1.873,2.227,2.357,0.507,2.117,1.882,3.168,0.611,1.717
"2","Belize","February",0.137,0.222,0.217,0.431,0.393,0.026,-0.668,-0.788,0.272,-1.299,0.374,0.411,0.196,-0.771,0.893,-0.722,0.563,0.014,1.262,1.113,0.641,2.354,1.601,1.152,1.79,2.518,1.426,1.039,0.484,1.984,1.388,1.244,1.672,2.819,1.784,1.189,2.334,2.48,1.425,1.067,2.54,1.313,2.996,2.142,1.728,0.959,1.415,2.751,1.486,1.691,2.118,2.424,2.726,3.02,1.569,0.9,3.15,2.376,3.494
"3","Belize","March",0.538,-0.604,-0.132,0.611,-0.43,-1.363,-0.892,-2.061,-0.053,-0.037,0.182,0.955,1.497,0.398,0.83,0.628,1.663,0.147,1.208,2.12,0.773,1.188,1.107,1.188,1.718,0.182,1.6,0.907,-0.007,0.755,1.824,2.122,0.945,1.571,1.575,0.218,2.454,1.478,1.387,1.354,1.061,1.456,2.908,1.61,2.754,1.697,1.376,1.445,0.985,0.684,1.81,1.675,0.426,2.515,2.156,2.678,1.869,2.009,2.172
"4","Belize","April",0.272,-0.142,-0.33,0.678,-0.956,0.203,-0.846,-0.816,0.453,0.847,-0.77,1.015,0.783,-0.067,0.309,-0.505,-0.025,0.539,1.785,0.56,0.606,1.178,1.806,1.5,0.339,0.473,-0.193,1.301,1.025,0.949,2.032,1.202,1.379,1.735,2.098,1.299,2.246,1.365,1.778,1.08,1.328,1.244,0.737,1.12,1.774,0.927,1.762,1.015,1.768,2.179,2.115,1.168,1.676,1.78,2.274,2.656,1.975,1.616,1.977
"5","Belize","May",-0.199,-0.964,-1.441,-0.007,-0.675,-0.115,-0.107,-0.045,0.162,-0.76,-0.13,0.548,1.255,0.486,0.39,0.057,0.064,0.867,1.227,2.075,0.609,0.127,1.945,0.084,0.009,0.278,0.558,0.599,0.501,0.769,0.728,-0.86,-0.121,0.997,1.713,0.258,1.117,0.95,1.104,0.32,-0.44,0.493,1.28,0.203,1.205,0.456,0.625,0.777,0.927,1.117,1.091,0.445,0.631,-0.01,0.683,1.854,1.158,0.593,1.726
"6","Belize","June",-0.2,-0.227,0.599,-0.504,-0.1,-0.379,0.314,-0.107,0.336,0.315,-0.718,1.377,-0.046,0.327,0.536,-1.138,-0.805,-0.326,-0.39,-0.677,-0.539,-0.049,-0.004,-0.904,-0.93,-0.485,-0.029,-0.119,-0.225,-0.58,0.196,-0.576,-0.465,-0.194,-0.139,-0.131,-0.524,0.314,-0.88,-1.348,-0.279,-0.46,0.351,-0.303,-0.012,-0.931,-0.03,-1.179,-0.057,0.846,0.025,-0.45,-0.502,-0.299,-0.546,-0.053,0.058,-0.247,0.62
"7","Belize","July",-0.256,-0.114,0.032,-0.307,0.345,0.15,-0.067,0.231,0.65,0.104,-0.579,0.449,0.308,-0.163,0.263,-0.091,0.192,-0.567,0.38,-0.163,-0.173,-0.292,-0.494,-1.061,-0.324,-0.418,-0.293,0.194,0.108,-0.026,-0.141,-1.279,-0.451,0.098,-0.302,-0.058,0.188,-0.277,-0.597,-0.275,0.127,-0.189,0.11,-0.175,0.368,-0.284,0.381,-0.365,0.384,0.005,-0.336,-0.193,-0.557,0.227,0.55,0.655,0.221,-0.036,0.582
"8","Belize","August",-0.398,-0.208,-0.714,-0.261,-0.403,-0.179,-0.181,-0.152,-0.179,-0.047,-0.482,-0.145,0.092,0.178,-0.077,-0.213,0.262,-0.052,0.078,0.446,0.043,-0.154,-0.244,-0.354,0.174,-0.268,0.038,0.124,-0.282,-0.293,-0.082,-0.563,-0.337,0.134,0.24,-0.67,0.026,0.492,-0.238,-0.905,-0.509,0.178,0.029,0.725,0.405,-0.022,-0.126,0.179,0.061,0.166,0.404,-0.164,-0.451,0.322,1.274,0.71,0.521,-0.138,1.358
"9","Belize","September",-0.549,-0.062,0.053,-0.361,-0.689,-0.19,-0.212,-0.095,0.184,-0.106,0.169,0.117,-0.061,-0.307,-1.076,-0.217,0.608,-0.555,-0.258,0.318,-0.353,-0.205,0.494,-0.251,-0.563,-0.571,0.018,-0.494,-0.323,-0.116,-0.63,-1.002,-0.484,-0.664,-0.571,0.262,-0.333,1.112,-0.278,-0.384,-0.195,0.054,0.285,0.263,-0.015,0.492,0.06,0.098,0.787,-0.056,0.141,0.114,-0.431,-0.796,0.523,0.557,0.987,0.329,0.713
"10","Belize","October",0.044,0.145,-0.325,-1.091,-0.154,-0.143,0.027,0.096,0.371,0.06,-0.306,0.242,-0.19,-0.233,-0.666,0.231,0.204,-0.446,0.479,0.04,0.177,-0.114,-0.364,-0.01,0.853,-0.419,-1.269,-0.713,-0.568,-0.109,-0.376,-0.182,0.111,0.926,-0.22,-0.05,-0.048,0.149,-0.703,-1.272,-0.067,0.432,0.402,0.358,-0.696,0.703,-0.343,-0.875,0.951,-0.842,-1.085,-0.811,0.217,-0.061,0.826,0.372,-0.758,0.441,1.284
"11","Belize","November",0.034,-0.676,0.057,-0.201,0.399,-1.472,0.089,-0.501,-0.172,-1.784,-0.011,1.103,1.766,-0.256,0.202,0.037,0.923,0.971,0.337,-0.029,-0.1,0.643,1.47,-0.583,2.185,1.202,0.434,0.881,1.133,0.211,-0.415,1.41,0.714,1.103,1.116,-0.115,1.648,0.965,-0.929,1.054,0.409,0.591,0.8,0.572,0.047,0.06,0.07,-0.876,0.541,0.064,0.37,-0.452,0.659,-0.354,2.291,0.885,0.414,1.623,1.636
"12","Belize","December",0.549,-0.111,-0.409,0.25,0.291,-1.319,1.042,0.044,0,-0.167,0.464,0.465,0.096,-0.403,-0.364,0.507,1.399,2.16,1.08,-0.623,1.34,1.207,2.304,1.402,1.121,1.846,1.554,0.479,0.02,1.195,1.64,1.766,1.156,1.7,1.748,1.729,1.724,1.758,0.538,0.639,2.017,1.506,0.001,1.285,1.865,1.797,1.824,1.359,2.656,-0.436,1.141,2.129,2.078,1.565,3.982,3.242,1.568,2.119,2.011
