"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Benin","January",0.293,-0.599,0.351,0.104,0.508,0.004,-0.972,-0.823,-0.15,0.693,-1.078,-0.063,0.59,-0.976,-1.508,-0.418,0.64,0.352,0.901,1.554,-0.793,-0.171,-1.843,0.304,1.161,0.055,1.262,0.561,-1.313,0.962,0.997,-0.562,-0.824,0.108,-0.353,1.59,1.306,0.543,1.044,1.959,0.355,-0.236,1.029,1.01,0.079,1.451,-0.406,-1.022,0.555,1.585,0.271,0.509,1.035,1.65,-0.154,0.717,1.312,0.101,1.306
"2","Benin","February",-1.484,-0.425,1.109,-0.273,-0.099,-0.809,0.287,0.087,1.011,0.184,-0.1,0.278,1.161,-0.532,-0.235,0.175,-0.211,1.069,0.05,0.755,0.576,-0.167,0.837,0.072,-0.152,1.094,1.153,0.879,-0.903,-0.096,1.638,0.416,0.574,0.564,-0.194,1.491,-0.332,1.909,0.385,-1.18,-0.187,0.285,1.874,0.465,2.286,1.536,1.183,0.409,1.722,2.259,1.146,0.812,1.33,0.836,1.542,0.994,1.098,1.601,0.933
"3","Benin","March",-0.534,0.059,-0.695,0.476,-0.405,0.241,-0.459,-0.159,0.986,0.125,0.322,0.099,0.319,0.433,0.113,-0.499,-0.024,-0.145,0.523,0.55,0.508,0.224,0.786,0.654,0.963,0.55,0.473,1.291,-0.516,0.563,0.541,1.116,0.052,1.175,0.814,1.169,0.03,1.23,1.418,0.417,1.152,1.258,1.054,0.575,2.048,0.89,1.463,1.205,1.465,1.879,1.631,0.982,1.897,1.051,1.062,1.64,1.718,1.349,1.442
"4","Benin","April",-0.265,-0.188,-0.109,0.014,-0.631,0.051,-0.31,-1.089,0.208,1.001,0.008,-0.542,0.72,0.388,0.026,-0.324,1.07,-0.942,0.64,1.093,0.907,0.327,1.704,0.281,0.312,1.062,1.673,0.566,0.603,0.669,-0.162,0.383,1.189,0.442,0.675,0.735,-0.03,2.099,0.554,1.03,0.921,0.673,0.58,0.746,1.644,1.632,0.975,0.79,0.651,1.742,1.207,0.855,0.378,1.008,1.559,1.412,1.507,1.354,2.023
"5","Benin","May",0.569,-0.181,-0.065,-0.354,-0.041,0.082,0.189,-0.314,0.65,0.209,-0.275,-0.113,0.928,0.284,-0.313,-0.223,0.933,-0.511,0.113,-0.056,-0.145,0.081,1.404,0.124,0.905,0.977,2.164,1.621,0.78,0.581,-1.077,-0.045,0.777,0.489,0.778,0.912,-0.317,1.316,1.09,1.21,1.154,1.138,1.606,0.346,1.14,0.388,0.773,0.652,1.046,1.296,1.247,0.178,0.535,0.855,1.949,1.392,0.837,1.141,0.987
"6","Benin","June",-0.012,-0.667,0.327,-0.356,-0.347,-0.084,-0.321,-0.532,0.677,1.009,0.07,-0.163,0.653,0.787,0.199,-0.424,0.515,0.105,-0.154,0.25,0.801,0.413,0.47,0.594,0.735,0.869,0.915,0.496,0.548,1.013,0.419,0.131,0.739,0.49,1.024,0.706,0.225,0.707,1.564,0.586,0.654,0.866,0.488,0.492,0.79,1.153,1.069,0.814,1.12,1.286,1.375,0.542,0.903,1.353,1.819,0.899,0.991,1.029,1.158
"7","Benin","July",-0.31,0.081,0.506,-0.436,0.068,0.877,-0.112,0.095,0.008,0.03,-0.219,0.593,0.939,-0.126,-0.294,-0.085,0.562,-0.41,0.223,0.233,-0.021,0.438,0.647,0.894,-0.081,-0.125,1.487,0.461,0.271,0.045,0.044,-0.15,0.281,0.394,0.77,0.935,0.696,1.102,0.515,0.414,0.721,1.028,0.952,0.644,0.8,1.625,1.145,0.781,0.957,1.019,1.276,0.382,0.959,1.765,1.543,1.306,1.182,1.239,1.41
"8","Benin","August",-0.414,-0.319,0.389,-0.719,0.043,0.41,-0.287,0.699,0.168,-0.007,-0.64,0.221,0.53,0.164,-0.137,-0.219,0.101,0.323,0.999,0.193,0.338,0.118,0.453,1.219,0.564,0.313,1.084,0.046,0.066,0.878,0.108,-0.155,0.912,0.428,0.717,0.315,0.9,0.342,0.249,0.177,0.28,0.882,0.759,1.051,0.763,1.074,0.819,0.98,1.079,1.018,0.94,0.476,0.398,0.621,1.155,1.267,0.793,1.229,1.439
"9","Benin","September",-0.34,-0.264,0.727,-0.576,-0.053,-0.147,-0.329,0.103,0.03,-0.123,-0.347,0.486,0.311,-0.166,-0.452,0.386,0.353,0.006,0.586,0.561,0.379,0.674,0.547,0.337,-0.131,-0.049,0.885,0.267,0.071,0.379,0.673,-0.178,0.464,0.771,0.738,-0.098,1.363,0.539,-0.173,0.542,0.246,0.887,0.731,1.161,1.258,0.748,0.959,0.805,0.983,0.74,1.09,0.727,0.961,0.733,1.168,1.33,1.071,1.173,1.393
"10","Benin","October",0.256,-0.165,0.058,-0.313,0.256,0.007,-0.086,0.259,-0.144,0.328,-0.153,0.173,0.657,-0.143,-0.147,-0.772,0.18,0.119,0.644,0.036,0.627,-0.14,0.777,0.424,0.477,0.389,0.783,0.606,0.058,1.072,-0.385,0.27,0.744,0.173,0.61,0.239,1.169,0.855,0.056,0.324,0.869,0.179,1.255,1.1,0.695,1.164,1.29,1.073,0.751,0.516,0.848,1.083,0.817,0.81,1.338,1.702,1.519,1.194,0.448
