"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Bhutan","January",1.221,-1.049,-0.17,0.018,0.293,-0.416,0.543,-0.803,-0.034,-0.462,0.132,1.036,0.663,-0.278,0.119,-0.237,0.338,-1.227,0.683,-0.335,-0.246,1.153,-1.182,-0.143,0.105,0.895,0.426,1.605,0.262,1.987,-0.721,0.025,0.287,1.44,-0.518,0.774,-0.545,0.977,1.464,0.933,1.602,0.269,0.576,0,1.112,1.786,1.839,1.407,2.391,1.095,0.25,-0.869,-0.23,1.472,1.214,0.534,1.893,2.159,1.009
"2","Bhutan","February",-0.665,-1.006,0.395,-0.318,-1.565,1.223,0.087,-1.423,0.354,-0.682,-0.599,-0.712,0.705,0.727,0.053,0.715,1.146,-0.35,-0.393,0.015,0.784,-0.671,-1.531,0.613,0.101,-0.003,0.884,1.752,-0.25,-0.057,1.261,-1.478,0.211,-0.671,-0.447,0.536,-1.349,0.672,2.869,-1.146,1.811,1.45,-0.317,0.489,1.35,3.514,-0.57,-0.637,2.252,0.98,0.237,0.706,1.23,0.673,0.819,3.143,2.534,2.238,1.559
"3","Bhutan","March",0.007,-0.256,-0.464,0.426,-1.576,0.682,-1.371,-0.227,0.457,-0.202,-0.357,0.39,0.081,0.12,0.523,0.756,1.467,-0.83,0.205,0.083,-0.304,-0.471,-0.535,1.222,1.683,0.282,-0.232,0.739,0.438,-1.631,0.99,0.882,-1.285,-0.043,1.137,0.666,-0.03,-0.882,1.6,-0.853,-0.079,0.812,-0.162,2.673,1.106,1.234,1.085,0.898,1.063,2.301,0.768,0.703,1.478,0.859,1.673,1.996,0.002,1.734,1.024
"4","Bhutan","April",0.364,0.524,-0.865,-0.299,-0.414,0.179,-1.432,-0.943,-0.119,-0.024,-0.624,-1.096,1.217,0.096,0.621,0.31,-0.959,-0.249,0.495,1.011,-0.908,-0.617,-1.327,0.475,0.503,-1.064,-0.345,0.426,-0.06,-1.465,0.343,0.399,-0.863,-0.421,0.244,0.542,-1.903,0.18,2.978,0.468,-0.109,-0.247,0.415,-0.355,0.012,-0.27,0.654,0.882,1.609,1.593,0.178,-0.241,0.446,1.481,-0.633,1.591,0.526,0.78,0.831
"5","Bhutan","May",0.154,-0.077,-0.965,-0.754,0.102,1.014,-0.58,-0.302,0.537,0.745,-0.623,-0.029,0.073,-0.178,-0.165,-0.409,-1.528,0.066,1.323,-0.883,-0.406,0.244,-0.703,-0.301,-0.093,-0.755,0.033,0.227,0.748,0.257,-0.279,-0.973,-0.633,0.452,2.183,-0.729,-0.418,1.174,0.563,0.553,0.354,-0.168,-0.18,1.115,-0.606,0.965,1.84,1.033,0.604,1.009,0.703,1.203,0.623,1.44,0.701,0.532,1.045,0.657,1.115
"6","Bhutan","June",0.206,-0.199,-0.104,0.114,-0.015,-0.294,-0.075,-0.655,0.335,0.232,0.2,0.046,-0.166,0.038,0.577,-0.613,-0.921,-0.007,0.894,0.39,0.685,0.149,0.694,0.375,0.558,1.209,1.089,0.313,0.221,0.461,-0.263,0.096,-0.428,0.398,1.028,-1.039,-0.365,1.355,0.955,0.578,0.569,0.983,0.296,0.524,1.159,0.806,0.816,0.729,1.426,1.193,1,1.038,1.964,1.684,1.364,1.248,1.157,1.863,2.648
"7","Bhutan","July",0.373,0.372,0.222,-0.367,-0.288,0.43,0.228,-0.375,0.406,-0.062,-0.099,0.602,0.571,-0.576,-0.543,-0.428,0.211,-0.263,-0.13,0.408,0.076,0.646,0.607,-0.502,-0.971,-0.055,0.312,0.467,0.005,-0.008,0.319,-0.482,0.269,0.639,0.026,-0.39,0.332,0.385,-0.132,0.17,0.758,0.595,0.452,-0.266,0.834,1.431,0.774,0.7,1.838,1.34,0.71,0.801,1.387,1.352,1.467,0.966,1.263,1.607,1.223
"8","Bhutan","August",0.586,-0.087,0.081,0.093,-0.943,0.117,0.544,0.268,-0.222,-0.071,-0.636,-0.234,0.192,-0.023,0.012,-0.677,0.136,0.217,0.097,0.141,0.579,0.495,0.456,-0.008,0.685,0.33,-0.312,-0.001,-0.023,0.14,-0.035,-0.039,-0.068,0.44,0.039,-0.372,0.461,0.44,-0.224,-0.236,0.546,0.274,1.29,1.087,0.924,1.194,1.189,0.397,1.266,1.308,0.335,0.857,0.515,0.416,0.752,2.032,1.515,1.601,2.448
"9","Bhutan","September",0.283,0.539,0.48,0.182,-0.321,-0.594,0.015,0.425,0.078,0.265,0.101,-0.417,0.261,-0.644,-0.403,-0.247,0.207,-0.34,-0.606,0.442,0.148,0.17,0.194,-1.095,-0.075,-0.632,0.189,0.231,0.468,0.06,-0.547,0.068,-0.786,0.528,0.187,-0.15,-0.292,0.589,0.027,-0.255,0.804,0.228,0.978,0.747,1.486,0.681,0.782,0.667,1.247,0.951,1.156,0.474,1.177,0.527,1.642,1.188,2.028,1.925,0.896
"10","Bhutan","October",0.506,-0.019,-0.174,1.154,-0.693,-1.328,-0.816,-1.017,-0.502,-0.123,0.177,0.02,0.04,1.757,1.411,-0.496,-1.213,0.657,-0.398,-0.697,0.773,-0.614,0.41,1.013,0.306,-1.329,-0.136,0.343,0.535,-0.725,-0.118,-0.454,0.075,-0.212,0.627,0.283,-1.109,2.396,0.091,0.477,0.626,0.186,0.998,-0.42,0.35,0.411,1.664,0.439,1.311,1.25,0.867,-0.212,0.646,0.523,1.245,2.151,2.097,0.534,1.326
