"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Bolivia (Plurinational State of)","January",0.449,0.134,0.027,0.661,-0.213,0.598,0.378,0.031,0.605,0.721,-0.057,-0.184,1.084,-0.327,-0.055,-0.452,0.392,-0.012,-0.368,0.51,0.064,0.363,1.545,-0.342,0.249,0.58,0.538,1.013,0.15,0.38,0.67,0.438,0.143,0.738,0.583,0.16,0.452,2.265,0.488,0.908,0.487,1.214,1.239,1.57,1.192,0.687,1.252,0.392,0.645,0.828,0.922,0.766,1.622,0.289,0.898,1.873,1.431,0.51,1.254
"2","Bolivia (Plurinational State of)","February",0.052,0.658,-0.434,0.42,0.481,-0.448,0.288,-0.381,0.501,0.061,-0.783,-0.206,0.936,-0.666,-0.017,-0.13,0.118,0.316,0.206,0.262,-0.234,0.122,1.591,-0.039,0.481,0.012,0.61,0.357,0.553,0.005,0.688,-0.082,0.099,0.152,0.393,0.359,-0.103,1.414,0.951,0.37,0.876,0.497,0.839,0.683,1.007,1.293,0.929,0.397,0.762,1.495,0.247,0.696,1.028,0.198,0.959,1.851,1.354,0.699,1.047
"3","Bolivia (Plurinational State of)","March",0.193,-0.075,-0.181,-0.529,-0.5,0.287,-0.299,-0.554,0.919,-0.199,0.178,0.076,0.85,-0.203,-0.016,-0.648,0.537,0.547,-0.245,0.518,0.481,-0.366,1.424,0.47,1.07,0.05,0.593,0.831,-0.032,1.617,0.747,0.461,0.641,0.204,0.675,0.557,0.049,1.226,0.348,0.102,0.533,1.483,0.712,1.499,1.056,1.466,1,0.386,0.91,1.967,0.348,0.527,0.685,0.532,1.74,1.211,1.171,0.821,0.999
"4","Bolivia (Plurinational State of)","April",0.672,-0.039,0.617,0.776,0.436,0.033,1.292,-0.847,0.813,1.106,-0.673,-0.281,1.501,-0.368,0.413,0.025,0.211,0.438,-0.281,0.567,0.59,0.176,1.714,-0.239,0.462,1.416,1.206,0.563,0.404,1.47,0.953,0.9,0.908,0.825,0.207,0.931,0.62,1.266,0.031,1.282,0.913,1.272,0.42,1.865,0.86,0.787,1.369,0.085,1.441,1.165,1.862,1.31,0.479,1.478,2.136,1.632,0.548,1.725,1.46
"5","Bolivia (Plurinational State of)","May",0.86,-0.399,0.25,0.055,0.212,-0.365,2.398,-0.994,1.569,0.37,-1.188,1.365,-0.047,0.497,-0.258,-0.238,-0.362,0.178,0.286,0.866,1.503,0.076,1.262,1.651,1.551,1.274,0.177,-1.144,-0.768,0.464,1.409,1.198,0.523,1.492,-0.051,0.917,0.807,-0.064,0.373,0.225,-0.395,1.978,1.003,-1.876,1.176,-0.211,-0.977,-0.728,1.261,-0.133,0.5,0.827,1.563,0.794,0.91,-0.412,1.065,1.385,0.76
"6","Bolivia (Plurinational State of)","June",-1.076,-1.025,-0.271,-0.826,1.802,0.904,-1.729,0.824,0.162,0.399,-1.15,1.644,0.628,0.24,0.512,-0.243,0.934,0.55,-0.024,0.162,-0.448,0.24,-1.461,-0.318,0.699,1.593,0.596,-0.198,0.9,-0.688,1.008,2.002,1.218,1.576,1.011,-1.401,1.32,0.573,0.228,0.382,-0.322,-0.051,1.726,1.048,1.567,1.492,1.285,-0.96,-0.19,1.599,2.099,0.865,1.306,1.366,1.673,-0.839,1.021,-0.894,1.869
"7","Bolivia (Plurinational State of)","July",-0.23,-1.503,0.68,-0.937,0.235,-0.251,0.03,1.114,0.585,-0.402,0.414,0.373,-1.077,0.442,-0.737,0.937,1.55,2.132,0.351,0.21,-0.051,1.358,0.047,1.199,0.45,0.03,2.678,-1.378,-0.107,-1.409,0.469,-1.608,-0.054,0.69,1.375,0.569,2.209,2.231,-0.102,-1.627,1.02,-0.174,0.437,0.781,0.828,1.745,-0.292,2.058,0.418,-0.328,1.802,0.025,0.707,0.023,3.433,1.297,1.154,0.346,0.46
"8","Bolivia (Plurinational State of)","August",0.978,0.144,1.897,0.806,0.778,-1.342,0.916,0.507,0,-0.1,-0.378,-0.55,-1.266,-0.625,0.047,0.224,-0.115,-0.641,1.95,0.096,0.929,0.789,0.213,-0.538,-0.285,0.941,0.099,1.57,0.372,0.74,0.785,-0.739,-0.548,1.379,0.484,1.495,0.113,0.614,0.144,0.98,1.656,1.348,-0.819,1.082,1.385,1.665,-0.86,1.148,0.467,0.085,1.038,0.886,-1.033,1.571,2.311,0.955,1.513,-0.953,0.282
"9","Bolivia (Plurinational State of)","September",0.304,1.426,0.786,-0.443,-0.059,-0.37,0.752,-0.803,1.25,0.829,0.359,0.053,-0.109,-0.422,-0.237,-1.501,0.088,-0.376,-0.586,-0.872,-1.555,-0.108,-0.793,0.199,-0.364,-0.958,0.478,0.373,-0.756,-0.734,-0.124,-1.579,-0.299,1.174,0.889,-0.908,2.172,-0.642,1.435,-0.092,0.487,0.326,-0.069,0.793,-1.693,-0.262,0.879,-0.522,-0.177,0.843,1.517,1.416,-0.181,2.183,1.575,-0.47,0.719,0.671,1.424
"10","Bolivia (Plurinational State of)","October",0.481,-0.407,2.011,-1.268,0.723,0.238,0.747,0.518,0.188,0.554,-1.815,0.011,0.572,-0.991,0.152,0.236,-0.019,0.471,0.565,0.199,-0.204,0.13,-0.246,1.072,0.766,-0.418,0.699,0.644,0.349,0.782,0.239,-0.557,1.045,0.337,1.039,0.185,1.383,0.223,-0.455,0.818,0.516,1.585,0.491,1.2,-0.324,0.797,0.72,0.933,0.916,0.199,0.433,1.497,-0.05,1.711,1.297,0.55,0.642,1.403,0.565
