"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Bosnia and Herzegovina","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,0.953,3.208,0.163,1.033,1.665,3.094,1.59,-1.593,3.506,0.198,0.708,-0.512,0.574,-1.022,4.943,2.672,0.375,0.238,1.395,0.729,2.372,4.79,2.206,1.794,-3.09,4.068,-0.027
"2","Bosnia and Herzegovina","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.621,-1.841,0.501,3.698,-2.075,1.811,3.432,-0.989,1.202,1.897,4.183,-3.956,0.688,-3.298,-0.538,3.881,2.427,-0.061,0.482,0.122,-4.426,0.693,4.183,0.529,4.632,3.053,-0.584,2.423
"3","Bosnia and Herzegovina","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699,-1.02,3.451,-0.263,-2.578,0.721,-1.055,1.674,0.81,4.36,3.103,0.433,0.271,-0.927,-0.597,2.739,1.547,0.697,0.767,0.797,2.857,0.146,3.312,1.011,1.578,3.871,0.191,3.249
"4","Bosnia and Herzegovina","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572,0.631,0.612,-0.048,0.348,-3.385,1.52,1.495,3.117,-0.191,0.468,-0.279,1.352,0.445,1.629,2.738,1.266,2.94,1.368,2.172,1.289,2.414,1.802,0.481,3.121,0.816,5.098,1.922
"5","Bosnia and Herzegovina","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.862,2.225,1.314,-0.041,1.658,1.186,0.364,1.458,2.62,2.244,2.276,3.956,-0.967,1.426,0.913,2.536,1.897,2.834,0.851,1.061,0.857,1.277,0.109,2.136,0.241,1.763,3.743,-1.519
"6","Bosnia and Herzegovina","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213,1.011,0.597,-0.312,1.283,1.347,1.868,1.158,2.1,-0.381,2.095,4.574,0.682,0.49,0.715,2.857,2.109,0.592,1.182,1.692,3.357,0.889,0.877,1.538,1.857,3.246,1.953,4.065
"7","Bosnia and Herzegovina","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522,0.412,2.338,2.273,-0.153,0.111,1.8,0.863,0.74,1.617,1.888,2.25,1.256,1.209,2.334,2.984,1.504,1.857,2.268,1.358,3.941,2.031,0.491,4.358,2.425,2.803,1.801,2.153
"8","Bosnia and Herzegovina","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.994,1.923,2.711,-0.273,0.61,-0.014,2.132,1.5,2.891,2.783,0.649,4.324,1.026,-0.426,-0.348,2.188,2.191,2.496,1.893,2.813,3.652,2.907,0.904,3.338,1.009,3.886,3.254,3.441
"9","Bosnia and Herzegovina","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818,0.105,2.917,-1.166,-2.983,0.231,-0.284,2.027,0.386,-1.393,-0.829,-0.159,0.165,0.886,1.325,-1.36,-0.646,2.035,-0.233,3.954,2.458,0.221,0.02,1.956,1.567,-0.07,2.086,1.813
"10","Bosnia and Herzegovina","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.852,2.07,-0.162,1.195,0.017,-1.733,1.178,1.16,2.322,3.098,0.77,-1.072,2.882,0.644,2.378,-0.472,1.843,0.036,-1.251,-0.221,2.083,2.235,1.912,0.878,-0.133,0.947,2.928,3.088
