"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Botswana","January",-0.728,0.404,-1.19,0.55,0.803,1.641,-0.678,0.757,1.531,1.505,-1.136,-1.472,2.376,-1.094,-0.394,-1.493,0.935,-0.812,-0.185,0.5,-0.025,1.169,1.842,1.239,0.333,0.335,1.494,0.345,-1.573,-0.253,0.023,1.585,0.374,-0.755,2.12,-0.916,-1.006,-0.178,0.347,-2.541,1.393,0.547,1.735,0.451,1.15,-0.876,-0.046,-1.691,0.091,0.759,-1.424,0.809,0.11,-0.085,0.929,1.989,-1.825,1.841,0.979
"2","Botswana","February",-0.181,0.433,-0.121,1.859,1.89,-0.503,-1.475,0.032,1.153,0.623,-0.65,-0.92,0.627,-0.928,-0.618,-1.332,-0.247,-0.636,1.04,0.253,-1.075,1.798,2.172,1.615,0.216,-0.006,2.174,0.009,-1.806,-0.232,0.176,3.2,-0.544,-0.516,1.5,-1.012,-0.398,1.423,0.67,-1.626,-0.51,-0.038,1.343,-0.065,0.983,-0.401,1.201,-0.22,-0.498,0.815,-0.445,0.237,1.547,-0.751,2.696,2.482,-0.941,-1.392,0.706
"3","Botswana","March",-0.541,0.564,-0.19,2.74,0.923,-0.199,-0.997,-0.739,-0.458,1.276,1.207,-0.956,2.109,-1.094,-1.167,-1.143,-1.38,-0.081,0.341,-0.144,-1.45,1.035,1.722,1.217,0.774,0.315,2.212,0.235,-0.494,0.441,-0.309,1.812,0.291,1.105,0.52,-0.308,-0.879,2.03,0.932,-0.836,-0.642,0.602,1.17,-1.234,0.604,-1.73,1.56,-0.331,-1.018,0.793,0.521,1.105,1.527,-0.639,2.278,1.041,-1.329,-0.362,2.706
"4","Botswana","April",0.59,-0.101,-0.937,0.628,0.149,-0.794,-0.387,-0.683,0.426,0.544,1.302,-0.192,-0.146,-1.096,-0.602,-0.805,-0.135,-1.145,1.317,-0.315,-0.316,0.006,1.461,-0.083,0.073,0.555,2.33,0.145,-1.135,0.697,-1.232,1.974,0.102,1.024,0.93,-0.672,-1.149,2.161,0.837,-1.085,0.438,0.903,0.578,-0.526,0.479,-0.317,0.662,-0.78,-0.842,0.206,-0.026,0.332,0.401,-1.177,0.321,1.315,-0.824,0.084,1.828
"5","Botswana","May",1.148,-0.531,-1.804,-0.229,-0.104,-0.421,0.478,0.01,-0.359,0.909,-0.214,-0.797,0.612,-0.497,0.266,-1.072,-0.207,0.084,0.95,0.405,-0.388,-0.134,1.224,0.383,0.146,1.274,2.116,0.219,1.54,0.984,0.75,0.212,1.478,0.886,0.643,0.815,0.121,1.034,2.121,-0.821,0.035,1.099,1.16,-0.509,2.177,-0.883,0.142,1.919,1.097,2.717,1.063,1.722,0.789,1.018,2.447,0.416,0.457,0.948,2.05
"6","Botswana","June",0.6,0.625,-0.614,-1.84,-0.809,2.153,0.086,-2.512,1.147,0.624,0.463,-0.852,0.946,0.103,0.241,0.249,0.497,-1.057,0.346,-0.591,-0.654,0.319,1.586,-0.325,0.413,0.711,-0.406,0.634,0.504,2.221,0.504,0.936,0.917,-0.524,0.548,1.453,1.474,1.578,1.974,1.166,0.106,0.582,0.836,0.291,3.302,-0.016,0.945,1.893,1.658,1.099,1.307,0.78,2.172,1.289,1.352,1.637,1.569,1.095,1.487
"7","Botswana","July",1.185,0.028,-0.512,-2.692,0.563,0.943,-1.449,1.024,0.343,0.6,0.151,-0.364,0.256,-0.086,-0.144,-0.32,0.102,0.042,-0.233,-0.544,0.592,0.168,0.776,-0.062,0.208,0.5,-0.062,0.755,0.367,2.285,0.281,1.012,1.791,-1.519,1.25,-0.897,0.786,1.419,1.931,-0.154,0.017,1.734,0.628,-0.387,0.526,1.337,-0.173,1.103,-0.856,1.645,-0.429,0.891,1.738,0.323,1.893,0.678,1.373,0.454,1.423
"8","Botswana","August",-1.437,-0.635,-1.1,-0.425,0.697,0.099,-0.767,0.916,0.206,0.533,-0.638,-0.693,-0.552,-0.084,-0.602,-1.374,0.063,2.832,1.424,0.126,-0.33,0.271,-1.432,0.326,0.677,1.2,0.376,1.315,1.33,0.657,0.163,-0.937,0.616,-0.345,1.602,0.056,1.357,0.013,0.538,0.265,0.946,1.751,0.589,1.01,2.692,-0.202,0.123,1.738,-0.2,1.393,0.602,0.794,1.172,1.17,2.942,1.266,0.535,3.291,2.124
"9","Botswana","September",0.994,0.598,0.671,-0.356,-0.205,-0.833,-0.205,-0.269,-1.092,0.932,0.103,-0.26,0.205,-1.414,1.016,-0.207,0.244,0.225,0.646,-0.226,-1.536,0.264,1.299,1.17,0.005,-0.426,0.276,-0.915,-0.421,-0.259,0.442,1.284,0.83,0.736,1.724,0.28,0.527,1.051,-0.53,0.25,-0.705,-0.248,1.339,-0.268,1.192,0.082,1.744,1.127,0.628,2.018,1.461,0.734,1.422,1.231,1.707,1.334,1.65,2.337,0.033
"10","Botswana","October",-0.018,0.964,0.458,-0.176,-2.102,0.533,-0.355,0.479,-1.033,0.094,-0.591,0.665,-0.574,0.06,-0.747,-1.167,0.988,-0.621,0.448,0.385,-1.715,-1.096,-0.237,0.476,0.194,-1.056,0.106,-0.109,-1.126,1.01,0.388,1.025,1.532,-1.412,1.654,0.898,-0.418,0.511,-0.414,0.469,-0.034,0.159,0.981,-0.249,1.585,0.779,-0.427,2.395,0.062,2.031,-0.286,0.88,0.619,1.194,2.934,2.718,0.185,-0.125,2.537
"11","Botswana","November",-0.32,0.228,-0.013,-0.013,0.172,1.108,-0.2,-1.275,0.193,0.593,-1.065,0.533,-0.681,-0.772,0.874,-0.1,1.47,-0.05,-0.42,-0.499,0.914,0.01,1.051,-0.509,0.393,-0.677,2.338,-0.753,-0.109,1.507,-0.094,0.234,0.001,1.07,1.501,-0.42,0.78,0.484,1.552,-0.233,-1.042,-0.191,0.984,2.142,0.812,0.261,0.134,0.652,-0.331,0.049,1.529,1.654,1.311,-0.481,1.628,1.607,0.532,0.138,2.805
"12","Botswana","December",0.031,-0.127,-0.523,-0.762,1.502,0.533,0.079,0.525,-0.765,-0.188,-0.05,2.517,-1.634,-1.011,-0.672,0.399,-0.151,-0.018,-0.184,0.479,0.81,0.982,0.263,0.384,-0.221,1.031,-0.032,-0.918,1.5,0.594,-0.401,1.154,0.445,1.85,-0.836,0.387,1.51,-0.631,-0.781,0.366,0.214,0.656,1.154,0.434,-1.054,0.966,-1.782,0.978,1.713,0.304,-0.08,0.042,-0.933,-0.009,3.231,0.467,1.05,1.581,2.302
