"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Brazil","January",-0.108,-0.023,0.056,0.001,-0.482,0.37,-0.001,-0.143,0.084,0.225,0.045,-0.284,0.861,-0.15,-0.276,-0.092,-0.007,0.112,-0.274,0.001,0.127,-0.175,0.638,0.264,-0.181,0.317,0.587,0.935,-0.003,0.529,0.237,0.365,0.476,0.361,0.907,0.582,0.333,1.44,0.638,0.568,0.366,0.54,1.169,0.771,1.269,1.116,1.316,0.431,0.654,1.064,0.75,0.362,0.932,1.087,1.556,1.495,1.289,1.145,1.674
"2","Brazil","February",-0.243,-0.02,-0.317,0.155,-0.017,0.022,-0.155,-0.438,0.626,0.246,-0.211,-0.456,0.862,-0.124,0.056,-0.435,0.036,0.275,0.028,0.004,0.25,0.148,0.626,0.68,0.109,0.154,0.505,0.593,0.227,0.314,0.552,0.081,-0.042,0.554,0.491,0.756,0.324,1.644,0.672,0.247,0.682,0.517,0.935,0.314,1.044,1.097,0.846,0.481,0.718,1.638,0.616,0.657,0.923,0.944,1.028,1.962,1.116,0.703,1.371
"3","Brazil","March",-0.018,0.007,0.123,-0.155,-0.743,-0.012,-0.18,-0.454,0.499,0.231,-0.036,-0.034,0.647,-0.329,0.13,-0.418,0.485,0.017,-0.048,0.431,0.26,0.173,0.368,0.396,0.366,0.076,0.294,0.846,0.122,0.775,0.288,0.272,0.699,0.235,0.753,0.556,-0.066,1.415,0.688,0.167,0.649,1.18,0.824,0.64,1.042,1.038,1.052,0.366,1.04,1.584,0.422,0.715,1.009,0.808,0.964,1.532,1.129,1.413,1.33
"4","Brazil","April",0.218,-0.016,0.172,0.255,-0.18,0.08,-0.015,-0.8,0.383,0.493,-0.321,-0.561,1.057,-0.027,-0.056,-0.124,0.049,-0.071,-0.097,0.614,0.364,0.049,0.978,-0.007,0.375,0.857,0.933,0.837,0.651,1.237,0.639,0.776,0.847,0.624,0.499,0.771,0.362,1.961,0.474,0.67,1.084,1.475,1.081,1.403,1.411,0.766,1.42,0.775,0.918,1.177,1.02,1.377,0.975,1.336,1.504,2.299,1.332,1.473,1.85
"5","Brazil","May",0.325,-0.379,-0.329,-0.174,0.072,0.096,0.503,-1.384,0.657,0.573,-0.337,0.584,0.306,-0.018,-0.205,0.085,-0.224,-0.08,0.062,0.772,0.754,-0.028,1.377,0.839,0.422,0.962,0.535,0.577,-0.037,0.49,0.819,1.294,0.649,1.186,0.711,0.75,0.267,1.063,0.176,0.578,0.844,1.478,0.903,0.385,1.339,-0.03,0.58,0.296,0.96,1.207,0.631,1.08,1.217,1.133,1.378,1.391,1.998,1.371,2.01
"6","Brazil","June",-0.216,-0.605,-0.389,-0.589,0.499,0.214,-0.106,-0.538,0.468,0.625,-0.319,0.822,0.936,-0.346,0.128,-0.195,0.367,-0.145,-0.552,0.324,-0.064,0.804,0.288,0.43,-0.478,0.282,0.559,-0.081,0.47,0.431,0.854,1.475,0.604,0.692,0.802,-0.072,0.677,0.904,0.85,1.041,0.32,1.155,1.596,0.792,1.804,0.963,1.202,0.478,0.475,1.344,0.984,1.41,1.675,1.57,1.714,0.855,1.733,0.955,2.253
"7","Brazil","July",0.033,-0.813,0.162,-0.618,0.016,0.235,0.026,-0.136,0.331,-0.105,0.239,0.361,0.33,-0.406,-0.788,0.042,0.931,0.724,0.07,0.467,-0.558,0.784,0.912,0.618,-0.187,0.143,1.739,-0.426,-0.262,-0.128,0.161,-0.099,0.539,0.433,1.443,0.23,1.127,1.666,0.9,-0.09,1.003,1.24,1.053,0.584,0.818,1.245,0.926,1.295,1.217,1.218,1.218,0.976,1.051,1.169,1.884,1.854,1.015,1.514,1.276
"8","Brazil","August",0.441,-0.076,0.235,-0.064,0.095,-0.292,0.346,-0.264,0.16,-0.24,-0.165,-0.092,-0.026,-0.166,0.1,0.091,0.437,-0.738,0.685,0.504,0.404,0.48,0.15,-0.318,0,0.652,0.43,0.305,0.432,0.307,0.123,0.113,0.18,0.362,1.149,0.744,0.653,1.622,0.273,0.85,1.083,1.496,0.459,0.774,1.402,1.324,0.546,1.389,1.228,0.685,1.328,1.28,0.439,1.319,2.221,1.807,1.863,0.765,1.303
"9","Brazil","September",0.779,0.283,0.679,-0.22,0.312,-0.499,0.312,-0.61,0.609,-0.044,-0.127,-0.017,-0.105,-0.177,0.113,-0.489,0.184,-0.249,-0.32,-0.22,0.069,0.101,0.057,-0.345,0.122,-0.204,0.545,0.74,0.111,-0.333,0.36,-0.233,0.526,0.778,0.89,0.311,1.691,1.006,0.944,0.245,0.74,0.652,0.77,1.281,0.545,0.708,1.333,0.695,1.408,1.407,1.057,1.631,1.084,1.931,2.422,1.178,2.049,1.71,2.169
"10","Brazil","October",0.304,-0.424,1.018,-0.678,0.044,0.17,0.318,0.041,-0.051,0.005,-0.809,0.128,-0.129,-0.326,-0.072,-0.389,0.14,0.157,0.484,0.43,-0.077,0.138,-0.066,0.493,0.348,-0.123,1.102,0.42,-0.105,0.871,0.341,0.283,0.753,0.926,0.746,0.689,1.217,0.975,0.375,1.22,0.755,1.634,1.051,0.962,1.533,1.114,1.267,1.334,1.17,1.123,0.714,1.816,0.929,1.714,2.352,1.443,1.886,1.826,1.839
