"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","British Virgin Islands","January",0.565,0.237,0.173,0.298,-0.901,0.55,-0.106,-0.412,-0.139,0.743,0.011,-0.299,0.404,-0.322,-0.537,-0.931,0.596,0.002,-0.219,0.396,1.034,0.36,0.54,0.479,-0.539,0.198,0.328,0.465,-0.042,0.51,0.652,0.006,0.189,0.664,0.473,0.512,0.128,1.312,0.727,-0.247,0.587,1.223,0.978,0.117,0.121,0.446,0.898,0.24,0.787,0.928,0.618,-0.489,0.8,1.127,0.983,1.056,0.438,0.847,0.696
"2","British Virgin Islands","February",0.394,-0.352,0.56,0.546,-0.349,0.087,-0.045,-0.438,-0.402,0.359,-0.305,-0.216,-0.01,-0.138,-0.439,-0.819,0.733,0.165,0.025,0.477,0.589,-0.045,0.322,0.221,-0.016,-0.464,0.093,0.244,-0.532,-0.172,0.53,0.285,0.044,0.493,0.701,0.314,0.044,1.144,-0.766,-0.356,0.276,0.379,0.905,0.601,-0.275,0.296,1.155,0.08,0.281,1.545,0.539,0.518,0.469,0.918,1.036,1.085,0.663,0.04,0.812
"3","British Virgin Islands","March",0.344,-0.007,0.265,0.438,0.238,0.107,-0.968,-0.672,0.553,0.155,0.049,-0.325,0.105,-0.271,-0.412,-1.108,0.165,0.277,-0.492,0.369,0.716,-0.212,1.269,0.129,-0.466,-0.159,-0.233,-0.077,-0.487,-0.396,0.31,0.11,0.296,0.47,-0.446,0.36,-0.197,0.889,0.235,-0.869,0.442,0.68,1.224,0.095,0.798,0.319,0.998,-0.265,-0.334,1.999,-0.137,0.216,0.413,0.633,0.511,1.107,0.569,0.331,0.81
"4","British Virgin Islands","April",0.574,-0.046,0.084,-0.064,-0.509,0.031,-0.804,-1.115,1.131,0.498,-0.296,0.01,-0.003,-0.623,-0.456,-0.8,-0.434,0.211,-0.226,0.477,0.258,0.269,0.353,0.737,-0.467,0.04,0.966,0.206,-0.235,0,0.286,0.308,0.418,0.559,0.571,0.042,-0.03,0.579,0.347,0.253,0.175,0.136,0.592,0.548,1.502,0.756,0.685,-0.178,0.248,1.28,0.213,0.364,0.598,0.8,0.972,1.083,0.3,0.649,0.927
"5","British Virgin Islands","May",0.343,0.001,-0.496,0.445,-0.443,-0.277,-0.349,0.147,0.779,-0.258,-0.663,-0.352,0.487,-0.838,-0.512,-0.697,-0.262,0.086,-0.647,0.988,0.431,-0.605,0.254,-0.171,-0.094,-0.489,0.34,0.806,-0.19,0.335,0.309,-0.244,-0.102,0.978,0.952,-0.111,0.339,0.98,0.965,-0.046,-0.04,0.727,0.599,-0.036,0.812,0.853,1.356,0.366,0.132,1.253,0.027,0.148,0.43,0.108,0.99,0.974,0.578,0.401,0.633
"6","British Virgin Islands","June",0.086,-0.16,0.084,0.255,-0.52,-0.245,-0.239,-0.271,0.978,-0.216,-0.439,0.131,-0.092,-0.326,-0.176,-0.697,0.045,-0.131,-0.142,1.069,0.138,-0.136,0.466,-0.313,0.253,-0.095,0.337,0.622,-0.116,0.408,0.259,0.215,-0.104,0.446,0.512,0.041,0.861,1.071,0.404,0.045,0.581,0.615,0.412,0.579,0.85,0.687,0.466,0.671,0.505,0.801,0.671,1.039,0.342,0.891,1.003,1.148,0.639,0.65,0.818
"7","British Virgin Islands","July",-0.243,0.222,0.118,-0.02,-0.348,0.173,-0.402,-0.35,0.306,-0.118,-0.403,-0.113,0.102,-0.102,-0.057,-0.06,0.119,-0.255,-0.029,0.645,0.298,0.033,0.436,-0.136,0.356,0.114,0.305,0.341,0.418,0.189,0.353,0.131,0.184,0.041,0.654,-0.152,0.606,0.619,-0.016,0.436,0.617,0.606,0.448,0.109,0.597,0.36,0.896,0.557,1.152,0.895,0.021,0.581,0.422,0.905,1.076,0.96,0.895,0.796,0.968
"8","British Virgin Islands","August",0.046,0.001,0.246,0.021,-0.402,-0.035,-0.226,-0.01,-0.072,-0.018,-0.503,-0.308,-0.22,-0.283,-0.175,-0.236,-0.467,-0.387,0.076,0.588,0.157,-0.111,0.142,-0.22,0.081,-0.065,0.614,-0.094,-0.111,0.458,0.425,-0.036,0.459,-0.074,0.505,0.148,0.587,0.904,0.349,0.352,0.527,0.667,0.345,0.755,0.466,-0.002,0.643,0.567,1.037,1.028,0.26,0.548,0.705,0.489,0.955,0.993,0.901,0.72,0.706
"9","British Virgin Islands","September",0.032,0.259,0.4,0.289,0.068,-0.109,-0.107,0.252,0.132,-0.234,-0.178,-0.313,-0.208,-0.464,-0.532,-0.217,-0.514,0.144,-0.614,0.594,0.164,-0.133,0.665,-0.348,-0.204,0.08,0.666,0.177,-0.32,0.555,0.161,0.049,0.523,-0.026,0.227,0.036,0.615,0.852,0.538,0.165,0.619,0.661,0.862,0.259,1.002,0.849,0.586,-0.146,0.495,0.628,0.213,0.833,0.759,0.358,1.043,0.758,0.946,0.791,0.838
"10","British Virgin Islands","October",-0.117,0.145,0.628,-0.209,0.109,-0.036,-0.113,0.23,0.363,-0.321,-0.484,-0.197,-0.225,-0.493,-0.499,-0.125,-0.315,-0.272,0.116,0.826,-0.03,-0.125,0.075,-0.368,-0.783,0.085,0.856,0.29,-0.18,0.269,0.031,0.247,0.49,0.307,0.17,0.311,0.385,0.721,0.284,0.267,0.668,0.587,0.537,0.419,0.186,0.824,0.115,0.063,1.059,-0.174,0.698,0.921,1.092,0.78,1.145,0.685,0.495,0.37,1.076
"11","British Virgin Islands","November",-0.694,0.176,0.312,-0.18,-0.032,-0.406,0.214,0.437,-0.049,-0.466,-0.467,0.09,-0.345,-0.836,-0.487,0.444,-0.079,-0.109,-0.171,0.747,0.534,-0.392,0.147,-0.615,-0.269,-0.277,0.553,0.158,0.438,0.834,-0.069,-0.095,0.442,0.476,0.455,0.073,0.944,0.67,0.338,0.285,0.004,0.765,0.033,-0.155,0.407,0.674,0.271,0.279,0.58,-0.566,0.348,0.981,0.496,0.493,0.636,0.353,1.588,0.471,1.118
"12","British Virgin Islands","December",-0.002,0.503,0.963,-0.777,0.118,-0.459,-0.497,0.281,-0.039,-0.106,-0.407,-0.148,-0.914,-0.21,-1.023,0.185,0.243,0.317,0.228,0.387,0.258,-0.604,0.351,-0.507,-0.008,0.013,0.98,-0.379,0.429,0.104,-0.805,0.07,0.437,0.598,0.581,-0.57,1.491,0.913,-0.063,0.663,0.889,0.945,0.421,0.428,0.099,1.099,0.296,-0.14,0.993,-0.76,0.174,0.616,0.687,0.574,1.19,0.999,1.167,0.863,1.624
