"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Brunei Darussalam","January",-0.132,-0.224,-1.15,0.921,-1.485,0.711,-0.066,-0.44,0.569,0.092,-0.361,-0.759,0.676,-0.684,0.345,-0.745,-0.127,0.012,0.142,0.11,-0.806,0.024,0.804,0.041,-0.006,-0.067,0.214,1.029,0.689,0.317,0.472,0.3,0.141,0.701,0.531,-0.144,0.239,1.513,0.805,0.509,0.457,0.891,1.242,0.486,0.514,0.656,0.655,0.927,0.15,0.721,0.391,0.909,0.946,-0.287,0.441,2.079,1.659,0.948,1.493
"2","Brunei Darussalam","February",0.105,-0.409,-0.975,0.418,-0.43,0.188,-0.433,-0.727,0.233,-0.022,-0.543,-0.048,1.074,-0.348,0.119,-0.226,-0.468,-0.028,0.434,0.388,0.047,0.053,0.894,-0.17,0.889,-0.068,-0.002,0.805,-0.187,0.944,0.295,0.533,0.14,0.585,0.442,-0.022,-0.067,1.589,0.565,0.121,0.546,0.297,0.907,0.471,1.346,0.808,0.351,0.105,0.412,1.359,0.095,0.967,0.948,0.474,0.635,1.902,0.966,0.64,1.033
"3","Brunei Darussalam","March",0.182,-0.227,-1.14,-0.011,-0.569,0.415,-0.478,-0.235,0.368,0.414,-0.26,-0.539,0.967,-0.384,0.008,-0.194,-0.273,0.67,0.385,0.264,0.677,0.158,1.286,0.057,0.49,-0.03,0.912,0.973,-0.167,0.371,0.636,0.965,0.187,0.19,0.353,0.492,0.81,2.34,0.75,0.365,0.328,0.448,0.655,0.556,1.034,0.548,0.755,0.092,0.693,1.379,0.074,0.441,1.022,0.734,0.78,1.807,0.7,0.87,1.067
"4","Brunei Darussalam","April",-0.09,-0.124,-0.616,0.103,-0.48,0.148,-0.407,-0.289,0.441,0.085,-0.485,-0.334,0.477,-0.322,0.375,0.122,0.002,0.289,0.269,0.34,0.119,-0.018,1.264,0.014,-0.047,0.171,0.734,0.875,-0.196,0.815,0.194,0.923,0.247,0.03,0.498,0.17,0.43,1.929,0.422,0.051,0.376,0.624,0.888,0.741,1.116,0.001,0.494,0.193,0.879,1.085,-0.137,0.003,0.526,0.824,1.011,1.86,0.805,1.023,1.38
"5","Brunei Darussalam","May",0.515,-0.003,-0.188,-0.116,-0.498,0.349,-0.391,-0.272,0.233,0.042,0.098,0.023,-0.038,-0.262,0.013,0.077,0.231,0.159,0.512,0.496,0.213,0.014,0.452,-0.45,0.119,0.468,0.144,0.347,0.027,0.612,0.214,0.189,-0.092,0.207,0.439,0.337,0.476,1.893,-0.128,0.76,0.789,0.952,0.611,0.483,0.891,0.279,0.604,0.103,0.778,1.211,0.237,0.405,0.967,0.847,0.921,1.67,0.973,0.446,1.464
"6","Brunei Darussalam","June",-0.132,0.052,0.537,-0.226,-0.109,-0.21,-0.155,-0.14,0.225,0.06,-0.077,-0.086,0.325,-0.264,-0.048,-0.153,0.027,0.084,0.09,0.156,0.28,0.017,0.366,-0.061,0.195,0.149,0.687,0.496,0.03,0.539,0.845,-0.014,0.425,0.131,0.639,0.311,1.006,1.091,0.707,-0.211,-0.075,0.609,0.574,0.644,1.09,0.176,0.282,0.258,1.073,0.876,0.631,0.52,1.16,1.258,1.079,0.745,0.776,0.944,1.26
"7","Brunei Darussalam","July",0.315,0.321,0.085,-0.3,-0.204,-0.211,-0.075,-0.205,0.113,-0.227,-0.073,0.727,0.303,-0.294,-0.256,0.183,-0.065,-0.037,-0.186,0.292,0.065,0.085,0.257,-0.427,-0.523,0.088,0.432,0.172,0.311,0.341,0.531,0.036,0.009,0.654,0.124,0.836,0.636,0.843,0.596,1.166,1.252,1.293,0.551,0.325,0.892,0.993,0.548,-0.009,0.761,-0.068,0.885,0.386,0.549,1.045,1.402,1.039,1.286,1.366,1.081
"8","Brunei Darussalam","August",0.128,-0.368,-0.186,-0.19,-0.479,-0.217,0.124,-0.027,-0.261,-0.181,-0.517,0.205,0.183,0.272,0.275,-0.255,-0.088,0.34,0.561,-0.148,0.728,0.144,0.378,0.372,0.149,-0.085,0.334,0.104,0.473,0.64,0.557,0.699,0.598,0.174,0.255,0.389,1.392,0.56,0.556,0.432,1.3,0.739,0.925,0.98,1.037,0.722,0.624,0.315,1.056,0.753,0.709,0.936,0.782,0.374,0.804,1.618,1.092,1.312,1.49
"9","Brunei Darussalam","September",0.057,0.015,0.511,-0.332,-0.171,0.223,-0.103,0.178,0.176,-0.033,-0.111,0.303,-0.125,-0.32,-0.249,0.235,0.686,-0.176,-0.082,0.692,0.058,0.44,0.062,-0.204,-0.237,0.106,0.681,0.409,0.431,0.29,0.268,0.331,0.055,0.543,0.247,0.642,0.922,0.971,0.756,0.768,0.562,0.782,0.73,0.434,0.831,0.334,0.47,0.673,1.295,0.595,1.083,1.089,0.505,1.048,1.38,1.018,1.121,0.792,1.541
"10","Brunei Darussalam","October",-0.088,0.21,-0.07,-0.348,0.136,-0.172,-0.267,-0.085,0.032,-0.007,-0.171,0.506,0.538,-0.241,-0.155,0.061,-0.008,0.195,0.061,0.318,-0.047,0.249,0.229,-0.137,-0.127,0.19,0.712,0.546,0.301,0.668,-0.023,-0.265,-0.024,0.301,0.528,0.093,0.765,0.926,0.161,0.358,0.133,0.514,0.266,0.665,0.877,0.764,0.619,0.477,0.734,0.954,0.936,0.716,0.485,0.74,1.547,1.139,0.785,1.04,0.881
