"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Bulgaria","January",0.162,1.357,-4.48,-2.889,1.486,-0.361,-1.937,-1.082,-3.669,1.517,2.53,-0.073,-0.792,-0.533,1.349,1.511,0.758,0.308,0.116,-2.337,-1.226,0.075,2.744,2.67,-1.886,2.323,-1.157,3.123,1.021,-0.706,1.05,0.725,0.479,3.745,-0.076,-0.818,0.813,2.504,1.69,-2.539,3.186,0.096,1.6,-0.68,2.226,-1.662,5.643,-0.22,1.397,0.147,0.761,-0.286,1.778,3.513,2.087,0.302,-3.295,2.995,1.119
"2","Bulgaria","February",0.124,-1.436,-0.829,-1.293,-4.244,4.94,-1.463,1.772,-0.283,0.971,0.374,-0.058,1.823,2.024,-1.031,-2.464,4.875,0.523,0.374,-0.913,-0.496,-2.063,-0.562,-0.342,-5.015,-1.838,0.257,0.956,2.383,3.057,-1.979,-0.306,-2.203,0.688,4.197,-2.367,1.293,2.158,0.124,1.55,2.19,5.147,-4.333,0.909,-2.006,-0.668,3.026,1.717,0.818,0.982,-0.457,-4.531,2.522,2.998,1.103,6.249,1.958,1.52,2.385
"3","Bulgaria","March",2.276,-0.4,-1.742,-0.463,-0.081,0.794,1.033,0.252,-2.3,1.049,-0.788,1.027,-1.71,0.647,3.191,-1.365,2.033,1.492,2.769,-0.673,2.682,-0.554,1.843,-1.175,-1.134,-0.279,-4.311,0.712,3.396,3.963,0.985,0.954,-0.866,2.85,1.132,-3.842,-0.382,-0.993,1.796,0.964,5.025,3.291,-1.36,1.638,-0.232,0.991,2.595,3.588,0.873,1.151,0.632,1.741,1.385,3.57,1.073,2.922,3.988,1.455,4.055
"4","Bulgaria","April",2.624,0.308,-0.569,0.374,-1.967,1.764,-0.078,2.277,-1.223,1.715,-0.309,2.359,-0.305,-1.882,1.295,0.321,-0.17,-0.381,-0.757,-1.261,-0.358,-1.404,2.262,-1.745,1.618,2.438,-1.092,-0.894,3.138,0.741,-0.937,0.476,-0.215,1.758,-0.038,-0.893,-3.637,2.473,1.598,2.883,0.076,-0.47,-1.408,1.007,0.374,1.361,0.831,1.823,1.055,1.123,-0.488,2.405,2.277,1.1,0.165,3.576,0.18,4.474,0.899
"5","Bulgaria","May",-0.793,1.233,0.13,-1.477,-0.943,-0.369,0.324,3.12,2.508,-1.485,1.16,0.374,0.769,-1.064,0.842,-0.581,0.38,-0.809,0.532,-1.429,-1.485,0.247,1.676,0.8,2.161,0.644,-1.317,-0.055,-0.928,-0.304,-2.212,-1.074,0.532,1.219,-0.338,2.422,1.251,0.052,0.379,1.32,0.544,1.155,3.049,-0.884,0.893,0.586,2.24,0.73,1.471,1.136,0.012,0.91,2.801,0.19,1.991,0.164,0.737,3.312,0.68
"6","Bulgaria","June",0.208,-0.613,0.629,1.011,0.403,-1.004,-1.251,0.251,-0.079,-0.109,-0.173,1.421,-0.691,-0.734,0.247,-1.504,-0.321,-0.223,1.445,-0.439,1.579,0.658,-1.181,-0.778,-0.475,0.28,0.596,0.19,-1.228,0.158,0.543,0.156,0.707,0.23,1.415,1.272,1,1.421,1.541,1.155,-0.146,1.75,2.748,0.263,-0.675,0.51,2.995,1.722,1.292,0.949,0.907,2.889,1.222,0.214,0.494,2.397,2.219,1.732,3.262
"7","Bulgaria","July",-0.529,0.368,0.998,-0.441,0.676,0.358,0.092,0.039,-1.733,0.265,-1.257,0.452,-0.015,-0.755,0.142,-0.82,0.279,-0.62,-1.254,-0.114,-0.765,-1.02,0.436,-1.248,-0.215,-0.69,1.977,2.606,-0.359,0.76,0.247,-0.469,0.092,1.158,1.22,0.646,0.205,1.413,1.676,2.039,2.241,2.362,1.297,0.461,0.652,0.532,3.455,1.013,1.69,1.301,1.627,4.305,0.908,0.79,2.43,2.005,1.692,1.393,1.258
"8","Bulgaria","August",-0.034,1.846,1.728,-1.034,-1.621,0.864,0.894,-1.301,-0.002,-0.181,0.542,-0.273,-1.25,0.192,-0.958,-3.468,-0.089,-1.488,-1.048,-0.788,-0.74,-0.242,-1.058,-1.66,0.774,1.329,-0.618,1.366,0.594,0.238,-0.438,2.824,1.152,1.703,-0.271,0.633,-1.247,1.924,1.613,1.814,2.536,0.168,2.846,0.285,0.305,1.461,2.217,2.654,1.269,3.357,1.389,2.853,2.464,1.528,1.015,1.747,2.359,2.377,2.583
"9","Bulgaria","September",-0.154,0.572,1.487,-1.057,1.3,-0.015,0.844,0.158,0.765,-0.393,-1.647,-1.82,0.693,0.573,1.769,-1.352,-1.395,-1.623,0.31,-0.992,0.472,2.177,0.132,1.439,-0.061,0.937,2.541,0.529,-0.253,-0.645,0.355,-0.178,0.407,4.437,-0.284,-1.971,-1.61,-0.707,1.363,0.038,0.982,-0.319,-0.575,0.472,0.553,0.669,-0.47,-0.237,0.846,0.954,3.314,2.711,0.339,0.61,2.616,1.459,1.886,1.682,2.214
"10","Bulgaria","October",0.451,0.659,0.177,1.554,-1.01,3.908,1.415,-0.754,-0.494,-1.426,-1.815,-2.414,0.036,1.401,-0.154,-0.195,-1.131,-0.36,-1.532,1.516,2.253,0.997,-0.823,2.836,-1.28,-0.641,-1.2,-1.221,-0.394,0.747,0.255,2.102,2.511,0.713,-0.398,-0.423,-1.995,1.235,1.038,0.511,2.308,0.409,-0.488,2.145,-0.104,1.573,0.563,1.376,1.09,-1.624,-1.074,3.32,0.622,0.236,0.203,-0.121,0.666,2.274,2.921
"11","Bulgaria","November",2.009,2.752,2.495,0.508,-0.381,1.111,0.364,0.597,2.253,0.679,-0.632,-0.022,-2.781,-1.336,-2.323,0.459,1.746,-2.506,0.302,0.221,-2.383,-1.671,-3.077,-0.321,-0.385,-2.163,0.438,-5.712,-1.821,1.924,-0.201,0.337,-4.348,-1.02,-3.618,1.425,-0.146,-2.12,-0.722,2.756,-1.295,1.47,0.73,0.575,-1.395,-0.007,-1.967,0.868,1.658,4.599,-2.71,2.03,2.174,0.146,2.882,-0.106,0.674,0.245,4.489
"12","Bulgaria","December",-0.965,-3.11,-1.258,0.848,1.73,-0.002,-0.352,-1.57,-0.187,0.236,0.564,-0.967,-0.927,0.278,-0.674,-0.202,-2.916,0.678,1.895,0.03,1.352,2.363,-0.54,-1.124,2.174,-1.815,-0.045,-0.664,-0.419,0.479,-3.799,-1.994,1.632,-0.213,-0.322,0.44,-0.016,-3.799,1.651,1.914,-5.059,-2.234,-0.317,1.417,0.897,0.887,-1.337,1.503,1.578,0.499,1.262,-1.238,-0.627,1.202,1.899,-2.144,2.741,-0.403,2.46
