"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Burundi","January",0.018,-0.626,-0.194,0.476,-0.215,-0.076,0.334,-0.276,-0.032,-0.054,-0.262,-0.175,0.597,-0.295,NA,-0.286,NA,NA,0.684,NA,NA,-1.766,NA,NA,NA,-0.195,0.443,-0.766,-0.223,-0.716,-1.066,0.234,NA,NA,NA,NA,NA,NA,-0.716,-2.866,0.547,NA,1.205,0.869,NA,1.344,0.945,0.934,NA,NA,0.894,NA,1.445,NA,NA,NA,NA,NA,NA
"2","Burundi","February",-0.639,-0.137,-0.501,0.11,-0.134,0.2,0.222,-0.326,-0.21,0.452,-0.021,-0.245,1.6,-0.202,NA,-0.47,NA,NA,0.39,NA,0.94,0.74,1.19,NA,NA,NA,0.755,-0.78,-0.91,0.09,-0.11,-0.16,NA,NA,0.176,NA,NA,1.74,-0.16,-1.41,1.299,NA,1.623,0.61,NA,1.92,1.287,-0.1,0.611,1.613,1.32,0.746,NA,NA,NA,NA,NA,NA,NA
"3","Burundi","March",-0.276,-0.454,-0.486,0.25,-0.326,0.292,0.225,-0.938,0.485,0.395,0.412,0.053,0.54,0.454,NA,-0.259,NA,0.131,NA,NA,NA,NA,NA,NA,NA,0.272,0.472,NA,-0.528,NA,0.572,NA,NA,NA,0.971,NA,NA,NA,NA,NA,NA,0.078,0.922,1.522,NA,NA,1.352,-0.339,NA,1.302,0.481,NA,NA,NA,NA,NA,NA,NA,NA
"4","Burundi","April",0.201,-0.268,-0.112,-0.478,-0.171,-0.043,0.182,-0.319,0.457,0.273,-0.407,0.313,0.533,0.2,NA,NA,NA,0.148,NA,NA,0.988,0.438,1.238,NA,-0.336,0.846,0.468,0.068,-0.383,0.138,-0.562,-0.112,NA,-0.13,0.738,NA,NA,0.638,NA,NA,0.446,0.639,0.496,1.132,NA,0.318,0.856,-0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Burundi","May",0.649,-0.643,0.832,-0.016,-0.33,-0.052,-0.64,-0.195,0.306,0.23,-0.213,0.446,0.168,-0.734,NA,NA,NA,0.779,NA,NA,0.724,NA,0.464,NA,NA,0.574,0.114,0.654,-0.676,-0.026,-0.726,-0.726,NA,0.311,0.674,0.324,NA,0.874,NA,1.519,NA,-0.198,0.769,0.404,1.799,NA,NA,0.949,0.211,NA,0.859,NA,0.667,NA,NA,NA,NA,NA,NA
"6","Burundi","June",0.299,-0.315,0.028,-0.044,-0.456,0.204,-0.233,-0.112,0.424,0.215,-0.464,0.529,0.335,0.099,0.159,NA,NA,NA,0.384,0.984,NA,0.834,0.25,NA,NA,-0.69,-0.394,0.594,-0.549,0.784,0.434,0.284,NA,NA,-0.329,NA,NA,0.734,NA,1.449,-0.357,0.149,-0.22,0.324,1.879,1.139,0.211,NA,0.381,NA,1.319,0.411,NA,NA,NA,NA,NA,NA,NA
"7","Burundi","July",0.491,-0.221,-0.049,-0.873,-0.075,0.287,-0.233,-0.104,0.43,0.603,0.288,0.469,-0.115,-0.521,NA,NA,NA,0.545,NA,NA,NA,0.888,0.466,-0.059,NA,1.688,0.063,0.768,0.888,1.138,0.038,0.038,0.038,0.545,1.138,0.988,NA,0.538,NA,1.775,-0.366,0.693,-0.719,-0.204,NA,2.095,0.481,NA,-0.069,NA,1.235,NA,NA,NA,NA,NA,NA,NA,NA
"8","Burundi","August",0.092,-0.671,-0.06,-0.21,-0.235,0.224,-0.143,-0.209,0.216,0.343,-0.162,0.432,0.294,-0.212,-0.093,NA,NA,0.147,1.755,NA,NA,0.255,-0.208,-1.001,NA,-0.664,0.191,-0.391,0.555,0.855,-0.045,0.355,0.055,-0.993,NA,1.055,NA,0.155,0.641,1.127,-0.701,0.479,0.099,0.395,NA,1.317,0.177,NA,0.21,NA,0.157,NA,0.269,NA,NA,NA,NA,NA,NA
"9","Burundi","September",0.678,-0.827,0.172,-0.152,0.052,-0.006,-0.72,-0.243,0.268,0.216,-0.719,0.755,0.359,-0.391,0.197,NA,NA,0.177,NA,NA,NA,1.417,-0.579,-0.844,NA,-0.415,0.435,-0.14,0.217,NA,0.667,0.317,NA,1.637,NA,0.717,1.967,-0.733,NA,2.877,-1.194,0.895,0.156,0.19,NA,1.367,0.757,NA,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Burundi","October",-0.492,-1.061,0.211,-0.569,0.144,-0.364,-0.618,0.275,0.043,0.223,-0.476,0.755,0.276,0.029,-0.856,0.754,NA,0.614,NA,NA,NA,-0.151,-1.163,-0.707,NA,-0.345,-0.26,-0.457,-0.401,0.549,-1.001,-0.751,1.654,NA,NA,0.549,1.399,NA,NA,0.664,-0.907,0.984,0.043,1.573,NA,NA,-0.02,0.342,NA,NA,-0.113,NA,NA,NA,NA,NA,NA,NA,NA
