"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Côte d'Ivoire","January",-0.166,0.366,0.168,-0.229,-0.899,-0.041,-0.882,-0.728,0.361,0.503,-0.508,-0.025,0.44,-0.673,-0.58,-0.292,0.499,0.962,1.108,1.052,-0.302,-0.177,-0.68,0.559,0.445,-0.299,1.223,0.234,-0.426,0.13,0.946,0.217,-0.407,0.362,-0.407,1.019,1.475,0.583,1.083,0.962,0.214,0.556,1.093,1.051,0.182,0.627,0.387,-1.202,0.123,1.506,0.485,0.471,0.442,1.253,0.171,1.081,1.665,1.212,1.327
"2","Côte d'Ivoire","February",-0.392,0.026,0.137,0.072,-0.509,-0.073,-0.208,-0.195,0.691,0.497,-0.155,-0.002,1.161,-0.048,-0.202,-0.53,0.231,0.733,0.263,0.439,0.816,0.585,1.1,0.382,0.17,0.687,0.978,1.231,0.074,-0.09,0.858,0.847,0.363,0.762,1.044,0.744,0.259,1.851,0.241,-0.357,-0.043,0.303,1.588,0.606,2.064,0.99,1.284,1.119,0.879,1.761,0.639,0.447,1.437,0.716,1.297,1.77,1.784,1.159,0.931
"3","Côte d'Ivoire","March",0.395,-0.139,-0.341,0.365,-0.068,0.166,-0.227,-0.496,0.432,0.471,-0.175,-0.213,0.775,-0.06,0.059,-0.237,0.528,0.149,0.635,0.579,0.391,-0.043,1.618,0.673,0.475,0.166,0.744,0.916,-0.1,1.533,0.329,0.776,0.057,1.154,0.92,0.621,0.596,2.331,0.874,0.895,1.408,0.64,1.744,0.871,1.648,0.921,1.478,0.574,0.746,1.512,0.892,0.874,0.973,0.633,1.106,1.965,1.963,0.893,1.337
"4","Côte d'Ivoire","April",-0.152,-0.276,-0.148,-0.055,-0.449,-0.044,-0.19,-0.546,0.544,0.39,-0.139,-0.243,0.708,0.037,-0.052,-0.246,0.712,-0.36,0.817,0.719,0.723,0,1.292,0.636,0.457,0.734,1.881,0.893,0.662,0.903,0.167,0.571,0.218,0.998,0.872,1.005,0.168,2.114,0.347,0.59,0.378,0.691,0.736,0.52,1.062,1.081,0.894,0.726,0.778,1.665,0.882,0.406,1.036,0.69,1.172,1.991,1.482,0.859,1.306
"5","Côte d'Ivoire","May",0.427,-0.128,0.024,-0.467,-0.212,0.374,0.136,-0.35,0.96,-0.014,0.136,-0.275,0.7,0.187,-0.101,-0.351,0.353,-0.125,0.221,0.174,-0.256,-0.056,0.708,0.365,0.138,0.65,1.328,1.319,0.852,0.5,0.298,0.362,0.785,0.698,0.645,0.913,0.365,1.577,0.689,0.367,0.9,1.008,1.213,0.499,0.727,0.532,1.135,1.081,1.02,1.085,0.994,0.12,0.949,0.683,1.348,1.496,1.405,0.781,1.285
"6","Côte d'Ivoire","June",-0.129,-0.616,0.423,-0.196,-0.151,0.01,-0.165,-0.012,0.392,0.521,-0.026,-0.078,0.593,0.457,0.286,-0.464,0.235,-0.244,0.082,0.655,0.878,0.145,0.273,0.466,0.266,0.428,0.927,0.682,0.376,0.795,1.121,-0.12,0.581,0.546,1.057,1.071,0.261,1.094,1.035,0.347,0.47,0.632,0.425,0.437,0.606,0.94,1.189,0.952,1.342,1.098,1.149,0.619,0.872,1.055,1.529,1.254,1.256,1.068,0.946
"7","Côte d'Ivoire","July",-0.329,0.17,0.487,-0.247,-0.095,0.815,-0.39,0.43,0.15,0.028,0.047,0.491,0.967,0.166,-0.012,-0.164,0.258,-0.332,0.444,0.365,-0.237,-0.045,0.627,0.294,0.09,0.046,1.531,0.464,0.657,0.156,0.748,-0.182,0.6,0.125,0.945,1.115,0.512,1.33,0.782,0.475,0.38,0.745,0.9,0.462,0.434,1.062,1.226,0.904,1.1,1.016,0.909,0.512,0.951,1.094,1.637,1.544,1.668,1.428,1.036
"8","Côte d'Ivoire","August",-0.746,-0.259,0.71,-0.569,0.03,0.385,-0.248,0.825,0.182,0.208,-0.197,0.185,0.66,0.387,-0.047,-0.147,0.19,0.331,0.75,0.624,0.297,-0.117,0.73,0.805,0.457,0.383,1.004,0.232,0.423,0.401,0.412,0.132,0.781,0.29,0.749,0.914,0.751,0.727,-0.428,0.572,0.378,0.854,1.008,0.94,0.796,1.028,0.861,0.838,0.94,1.141,0.988,0.706,0.846,0.9,1.491,1.488,1.294,1.537,0.922
"9","Côte d'Ivoire","September",-0.128,-0.201,0.825,-0.575,-0.169,-0.058,-0.309,0.18,0.079,-0.09,-0.277,0.228,0.402,-0.323,-0.253,0.021,0.423,0.194,0.478,0.519,0.197,0.53,0.411,0.02,-0.476,0.166,0.835,0.368,0.096,0.272,0.217,0.189,0.473,0.463,0.723,0.041,0.883,1.026,-0.175,0.006,0.056,0.768,0.655,0.791,1.44,0.545,1.21,0.761,0.965,0.63,0.817,0.912,0.902,0.568,1.68,1.454,1.608,0.799,0.959
"10","Côte d'Ivoire","October",0.193,0.018,-0.049,-0.544,0.262,0.157,-0.17,0.13,-0.131,0.34,-0.065,0.283,0.377,-0.166,-0.13,-0.714,0.385,0.144,0.527,0.285,0.601,0.068,0.98,0.435,0.383,-0.062,0.535,0.595,0.234,0.755,-0.384,0.369,0.602,-0.282,0.215,0.335,1.244,0.95,0.044,0.372,0.846,0.658,1.206,1.182,0.757,0.864,0.755,0.873,1.119,0.732,0.85,0.74,1.143,0.983,1.654,1.725,1.739,1,0.519
