"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Cabo Verde","January",-0.893,0.206,1.214,-0.686,-1.012,0.032,0.941,-0.727,0.447,0.738,0.142,-0.108,0.41,-0.192,-0.532,NA,0.168,0.958,1.028,0.648,0.878,1.238,0.888,NA,0.258,-0.222,0.288,NA,NA,NA,1.008,0.598,0.868,-0.552,0.928,1.808,1.168,1.138,0.338,-0.062,1.028,2.378,1.208,0.938,0.198,0.358,1.158,0.648,0.348,1.818,2.128,0.328,0.368,1.198,0.032,3.038,1.348,0.808,0.958
"2","Cabo Verde","February",0.33,-0.157,0.602,0.421,-0.287,1.052,-0.391,-1.027,1.644,0.957,0.032,-0.58,-0.563,-1.103,-0.923,-0.833,0.047,1.327,1.727,1.167,0.257,NA,0.847,NA,0.467,-0.633,0.537,NA,NA,NA,1.177,1.607,0.117,0.527,2.087,1.497,2.377,2.437,-0.083,0.677,0.697,2.197,0.127,1.307,-0.813,0.167,0.977,1.277,-0.613,3.377,1.327,-0.403,0.817,0.017,-0.563,1.757,0.687,-0.193,1.557
"3","Cabo Verde","March",-0.063,0.754,1.262,0.274,-0.169,0.591,0.014,-1.108,1.989,1.089,-0.067,-0.555,0.248,-0.911,-0.541,-1.221,0.349,0.909,0.539,0.499,1.199,1.209,1.779,NA,-0.241,-0.611,2.929,NA,NA,NA,-0.371,1.529,0.009,-1.091,-0.291,1.049,1.439,3.149,-0.631,1.669,1.509,1.339,0.749,1.259,0.399,1.039,0.539,1.499,-0.261,2.429,0.989,0.509,1.289,0.009,-0.361,0.599,1.57,0.619,1.299
"4","Cabo Verde","April",0.502,0.597,0.256,-0.612,-0.565,0.764,-0.727,-1.014,1.018,1.318,-0.356,-0.489,1.291,-1.062,-0.602,-0.682,1.338,0.338,1.528,1.998,0.748,1.198,1.318,NA,0.028,0.028,2.488,NA,NA,0.688,0.068,0.338,0.108,0.118,0.398,1.298,2.078,1.358,0.058,1.138,0.968,1.008,1.308,1.618,0.868,0.808,0.388,1.598,-0.112,3.248,1.008,0.778,1.828,0.798,0.088,0.798,1.658,0.243,0.998
"5","Cabo Verde","May",0.35,0.102,0.11,1.153,-0.566,0.615,-0.073,-0.629,0.354,0.554,-0.888,-0.327,1.096,-0.716,-0.846,-0.806,0.834,0.164,1.174,1.224,0.214,1.544,0.934,NA,-0.056,1.004,2.084,NA,NA,0.874,0.074,0.434,0.594,1.054,0.944,1.724,1.924,1.094,0.404,NA,0.114,0.824,1.524,1.124,2.284,0.634,0.684,1.234,-0.106,2.804,1.094,1.314,1.964,1.014,1.024,1.414,2.474,0.064,1.594
"6","Cabo Verde","June",0.34,-0.474,-0.016,-0.137,-0.449,0.294,-0.09,-0.588,-0.114,0.444,-0.826,0.11,0.92,-0.094,0.226,0.196,0.246,-0.264,1.286,1.806,0.316,1.046,1.126,NA,1.156,0.676,1.816,NA,NA,0.686,-0.084,0.106,0.496,0.716,1.676,1.646,1.856,1.396,1.016,1.106,1.016,0.386,1.546,1.336,2.096,0.916,0.726,1.206,1.456,2.466,1.536,1.106,0.516,0.966,0.726,1.416,2.795,-0.104,1.616
"7","Cabo Verde","July",0.012,1.02,0.619,0.125,-0.307,-0.429,0.334,-0.185,0.742,0.224,-0.364,-0.494,0.514,0.162,NA,-0.498,-0.278,0.172,0.772,0.752,0.892,0.802,0.802,NA,1.432,0.552,1.212,NA,NA,1.122,0.262,1.052,1.252,0.682,1.572,1.422,1.632,1.522,1.022,0.992,1.342,NA,1.962,1.762,1.472,1.062,1.092,1.402,2.622,2.372,1.842,2.142,1.442,0.732,1.722,1.672,2.322,1.082,1.302
"8","Cabo Verde","August",0.117,0.025,0.134,-0.288,-0.351,-0.112,0.173,-0.388,0.535,0.224,-0.463,0.651,0.405,0.585,NA,1.015,-0.315,0.015,0.455,1.425,0.925,0.495,0.735,NA,1.005,0.805,1.105,NA,NA,1.655,0.305,0.145,0.845,0.725,2.095,1.165,0.755,1.305,1.445,1.225,1.375,0.205,1.815,1.795,0.725,1.455,0.225,1.445,2.615,2.345,1.035,-3.405,1.445,1.265,1.805,1.895,2.355,1.015,1.215
"9","Cabo Verde","September",-0.416,-0.257,0.452,-0.44,-0.417,-0.195,-0.927,0.116,-0.021,0.148,0.312,0.878,0.136,0.589,NA,1.139,0.439,NA,0.789,0.739,1.319,0.309,NA,0.239,1.059,1.539,1.619,NA,NA,1.319,0.579,0.099,0.489,0.249,1.299,0.639,0.639,1.419,1.209,0.749,1.809,0.899,1.649,1.629,1.159,1.669,0.539,1.609,1.439,2.349,0.739,1.909,1.479,1.369,1.569,1.629,1.669,1.579,2.019
"10","Cabo Verde","October",-0.184,-0.026,-0.656,-0.285,-0.58,-0.64,-0.465,0.736,-0.092,0.844,0.857,0.81,-0.155,0.218,NA,0.208,0.198,1.428,0.478,0.308,0.928,0.608,NA,0.408,0.938,1.008,NA,NA,NA,2.138,0.248,-0.112,-0.042,0.148,1.528,0.768,1.488,1.458,0.718,0.058,1.238,1.968,2.178,1.428,2.038,1.848,0.138,0.778,2.108,2.158,1.748,1.848,1.548,1.738,2.088,1.297,1.698,1.678,1.628
"11","Cabo Verde","November",-0.542,0.627,0.597,0.133,0.246,0.189,-1.191,-0.045,0.689,0.139,0.113,0.462,0.343,-0.951,NA,0.209,0.359,1.139,0.399,-0.041,0.929,0.329,NA,0.519,0.819,0.329,NA,NA,NA,1.279,0.589,1.519,-0.661,0.659,2.069,2.279,1.059,1.939,0.599,0.109,1.309,1.389,1.229,1.479,0.819,2.629,0.259,0.559,2.069,1.529,0.739,1.549,0.803,0.809,1.849,1.219,1.759,NA,0.809
"12","Cabo Verde","December",0.738,1.447,-0.79,-0.544,-0.045,0.536,-0.576,0.302,0.617,-0.083,0.598,-0.518,-0.077,-0.853,NA,-0.243,1.097,0.987,0.957,0.507,1.727,0.557,NA,0.237,1.057,1.227,NA,NA,NA,1.887,0.927,-0.393,-0.353,0.977,1.467,1.017,0.727,1.027,0.987,1.127,2.457,1.607,1.627,0.757,1.627,1.077,0.317,0.017,2.507,2.327,1.277,0.497,1.123,0.897,1.747,1.767,1.707,1.347,0.827
