"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Cambodia","January",-0.343,-0.768,-2.063,1.721,-1.381,1.25,-0.923,-0.178,2.086,0.395,-1.165,-0.995,0.884,-0.922,0.581,-1.616,0.178,1.179,1.13,0.289,-0.373,-0.649,0.162,-0.216,0.335,-0.525,0.862,1.404,1.289,1.157,1.567,-0.057,0.191,0.912,0.763,0.304,-0.144,2.672,1.279,1.492,1.672,0.815,0.329,0.774,0.466,1.032,1.007,1.267,-0.661,1.684,0.397,1.584,1.493,-0.741,0.332,2.198,2.345,1.398,1.89
"2","Cambodia","February",0.349,-1.195,-1.075,0.555,0.43,1.086,-0.536,-0.629,0.531,-0.027,-0.918,0.169,0.988,-0.685,0.127,-0.447,-0.9,0.307,0.732,0.363,0.436,0.529,0.93,0.412,1.39,-0.087,0.159,1.063,-0.099,1.089,0.703,0.159,-0.44,1.357,0.294,-0.073,0.179,1.836,0.493,0.065,0.775,0.592,0.922,0.018,1.465,0.999,0.696,-0.403,0.868,1.798,0.45,1.15,1.727,-0.094,0.325,0.147,0.803,-0.2,2.226
"3","Cambodia","March",0.231,-0.22,-0.916,0.157,-0.547,0.74,-0.119,0.116,0.751,0.515,-0.8,-0.971,0.739,-0.93,0.212,-0.479,-0.679,0.636,0.931,0.698,0.535,0.586,0.877,0.269,0.423,-0.115,0.671,1.109,-0.467,0.319,0.976,0.685,-0.033,0.086,0.436,0.501,0.077,1.71,0.909,0.441,0.323,0.499,0.096,0.685,0.271,0.656,0.779,-0.206,0.418,0.914,-1.072,0.871,1.247,0.851,1.072,1.277,0.772,0.275,1.408
"4","Cambodia","April",-0.08,-0.158,-0.395,0.449,-0.126,0.374,-0.371,-1.004,0.538,0.031,-0.272,-0.744,0.873,-0.694,0.289,-0.134,0.002,0.184,0.35,0.717,0.377,-0.485,1.587,0.467,-0.182,-0.147,0.518,0.034,0.389,1.067,0.516,1.299,0.066,0.574,0.853,-0.175,-0.612,1.449,-0.465,-0.281,0.801,0.583,0.454,0.87,0.446,0.403,0.37,0.037,-0.076,1.151,-0.804,0.283,0.638,0.538,0.632,2.084,0.533,0.051,1.527
"5","Cambodia","May",-0.319,0.055,0.51,-0.557,-0.343,-0.684,-0.141,-0.318,0.904,0.413,-0.418,0.819,0.307,-0.519,-0.078,-0.718,0.248,0.013,0.312,0.754,0.47,0.542,0.956,-0.12,-0.223,-0.301,0.995,0.182,-0.065,0.306,0.418,0.949,0.65,0.243,0.43,-0.037,0.274,1.362,-0.745,0.01,0.081,0.237,0.561,0.219,0.852,0.151,-0.089,-0.633,-0.215,1.623,0.309,0,0.911,1.258,1.244,1.443,0.527,0.626,1.033
"6","Cambodia","June",-0.308,0.015,0.181,-0.01,-0.49,0.319,0.372,0.017,0.333,-0.028,-0.481,-0.079,0.249,0.104,-0.714,-0.136,0.934,0.066,-0.007,-0.194,-0.189,0.113,0.695,-0.255,-0.141,0.174,0.364,0.071,0.04,0.493,0.387,0.688,0.612,-0.398,0.769,0.455,0.895,0.769,-0.151,-0.129,0.036,0.454,0.472,0.239,0.752,0.623,0.746,0.339,0.603,1.094,0.21,0.681,0.579,0.766,1.109,0.924,0.727,0.489,1.283
"7","Cambodia","July",-0.069,-0.105,-0.115,0.49,0.042,-0.162,-0.082,0.466,-0.385,0.088,-0.216,0.279,0.155,0.174,-0.016,-0.127,-0.061,0.004,0.21,0.333,0.088,-0.112,0.616,0.386,-0.033,0.334,0.701,0.451,0.356,0.562,0.147,0.352,0.679,0.03,0.187,0.057,0.178,1.242,0.021,0.007,0.549,1.132,0.284,0.206,0.322,0.216,0.083,0.201,0.206,0.794,0.484,0.288,0.185,0.457,0.892,0.833,0.172,0.508,0.955
"8","Cambodia","August",-0.088,-0.101,-0.261,-0.236,0.046,0.03,-0.098,0.173,0.275,-0.069,-0.082,0.193,0.148,0.103,-0.034,-0.278,0.136,0.006,0.291,0.07,0.269,-0.157,0.313,0.404,0.324,0.286,0.675,0.588,0.221,0.431,0.207,0.193,0.192,-0.048,0.524,0.468,0.529,1.047,0.546,0.344,0.327,0.03,0.565,0.293,0.772,0.203,0.498,0.535,1.047,0.602,0.357,0.914,0.472,0.737,1.147,1.41,1.125,0.369,0.788
"9","Cambodia","September",0.147,-0.201,0.241,0.114,-0.275,-0.131,0.15,0.166,-0.064,0.402,0.116,0.063,0.054,0.333,-0.116,0.107,-0.114,-0.161,0.303,0.286,0.75,-0.092,0.609,0.025,0.065,0.208,0.381,0.6,0.603,0.458,0.26,0.818,0.111,0.125,0.043,0.231,0.528,-0.11,0.634,0.568,0.978,0.51,0.292,0.426,0.421,0.496,0.716,0.204,0.249,1.068,0.179,0.11,0.209,0.724,1.166,0.871,1.545,0.753,0.711
"10","Cambodia","October",-0.431,0.273,0.004,0.169,0.416,0.466,-0.412,0.095,0.474,-0.215,-0.484,0.755,-0.1,-0.282,-0.379,0.56,0.544,-0.224,-0.098,0.192,0.493,0.506,-0.076,-0.19,0.072,0.362,0.885,-0.566,0.253,0.555,-0.079,-0.519,0.113,-0.136,0.505,0.331,0.897,0.488,0.444,0.149,0.431,0.901,0.513,0.534,0.646,0.55,0.377,0.875,0.309,0.358,0.591,0.892,0.409,0.755,1.22,1.059,1.069,1.361,1.418
