"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Cameroon","January",0.314,-0.732,0.099,0.25,0.272,0.221,-0.6,-0.462,-0.574,0.073,-0.657,0.002,1.116,-0.557,-0.808,-0.23,0.121,0.083,0.604,0.618,-0.936,0.975,-1.777,-0.352,0.334,0.227,0.21,0.882,-1.907,1.69,0.609,0.085,-0.734,0.615,0.402,0.127,0.21,0.653,0.775,0.795,-0.347,-0.947,1.133,1.17,0.256,1.548,0.208,-0.012,1.997,1.486,-0.241,0.175,1.258,1.013,0.351,1.07,2.17,0.482,1.675
"2","Cameroon","February",-1.085,-0.031,0.5,-0.09,-0.306,-0.309,0.145,-0.253,0.416,0.295,-0.09,0.04,1.296,-0.065,-0.071,0.127,-0.038,0.902,0.478,0.879,0.338,-0.059,0.758,0.332,-0.216,0.836,0.685,0.689,-1.021,-0.335,1.243,-0.774,-0.403,0.126,-0.156,1.519,-0.319,1.695,0.976,-0.342,-0.099,0.576,0.876,0.673,2.443,2.216,1.469,0.068,1.047,2.269,0.827,1.175,1.289,1.313,1.374,1.22,1.126,1.993,1.769
"3","Cameroon","March",-0.115,-0.263,-0.325,0.243,-0.452,0.301,0.015,-0.421,0.355,0.183,0.247,-0.072,0.66,-0.017,0.095,-0.347,0.177,0.315,0.631,0.482,0.895,-0.145,0.422,0.238,0.504,0.226,0.6,0.88,-0.446,-0.507,0.796,0.705,0.031,0.979,0.868,0.772,1.198,1.129,0.938,0.231,0.612,0.905,0.717,1.296,1.925,1.192,0.712,1.412,1.276,1.465,1.091,1.185,1.08,1.39,1.582,2.002,1.328,1.056,2.174
"4","Cameroon","April",0.033,-0.303,-0.385,-0.4,-0.474,-0.348,0.495,-0.431,0.433,0.582,-0.148,-0.398,0.677,0.023,0.28,-0.063,0.89,-0.362,0.282,0.854,0.696,0.408,0.844,-0.053,-0.591,0.446,0.689,0.719,0.026,1.033,0.375,0.451,0.048,0.396,1.145,0.738,0.007,1.822,0.921,0.632,0.801,0.962,1.297,1.246,1.152,0.827,0.773,0.268,0.845,2.289,0.848,1.417,0.68,0.323,1.214,1.445,1.272,0.813,2.581
"5","Cameroon","May",0.526,-0.135,-0.049,-0.196,-0.03,-0.309,0.269,-0.392,0.521,0.204,0.272,0.123,0.15,-0.369,-0.032,-0.132,0.655,-0.211,0.135,0.169,-0.063,-0.194,0.994,0.336,-0.005,0.35,1.317,0.336,-0.674,0.01,-1.131,-0.249,0.252,0.473,0.571,-0.398,-0.235,1.649,0.472,0.585,0.55,1.347,1.33,0.694,0.23,0.145,1.139,0.507,0.705,1.389,1.027,0.383,0.561,0.689,1.22,0.886,0.881,0.543,1.935
"6","Cameroon","June",-0.152,-0.314,0.367,-0.324,0.015,-0.242,-0.094,-0.404,0.351,0.459,0.157,0.086,0.825,0.375,0.196,-0.22,0.26,-0.085,0.029,-0.009,0.647,0.146,0.243,0.583,-0.252,0.258,0.866,0.041,0.357,1.704,0.797,-0.002,0.967,0.408,0.921,0.476,0.303,1.586,0.997,0.653,0.383,0.75,0.179,0.649,0.696,0.773,0.336,0.639,1.224,0.901,1.077,0.575,1.11,1.159,1.374,0.897,1.128,1.002,1.53
"7","Cameroon","July",-0.424,0.264,0.244,-0.308,0.043,0.658,-0.301,-0.071,0.14,0.123,-0.055,0.744,0.693,-0.229,-0.208,-0.158,0.266,-0.244,0.292,0.133,0.007,0.065,0.376,0.092,0.102,-0.227,1.162,0.073,-0.238,-0.204,0.018,-0.328,0.734,0.43,0.75,0.667,0.222,1.185,0.715,0.486,0.4,1.142,0.921,0.512,1.224,0.899,1.388,0.954,1.369,0.754,0.845,0.4,1.479,1,1.552,1.318,0.971,1.037,1.302
"8","Cameroon","August",-0.328,-0.201,0.266,-0.145,-0.03,0.134,-0.325,0.333,0.175,-0.033,-0.357,0.252,0.339,0.224,-0.303,-0.117,0.312,0.268,0.428,0.288,-0.073,-0.057,0.17,0.963,0.403,0.211,0.531,-0.009,0.173,0.918,0.226,-0.417,0.427,-0.018,0.66,0.298,0.856,0.881,0.766,0.493,0.223,1.038,1.229,0.584,0.979,0.904,0.408,0.538,1.203,0.77,0.767,0.484,0.069,0.378,1.411,1.168,0.791,1.033,1.251
"9","Cameroon","September",-0.314,-0.181,0.555,-0.388,0.132,0.038,-0.338,0.097,0.159,-0.217,-0.301,0.562,0.28,-0.256,-0.362,0.208,0.512,-0.103,0.461,0.484,0.179,0.102,0.263,-0.327,0.199,-0.116,0.403,-0.481,0.055,1.263,1.071,-0.41,0.62,0.057,0.434,0.187,1.939,1.06,0.61,0.738,0.238,1.333,0.881,0.949,0.718,0.901,0.7,0.847,1.127,0.242,0.518,-0.123,-0.012,0.412,0.611,1.194,0.665,0.876,1.181
"10","Cameroon","October",-0.203,-0.079,0.153,-0.538,0.083,0.067,-0.296,-0.02,0.028,0.079,-0.033,0.243,0.414,0.024,-0.126,-0.013,0.287,0.282,0.504,0.312,0.044,-0.602,-0.363,0.372,-0.104,-0.076,0.066,-0.121,0,1.194,0.599,-0.33,0.472,-0.046,-0.368,0.053,1.32,1.171,-0.006,0.641,0.087,0.339,0.77,0.025,0.566,1.322,0.47,1.229,0.448,0.514,0.455,-0.038,0.323,0.914,1.019,1.4,1.237,0.946,0.524
