"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Canada","January",0.462,-0.325,-0.182,1.507,-0.518,-2.678,0.581,-0.777,-1.106,-0.076,-1.298,-3.027,1.771,-2.616,-1.251,0.694,3.095,0.321,1.133,1.07,6.144,-3.665,1.43,-0.044,3.459,2.616,4.195,0.542,0.198,1.665,-1.272,3.011,1.391,-2.349,3.595,-2.225,0.347,-0.037,1.299,1.238,4.648,2.402,3.173,-1.125,0.168,5.155,4.176,2.284,1.412,4.591,3.205,2.902,1.916,2.887,1.837,5.404,5.253,2.68,1.633
"2","Canada","February",0.301,-3.086,0.653,2.256,-2.701,0.995,-2.845,0.442,2.465,0.303,0.736,-4.17,-0.984,-0.952,-0.378,-0.242,3.46,2.837,-6.319,2.364,4.288,-1.256,0.466,3.587,-1.465,1.388,2.803,0.108,0.134,-2.744,2.588,0.3,-0.425,-3.464,-0.141,2.008,1.216,4.647,3.669,3.179,0.294,0.85,-1.359,2.405,2.296,3.029,0.321,-0.66,1.29,5.768,0.625,4.382,2.487,-0.963,-1.907,2.735,2.628,-0.33,-1.504
"3","Canada","March",-1.023,1.879,-1.528,-4.054,0.05,1.546,-2.334,2.557,0.171,0.969,0.658,-0.932,2.25,-2.864,-1.141,-1.302,2.919,-0.842,0.27,0.829,4.947,-1.01,0.386,0.627,1.272,0.729,1.406,2.932,-2.583,3.205,1.116,2.31,2.221,2.324,0.624,-0.608,-0.91,2.043,4.195,4.289,2.777,-1.846,-0.598,0.255,2.464,3.546,0.007,-0.841,-0.816,5.847,0.231,2.455,2.169,-1.703,1.468,2.972,0.56,2.425,3.181
"4","Canada","April",-0.222,-0.746,1.368,-1.394,0.099,-1.112,-2.236,0.445,0.486,-0.488,0.531,-2.084,-0.121,-1.423,-0.126,2.309,1.612,-0.552,-0.282,1.827,-0.581,-1.977,0.514,2.412,-0.924,0.329,1.855,2.217,1.088,0.798,1.563,-0.904,0.955,0.163,1.283,0.381,-0.184,3.621,2.511,0.315,1.033,-1.621,0.29,0.282,3.035,3.138,1.396,0.781,1.092,5.304,-0.77,1.573,-0.77,-0.502,0.901,0.423,0.801,-1.125,0.805
"5","Canada","May",-0.839,-1.197,-0.714,-0.025,0.296,-0.235,-0.791,-0.3,-0.764,-1.298,0.529,-0.531,1.049,-1.18,1.255,0.495,1.693,-0.188,0.026,1.825,0.962,-0.103,-2.145,0.291,0.816,0.971,-0.171,0.827,-0.062,0.04,1.215,-0.651,1.275,0.868,0.908,-1.019,-0.51,2.879,0.888,-0.243,1.486,-1.564,1.208,-1.498,1.136,2.347,0.03,1.211,-1.115,0.966,0.59,1.661,0.431,1.18,1.458,2.183,1.474,0.645,1.026
"6","Canada","June",0.757,0.307,-0.157,-0.73,-0.7,0.194,-0.089,-0.389,-1.068,0.409,0.562,-0.699,0.732,0.285,1.39,0.189,0.63,-0.866,-0.115,0.016,-0.181,-0.134,0.872,0.723,0.196,-0.929,0.556,0.855,1.035,0.549,1.165,-0.695,0.45,1.184,2.095,0.918,0.999,1.897,0.92,-0.279,0.631,0.767,0.555,-0.068,1.076,2.109,0.838,1.001,0.391,0.838,0.732,1.945,1.62,1.248,1.45,1.491,1.027,0.559,1.066
"7","Canada","July",0.592,-0.182,0.341,-0.131,-0.756,0.297,-0.198,-0.808,-0.368,0.43,-0.132,-1.181,0.665,0.191,1.032,0.027,-0.322,-0.69,0.702,-0.191,0.575,0.332,0.389,0.741,-0.123,-0.501,0.331,0.731,1.196,0.648,0.444,-1.136,0.151,0.98,0.018,0.633,0.779,1.574,0.137,0.942,1.049,0.699,1.087,0.51,0.4,1.223,1.817,1.01,0.36,1.484,1.339,2.051,0.531,1.322,0.786,1.227,0.814,1.251,0.92
"8","Canada","August",0.548,0.214,0.135,-0.674,-0.59,0.213,0.34,-1.314,0.37,0.526,0.161,-0.242,1.065,-0.454,-0.135,-0.037,-0.562,-0.754,-0.504,0.475,1.322,-1.178,0.95,0.927,-0.536,-0.355,-0.824,0.839,0.998,0.435,1.189,-0.352,0.313,0.413,0.363,0.378,0.345,1.755,0.831,0.408,1.383,0.411,1.239,-0.384,0.637,0.963,0.242,1.101,0.646,1.549,1.454,1.759,1.222,1.216,1.079,1.591,1.32,0.62,0.784
"9","Canada","September",-0.666,0.174,-0.113,-0.56,-1.875,1.203,0.995,1.406,-0.365,-0.302,0.579,-2.12,0.766,-1.264,0.115,0.827,0.395,-0.319,0.218,-1.145,0.777,0.269,0.68,-1.105,0.355,-0.656,1.701,0.659,0.736,0.614,0.219,-1.055,-0.334,1.085,0.707,0.826,1.239,2.193,1.395,0.058,1.951,1.381,1.636,0.448,1.095,1.824,0.316,0.613,2.482,0.979,2.263,2.509,1.786,0.566,1.583,1.696,1.904,-0.943,1.65
"10","Canada","October",-1.096,1.309,2.046,-0.09,-0.58,-0.638,0.331,1.726,-0.148,0.5,1.146,-2.483,1.476,-1.801,0.122,-1.066,1.11,-1.713,0.094,0.552,0.341,0.31,0.25,-0.197,-0.395,-1.041,0.442,0.505,-0.051,-1.108,-1.185,-0.361,-0.08,1.801,0.672,-1.075,-0.763,1.723,-0.332,0.415,0.424,-0.383,2.047,0.355,1.865,1.521,1.537,1.45,-0.732,2.414,2.066,0.528,1.959,1.819,0.979,0.528,1.476,-0.912,1.615
