"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Caribbean","January",0.3,0.55,-0.057,0.259,-0.675,0.064,0.283,-0.311,-0.028,-0.25,-0.045,0.882,0.907,0.669,0.586,-0.688,-0.154,0.024,0.371,0.452,-0.97,0.894,0.803,0.724,-0.503,0.228,0.322,0.944,1.048,1.719,1.619,0.824,1.138,1.156,0.961,0.937,0.796,1.832,1.142,0.558,-0.374,1.13,1.261,0.837,0.243,0.833,1.764,0.661,0.943,0.361,0.801,0.693,1.632,1.54,1.329,1.254,1.205,1.2,1.404
"2","Caribbean","February",0.93,0.2,0.204,0.448,0.364,0.012,-0.072,-1.016,-0.461,-0.639,0.329,0.374,-0.255,-0.07,0.974,-0.347,0.508,-0.763,0.145,-0.141,0.469,1.11,0.363,0.692,0.389,0.316,0.861,0.731,0.524,1.236,0.759,1.023,0.124,1.694,0.951,0.614,1.383,1.111,0.092,0.853,1.238,1.059,1.69,1.345,-0.055,0.804,1.546,0.883,0.462,0.745,1.198,1.312,1.336,1.74,0.732,1.155,1.92,1.685,1.918
"3","Caribbean","March",0.408,-0.285,0.371,0.96,0.235,-0.476,-0.762,-1.119,0.054,-0.166,-0.3,-0.243,0.86,-0.011,0.417,-0.258,0.821,-0.147,-0.571,0.469,-0.131,0.722,0.178,0.167,-0.035,-0.183,0.281,0.094,-0.109,0.393,0.789,0.495,-0.04,0.732,0.191,0.298,0.894,0.973,0.302,0.384,0.729,0.973,1.772,0.868,0.999,0.663,0.928,0.452,-0.505,0.051,0.409,0.49,0.014,0.823,1.253,0.913,0.634,0.32,1.301
"4","Caribbean","April",0.311,0.004,-0.244,0.281,-0.071,-0.135,-0.961,-0.956,0.829,0.609,-0.792,-0.021,0.348,-0.181,0.592,-0.859,-0.245,-0.164,0.035,0.483,0.081,0.637,-0.213,0.545,-0.307,-0.41,-0.231,0.626,0.319,0.323,0.859,0.305,-0.1,0.819,1.017,0.469,0.629,0.716,0.763,0.454,0.342,0.493,0.93,0.271,0.698,0.903,0.812,0.326,0.282,0.957,1.068,0.164,1.033,0.847,1.331,0.977,0.752,1.171,1.287
"5","Caribbean","May",-0.063,-0.55,-0.548,0.108,-0.767,-0.346,-0.097,0.03,0.496,-0.251,0.093,-0.055,0.552,-0.272,0.363,-0.02,-0.585,0.68,0.159,0.772,0.617,-0.518,0.395,0.292,0.211,-0.276,0.45,0.475,0.211,0.808,0.527,-0.413,0.026,0.833,1.274,0.292,1.028,1.017,0.858,0.541,0.029,0.692,1.15,0.42,0.824,0.971,0.671,0.573,0.086,1.372,0.617,0.384,0.472,0.412,0.909,1.154,0.833,0.64,1.226
"6","Caribbean","June",-0.039,-0.112,-0.12,0.002,-0.452,-0.39,-0.322,-0.124,0.364,0.074,-0.012,-0.073,0.307,-0.138,0.201,-0.768,0.193,0.362,0.192,0.693,0.502,0.382,0.568,-0.102,0.545,0.019,0.664,0.791,0.393,0.637,0.61,0.675,0.706,1.049,1.05,0.368,1.225,1.668,0.787,0.895,0.882,0.57,0.655,1.172,0.65,0.853,1.107,0.639,0.425,1.515,0.739,0.97,0.672,0.681,1.123,1.207,1.271,1.103,2.011
"7","Caribbean","July",0.024,0.362,-0.009,-0.077,-0.267,-0.048,0.027,-0.142,0.396,-0.07,-0.198,-0.072,0.281,-0.056,-0.072,-0.252,-0.029,-0.087,0.214,0.53,0.423,0.148,0.638,-0.119,0.244,0.407,0.924,0.622,0.272,0.366,0.575,0.379,0.469,0.433,0.629,0.423,1.119,1.242,0.893,0.894,0.579,0.768,0.661,0.642,0.995,0.828,0.925,0.644,1.322,0.886,0.469,0.685,0.292,1.202,1.41,1.364,1.504,1.072,1.261
"8","Caribbean","August",0.107,-0.034,0.09,-0.001,-0.198,0.233,-0.235,-0.057,0.04,-0.221,-0.333,-0.216,-0.166,-0.111,0.224,-0.295,-0.035,-0.082,0.222,0.291,0.26,0.343,0.306,-0.136,0.131,0.296,1.002,0.253,0.336,0.732,0.243,0.341,0.561,0.391,0.589,0.304,1.105,1.385,0.822,0.752,0.913,0.812,0.571,1.041,1.02,0.568,0.677,0.441,0.982,1.152,0.57,0.421,0.573,0.677,1.329,1.306,1.404,1.14,1.335
"9","Caribbean","September",-0.058,0.027,0.285,-0.117,-0.03,0.359,-0.106,-0.03,0.158,-0.431,-0.104,-0.135,0.062,-0.207,-0.164,-0.035,0.035,0.075,-0.284,0.419,0.432,0.347,0.359,-0.275,-0.017,0.348,0.986,0.149,0.422,0.673,0.456,0.132,0.399,0.604,1.276,0.446,1.306,0.886,0.962,0.351,0.74,0.644,0.889,0.651,1.135,1.023,0.773,0.395,1.183,0.887,0.713,0.813,0.948,0.546,1.625,1.238,1.146,0.847,1.39
"10","Caribbean","October",-0.414,0.226,-0.416,-0.362,0.214,-0.096,0.138,0.095,0.294,0,-0.196,0.091,-0.014,-0.388,-0.056,0.019,0.114,0.197,0.341,0.941,0.474,0.222,0.386,-0.214,0.116,0.534,0.448,0.342,0.412,0.446,0.362,0.507,0.782,0.622,0.863,0.533,0.716,1.235,0.816,0.34,0.925,0.896,1.091,0.549,0.432,1.354,0.195,0.729,1.401,0.766,0.498,0.79,1.026,0.787,1.278,1.054,0.958,1.245,1.568
