"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Cayman Islands","January",NA,0.601,-0.349,0.001,NA,-0.449,0.708,-0.275,0.179,-0.517,-0.426,0.928,0.818,0.383,0.891,-0.457,-0.23,0.21,0.951,0.612,-2.732,0.948,0.655,0.293,-1.251,-0.06,-0.599,0.901,1.701,2.891,1.94,0.755,1.792,1.241,NA,0.546,0.846,NA,1.396,NA,NA,NA,NA,NA,-0.084,0.936,1.786,1.026,0.886,0.426,0.306,0.776,1.686,0.706,1.256,1.506,0.746,0.306,0.756
"2","Cayman Islands","February",NA,1.034,-0.016,0.434,NA,0.649,0.297,-1.149,-0.572,-0.515,0.429,0.766,-0.185,-0.704,0.839,0.103,0.831,-0.65,-0.016,-0.36,0.403,1.365,0.45,0.743,0.596,0.205,0.784,1.534,1.284,2.534,1.055,1.204,0.716,2.417,NA,0.529,1.869,1.469,0.259,NA,NA,NA,NA,NA,0.759,0.959,1.499,2.069,0.119,0.739,1.829,1.299,1.359,1.659,0.939,1.059,1.349,1.539,1.509
"3","Cayman Islands","March",NA,-0.434,0.466,NA,NA,-0.548,-0.729,-1.227,-0.249,0.348,-0.451,-0.529,1.447,-0.776,0.139,-0.158,1.184,0.136,-1.134,0.657,-0.238,0.862,-0.315,0.356,-0.038,-0.472,-0.434,0.216,-0.234,0.866,1.055,0.634,0.044,1.016,0.917,0.117,1.217,0.207,-0.743,NA,NA,NA,NA,NA,0.797,0.577,0.927,0.987,-0.763,-0.303,-0.253,0.787,-0.493,0.687,1.267,0.787,0.787,0.587,0.537
"4","Cayman Islands","April",NA,-0.152,0.048,NA,NA,0.165,-1.121,-1.326,0.67,0.889,-0.775,0.234,1.147,-0.012,0.423,-0.706,0.51,-0.252,1.138,0.29,-0.007,0.881,-0.488,0.617,-0.36,-0.596,-1.852,0.798,0.638,0.648,1.457,0.851,0.661,1.948,0.671,0.501,1.271,0.551,1.431,NA,NA,NA,NA,NA,0.961,0.511,0.161,0.071,0.841,1.351,0.601,0.551,1.191,1.461,1.301,1.181,0.891,0.981,0.941
"5","Cayman Islands","May",NA,-0.397,-0.647,NA,NA,-0.41,-0.27,0.211,0.634,-0.134,0.215,0.04,0.494,-0.189,0.169,-0.013,-0.192,1.303,0.553,1.105,0.221,-0.177,0.429,0.548,-0.416,-0.344,0.393,-0.047,0.503,0.152,0.774,-0.739,0.265,0.893,2.104,0.784,1.514,0.734,0.594,NA,NA,NA,NA,NA,1.004,0.674,0.034,0.604,0.334,1.754,0.364,0.494,0.454,0.854,0.944,1.504,0.674,-0.196,0.804
"6","Cayman Islands","June",NA,-0.259,-0.099,NA,NA,-0.796,-0.483,-0.326,0.308,0.576,0.039,-0.101,-0.021,-0.16,0.322,-0.987,0.276,0.151,0.127,0.476,0.509,0.379,0.377,-0.202,0.385,0.102,0.851,0.351,0.701,0.501,0.741,0.751,0.621,1.101,0.568,0.138,0.888,1.118,0.668,NA,NA,NA,NA,NA,0.928,0.138,0.808,0.688,-0.292,1.548,0.398,0.418,0.158,0.118,-0.222,0.398,0.778,-0.232,0.878
"7","Cayman Islands","July",NA,0.429,-0.121,NA,NA,0.183,0.026,-0.071,0.537,-0.451,-0.115,0.01,-0.017,0.009,-0.574,-0.22,0.228,-0.171,0.158,0.733,0.41,0.276,0.684,-0.059,0.287,0.21,0.779,0.429,0.079,0.858,0.937,0.369,1.065,0.829,1.402,0.662,1.142,0.872,0.462,NA,NA,NA,NA,NA,1.022,0.942,0.752,0.052,1.752,-0.188,0.542,0.552,-0.058,1.422,1.262,0.512,1.362,0.442,0.612
"8","Cayman Islands","August",NA,0.15,0.35,NA,NA,0.388,-0.325,-0.014,0.399,0.033,-0.426,-0.051,-0.308,0.113,-0.02,-0.13,0.377,0.05,0.21,0.61,0.45,0.443,0.434,-0.043,0.1,0.208,1.45,0.85,0.55,0.855,1.068,0.953,1.531,1.1,0.911,-0.099,0.891,1.471,1.021,NA,NA,NA,NA,NA,1.531,0.461,1.221,0.671,1.931,1.701,0.741,0.141,0.771,1.331,2.331,0.771,0.941,1.301,0.891
"9","Cayman Islands","September",-0.202,-0.102,0.198,NA,NA,0.677,-0.154,-0.287,0.46,-0.089,0.079,-0.019,0.014,0.205,-0.093,0.014,0.351,0.348,-0.585,0.304,0.204,0.231,0.301,-0.359,0.159,0.248,1.098,0.448,0.548,1.211,0.648,0.458,0.951,0.998,1.444,0.944,NA,1.464,0.294,NA,NA,NA,NA,NA,1.624,0.664,0.794,1.384,0.674,0.454,1.154,0.444,-0.106,-0.076,0.794,1.604,1.304,0.204,1.404
"10","Cayman Islands","October",-0.549,-0.049,-0.589,NA,NA,-0.138,0.322,-0.189,0.144,0.156,-0.09,0.14,-0.157,-0.316,0.142,0.184,0.38,0.176,-0.256,0.808,0.151,-0.048,0.173,0.027,0.302,0.293,0.211,0.641,0.145,0.566,0.273,0.311,0.985,0.561,0.826,0.646,0.416,0.876,0.276,NA,NA,NA,NA,NA,-0.064,1.006,0.126,-0.004,0.576,-0.014,0.526,0.286,0.776,0.606,1.366,0.776,0.866,0.566,1.116
