"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Central African Republic","January",0.575,-1.514,-0.023,0.043,-0.078,0.636,-0.469,-0.37,-0.688,0.185,-0.707,0.184,0.95,-0.136,-0.509,-0.067,-0.061,-0.003,0.873,0.748,-0.563,0.654,-1.921,-0.954,1.651,0.111,-0.289,0.38,-2.108,0.265,0.036,-0.115,-0.008,1.223,-0.57,-0.233,-2.638,0.973,0.458,0.436,-1.045,-1.481,0.454,1.264,1.151,2.18,0.071,0.542,1.776,1.271,-0.11,0.135,1.552,0.672,-0.453,0.341,2.351,-0.301,1.873
"2","Central African Republic","February",-1.169,0.026,0.039,0.102,-0.384,0.169,-0.39,-0.642,0.007,0.569,-0.293,-0.163,1.702,0.276,0.869,0.279,-0.086,1.081,0.359,1.238,-0.031,-0.011,0.845,0.798,-1.13,1.462,1.058,1.029,-1.367,-0.6,1.039,-0.907,-0.642,-0.386,-0.083,0.483,-0.072,1.134,1.503,0.654,0.019,0.99,1.594,0.497,3.214,1.758,1.04,-0.279,1.356,2.623,0.991,0.76,1.432,0.949,0.125,1.183,1.295,1.725,1.915
"3","Central African Republic","March",0.306,-0.427,-0.442,0.501,-0.457,0.116,-0.276,-0.608,-0.245,-0.022,0.588,0.346,1.086,0.012,0.235,-0.222,0.251,0.33,0.375,0.507,0.512,0.412,1.114,0.576,0.558,0.13,0.094,0.811,-0.067,-1.694,0.486,-0.236,1.044,1.725,0.337,0.036,1.996,1.396,0.55,0.737,1.24,1.155,1.54,1.935,1.817,1.102,1.38,1.3,1.12,1.209,1.267,1.658,1.056,1.174,1.271,2.264,0.956,1.339,1.481
"4","Central African Republic","April",-0.137,-0.245,-0.666,-0.353,-0.39,-0.412,0.72,-0.474,0.286,0.456,-0.103,-0.097,0.421,-0.071,0.233,-0.207,0.813,0.245,0.592,0.59,0.425,0.879,1.933,0.474,-0.281,1.083,0.732,1.107,0.449,1.152,-0.072,-0.589,0.367,0.954,1.029,0.121,0.605,2.545,0.963,1.438,1.21,1.386,1.003,1.463,1.566,1.599,1.175,-0.444,0.547,2.717,1.156,1.63,1.125,0.794,1.476,1.866,1.524,1.44,2.624
"5","Central African Republic","May",0.51,-0.374,-0.418,-0.064,0.109,-0.342,0.156,-0.396,0.45,0.153,0.558,0.238,0.073,-0.638,0.251,-0.244,0.617,0.033,0.078,0.225,-0.035,0.104,1.018,-0.006,-0.141,0.889,1.304,0.285,-0.644,0.448,-1.041,-0.566,0.508,0.691,0.615,-0.452,0.124,1.664,-0.147,0.761,0.842,1.706,1.104,1.331,0.127,-0.116,1.264,0.634,1.567,1.931,1.521,0.861,0.464,0.604,1.576,1.325,1.119,0.276,1.903
"6","Central African Republic","June",0.053,-0.391,0.222,-0.24,0.006,-0.083,-0.227,-0.436,0.374,0.439,0.189,-0.049,0.624,-0.039,0.166,-0.184,0.143,-0.143,0.149,0.647,0.332,0.159,0.935,0.542,0.368,0.694,0.895,0.172,0.832,1.308,0.819,0.124,-0.075,0.555,0.896,0.272,NA,0.817,0.499,0.594,0.436,0.737,0.249,0.54,-0.242,0.933,0.559,0.726,1.409,0.943,0.59,0.954,0.923,0.95,1.336,0.934,1.032,0.861,1.625
"7","Central African Republic","July",-0.383,0.174,0.03,-0.444,0.152,0.42,-0.294,-0.126,0.232,0.206,-0.131,0.718,0.42,-0.439,-0.237,-0.044,0.26,-0.348,0.414,0.211,-0.137,0.615,0.95,0.002,0.014,-0.167,0.998,-0.168,-0.292,0.887,NA,-1.014,0.466,0.374,0.502,0.364,0.491,0.823,0.229,0.387,0.459,0.826,0.653,0.701,0.403,0.964,0.442,0.44,1.306,0.597,1.043,0.505,0.245,1.257,1.932,1.222,0.91,1.126,1.174
"8","Central African Republic","August",-0.308,-0.158,0.223,-0.31,0.051,-0.062,-0.34,0.275,0.209,-0.018,-0.26,0.247,0.235,0.141,-0.588,-0.102,0.144,0.238,0.503,0.512,0.129,-0.071,0.971,0.416,0.253,0.874,0.388,-0.101,0.284,0.525,0.226,-0.149,0.269,0.343,0.568,0.314,NA,0.677,0.248,0.729,0.626,1.031,1.057,0.431,0.561,0.496,0.752,0.815,1.5,1.085,1.047,0.35,0.444,-0.003,1.721,1.134,0.835,1.223,1.016
"9","Central African Republic","September",-0.287,-0.145,0.622,-0.435,0.017,0.028,-0.287,0.045,0.155,-0.279,-0.216,0.344,0.216,-0.286,-0.463,0.367,0.358,0.013,0.429,0.511,-0.24,0.27,0.39,-0.244,-0.17,-0.182,0.281,-0.275,-0.114,0.148,0.557,-0.334,0.262,0.394,0.01,0.166,0.21,0.837,0.121,0.702,0.723,0.741,0.879,1.224,1.244,0.517,0.641,0.977,1.071,0.427,0.052,0.6,0.393,0.224,0.518,1.188,0.406,1.246,1.221
"10","Central African Republic","October",-0.273,0.008,0.234,-0.524,0.128,0.174,-0.333,0.057,-0.101,0.289,-0.041,0.206,0.297,0.062,-0.196,0.015,0.006,0.041,0.374,0.374,0.037,-0.637,0.024,0.267,0.427,0.27,0.256,-0.222,0.453,0.992,-0.319,-0.248,0.401,0.2,-0.34,0.221,0.611,0.42,0.056,0.624,-0.001,0.125,0.765,0.459,0.564,0.858,0.238,1.535,0.519,0.59,0.852,-0.159,0.452,0.344,0.862,1.724,1.361,1.55,0.066
