"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Central America","January",-0.24,-0.712,-0.253,-0.882,0.294,-1.01,-0.596,-0.219,0.866,-0.406,0.62,0.671,-0.471,0.885,-0.02,-0.541,-0.224,-0.013,-0.457,0.82,-0.39,0.928,0.063,-0.266,-0.821,0.308,-0.47,-0.172,0.797,0.846,0.625,-0.264,1.044,0.633,0.803,0.278,0.143,1.257,0.924,1.096,-0.026,0.749,1.008,0.426,1.43,1.2,0.146,0.591,1.438,0.152,0.595,1.349,0.732,0.478,0.757,0.601,1.596,0.471,1.065
"2","Central America","February",-0.111,1.295,-0.073,-0.769,-0.691,-1.007,-0.22,-0.466,0.29,-0.24,0.097,0.14,-0.147,-0.226,0.089,0.284,0.204,-0.685,-0.009,0.623,0.562,0.919,-0.077,0.002,-0.268,1.041,0.095,0.71,0.496,0.327,0.865,0.057,0.64,0.866,1.679,1.236,0.588,0.364,1.496,1.426,1.187,0.328,1.397,-0.105,0.898,1.116,0.88,1.535,1.469,-0.207,0.463,0.93,1.325,2.024,1.087,1.542,2.405,2.152,1.949
"3","Central America","March",0.181,-0.725,0.5,-0.18,-0.75,-0.495,0.462,-1.532,-0.984,-0.544,0.359,0.967,0.394,0.593,0.421,0.338,-0.088,0.151,0.086,0.692,-0.136,0.943,-0.372,0.423,0.584,-0.079,-0.564,0.069,0.046,0.296,0.795,0.375,0.18,0.701,0.72,-0.312,1.082,0.186,0.746,1.039,-0.082,0.609,0.754,1.367,0.672,0.964,1.034,0.401,0.841,-0.082,1.509,1.026,0.774,1.212,0.536,1.731,1.939,1.853,1.163
"4","Central America","April",0.209,-0.029,0.682,0.404,0.237,0.08,0.128,-0.584,0.464,0.214,-0.858,0.842,-0.512,0.048,-0.153,-0.516,-0.693,0.24,0.295,-0.263,0.21,1.062,-0.674,0.414,-0.031,1.027,-0.757,0.23,0.682,0.515,0.864,0.1,0.282,0.35,0.249,0.237,-0.66,0.28,0.734,0.882,0.657,1.34,0.597,0.053,0.761,1.31,0.39,0.798,0.733,0.462,1.735,0.82,0.829,1.113,1.177,1.238,1.329,1.138,0.968
"5","Central America","May",0.564,-0.211,0.269,0.185,-0.096,0.12,0.138,-0.211,0.146,-0.459,-0.199,0.054,0.176,0.242,-0.135,-0.51,-0.277,0.563,-0.273,0.606,0.08,-0.073,0.691,0.392,0.353,0.282,-0.254,0.255,0.769,0.725,0.502,-0.374,-0.009,0.57,0.868,1.296,0.496,1.241,0.718,1.02,0.613,1.164,1.569,0.518,0.563,0.801,0.423,0.724,1.167,0.85,1.22,1.058,0.612,0.262,0.296,1.293,1.06,1.341,0.981
"6","Central America","June",-0.12,-0.227,0.092,-0.652,-0.394,-0.219,-0.178,-0.303,0.365,-0.16,-0.551,-0.274,-0.328,-0.026,-0.16,-0.201,-0.112,0.449,-0.106,1.227,0.028,0.497,0.491,-0.288,-0.123,-0.209,0.231,-0.094,0.515,1.094,0.182,0.679,0.249,0.674,0.439,0.749,0.386,1.734,0.305,-0.022,0.661,0.721,0.535,0.237,0.955,0.684,0.609,0.633,0.761,1.153,1.193,1.07,1.069,0.903,0.766,0.914,1.135,1.127,1.366
"7","Central America","July",-0.407,0.122,0.011,0.036,0.008,0.258,0.104,-0.436,0.649,-0.006,-0.264,0.01,-0.235,-0.622,-0.742,-0.859,0.117,0.307,0.756,1.087,0.135,0.266,0.332,-0.701,-0.231,-0.332,0.075,-0.105,0.453,-0.209,-0.412,0.178,0.024,0.853,0.535,0.548,0.726,0.975,-0.183,0.496,0.601,0.291,0.484,0.28,1.009,0.645,0.419,-0.219,1.563,0.305,0.768,0.379,0.403,0.711,0.888,1.466,0.814,1.236,1.363
"8","Central America","August",-0.165,0.678,0.14,0.102,-0.274,-0.018,-0.201,-0.434,0.461,0.133,-0.834,-0.357,-0.634,-0.158,-0.435,-0.297,0.496,0.033,-0.188,0.297,0.283,0.661,0.217,-0.337,0.133,0.346,0.296,-0.05,0.104,-0.225,0.29,0.027,0.316,0.507,0.53,-0.067,1.028,0.896,0.394,0.139,0.651,0.809,0.565,0.499,0.612,0.458,0.419,0.321,1.115,0.933,1.461,0.819,0.516,0.746,1.66,0.76,1.023,1.057,2.04
"9","Central America","September",-0.217,0.296,0.239,-0.036,0.019,0.057,-0.619,-0.39,0.152,-0.379,-0.281,0.189,0.015,-0.653,-0.861,-0.293,0.824,-0.373,-0.127,0.434,0.174,0.55,0.576,-0.404,-0.064,-0.022,0.512,-0.152,-0.153,0.073,-0.371,0.383,-0.258,0.374,0.564,0.241,1.024,0.785,0.265,0.605,0.475,0.777,0.7,0.193,1.09,0.363,0.549,-0.05,0.868,0.728,1.099,0.672,0.24,0.499,1.452,0.899,0.93,1.069,1.416
"10","Central America","October",-0.098,0.697,0.177,-0.59,-0.405,-0.371,-0.39,0.304,0.148,-0.463,-0.211,0.634,0.064,-0.627,-0.448,-0.788,0.633,-0.07,0.71,-0.01,0.311,0.133,0.464,0.029,0.276,-0.16,0.357,0.271,0.098,0.193,0.421,0.393,0.41,0.717,0.405,0.206,0.236,0.805,0.193,-0.203,0.566,0.859,0.836,0.938,0.355,0.758,0.465,0.327,0.962,0.156,0.545,0.962,0.829,1.116,1.678,1.703,1.185,0.663,1.264
"11","Central America","November",-0.468,0.091,0.016,0.06,1.21,-0.151,0.305,-0.347,-0.11,-0.849,0.136,0.194,0.793,-0.334,-0.056,-1.072,0.605,0.717,-0.547,-0.539,0.462,0.058,0.703,-0.323,0.582,0.727,0.211,0.876,0.811,0.559,-0.417,-0.164,0.318,1.209,1.246,0.392,0.854,1.199,0.444,-0.032,0.819,0.242,1.103,0.066,0.588,0.647,0.799,0.211,0.541,-0.047,0.557,0.912,0.508,0.092,1.804,1.412,1.764,0.419,1.461
