"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Central Asia","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.103,2.731,1.363,1.564,-1.961,2.812,-0.473,3.396,3.074,1.409,6.459,3.439,3.63,1.905,-4.558,5.809,-5.952,1.945,1.002,-0.839,-1.184,3.292,1.166,2.841,3.942,3.415,-0.52,3.936
"2","Central Asia","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.938,1.642,-3.209,4.108,-0.132,1.414,1.329,6.713,4.12,2.424,7.125,1.75,6.122,-2.006,4.402,4.468,0.022,2.951,-1.511,0.003,-4.327,3.457,-3.567,3.916,6.267,1.179,1.838,2.54
"3","Central Asia","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.422,0.22,-0.436,2.119,-2.209,3.255,-0.459,-1.381,2.188,4.831,6.331,-0.799,3.328,4.147,4.817,0.91,7.837,3.83,2.108,0.347,0.642,5.018,2.836,1.189,6.155,1.636,3.378,4.83
"4","Central Asia","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135,-0.585,-0.601,3.48,-2.351,3.342,-0.245,0.38,4.209,1.949,-0.87,-1.708,-0.018,1.342,1.951,2.18,2.437,-0.778,1.042,2.417,5.689,1.953,-0.185,1.17,2.698,0.988,0.659,1.249
"5","Central Asia","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.812,-1.614,0.553,0.428,0.474,0.789,-0.361,0.064,-0.12,2.969,-1.639,-0.207,1.522,1.403,0.756,1.234,2.217,0.14,0.787,1.345,2.147,0.834,2.837,1.583,1.055,1.738,-0.029,1.32
"6","Central Asia","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.872,0.103,1.145,1.277,1.16,1.679,2.2,-0.654,0.725,1.015,-0.745,-1.092,1.194,1.558,2.281,0.682,1.483,0.474,2.458,1.38,2.412,0.961,2.113,2.957,1.104,1.318,0.425,0.938
"7","Central Asia","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.514,-0.088,-0.787,1.143,1.027,0.508,1.9,0.284,0.616,-0.59,0.181,-0.744,-0.209,1.458,-0.571,0.682,1.859,0.122,0.782,1.266,1.812,0.368,-0.641,1.495,0.603,1.581,2.337,2.338
"8","Central Asia","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.443,-0.006,0.588,1.317,-0.255,0.576,2.459,2.52,1.928,0.462,1.164,1.936,0.777,0.262,1.601,1.8,2.121,0.076,2.5,1.223,2.572,0.612,2.721,0.681,2.117,1.808,0.723,1.018
"9","Central Asia","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39,-1.346,-0.941,0.585,0.546,0.752,0.52,0.327,0.34,-0.549,1.769,1.109,1.328,2.141,0.651,1.426,-0.381,0.585,0.919,1.452,0.788,1.513,-0.007,0.521,2.033,1.296,0.493,-0.012
"10","Central Asia","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.039,-0.397,1.532,0.921,0.005,5.16,1.366,3.052,-1.645,-0.097,2.29,2.448,1.137,2.546,2.577,0.8,1.908,1.967,2.215,2.076,2.531,1.543,-0.779,0.504,-1.72,1.001,1.491,2.779
