"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Chad","January",1.138,-1.389,0.677,0.099,1.186,0.645,-1.258,-0.335,-1.076,0.948,-1.045,-0.013,1.319,-0.735,-1.848,0.11,0.104,-0.51,0.548,0.688,-1.577,1.49,-3.518,-1.287,2.404,-0.241,-0.528,0.428,-2,1.486,0.978,-0.682,-1.207,0.899,-1.173,0.635,-1.868,-0.015,0.717,0.994,-1.436,-2.332,0.804,0.937,0.245,3.225,-0.842,-0.868,2.19,1.668,0.119,0.036,1.957,1.109,-0.779,-0.106,3.007,-0.579,1.756
"2","Chad","February",-2.464,-1.129,2.132,-1.097,0.309,-1.203,-0.228,-0.699,0.939,0.071,-0.025,0.048,2.003,0.146,0.747,1.303,-0.643,0.629,0.767,0.63,-0.561,-0.651,0.278,0.212,-2.303,2.093,0.777,0.529,-2.583,-1.305,1.662,-2.576,-0.711,-0.709,-0.596,1.121,-1.449,1.06,2.029,-1.018,-0.611,0.113,2.027,-0.136,4.376,2.539,1.516,-0.976,1.942,3.088,2.56,2.789,2.196,0.549,2.64,0.042,-0.147,3.802,0.771
"3","Chad","March",-1.854,0.676,-0.689,0.864,-0.601,-0.32,-1.261,-0.529,1.64,-0.553,1.028,0.645,0.39,-0.47,0.319,-0.201,-1.371,0.036,0.531,0.389,0.419,0.026,-1.349,0.869,1.079,1.568,0.144,0.985,-1.203,-2.344,1.026,0.458,0.13,1.325,0.79,1.619,0.631,-0.356,0.834,-0.835,0.854,0.787,0.967,0.176,2.069,1.592,0.961,1.856,0.87,0.807,1.323,0.022,2.435,1.657,1.535,3.527,1.139,1.843,2.369
"4","Chad","April",-0.208,-0.196,-0.716,0.388,-0.464,-0.301,0.208,-0.746,0.898,0.3,-0.526,0.142,0.929,0.705,0.376,0.134,-0.386,0.706,0.053,0.777,0.482,0.355,-0.354,1.058,-0.739,1.113,-0.757,1.222,0.075,1.221,0.533,1.113,0.301,1.135,0.816,0.928,0.302,1.682,0.786,1.314,1.581,1.785,1.491,1.31,2.191,1.545,1.197,-0.006,1.232,2.244,1.548,2.149,1.253,1.027,-0.056,1.754,1.455,2.448,2.931
"5","Chad","May",0.328,-0.459,-0.361,0.01,-0.649,-0.541,-0.117,-0.569,0.24,0.525,0.321,0.158,0.194,-0.434,0.667,0.493,0.571,-0.049,0.092,0.539,0.559,0.482,1.342,1.083,0.919,0.639,0.648,0.305,-0.217,1.032,-1.455,0.19,-0.379,1.456,0.192,0.302,-0.053,2.126,0.13,0.904,1.054,1.981,0.575,1.66,0.313,0.523,1.329,0.781,0.869,1.713,1.775,0.616,0.622,0.61,1.486,2.098,1.538,1.461,1.583
"6","Chad","June",0.134,-0.592,0.268,-0.151,-0.444,-1.217,0.259,-1.063,0.624,0.648,0.077,0.105,1.062,0.131,0.486,0.093,0.471,-0.235,-0.118,-0.213,0.477,0.807,0.907,-0.063,0.25,0.541,0.436,-0.114,0.39,1.21,0.961,0.764,0.174,1.025,1.174,0.266,0.413,0.868,1.265,0.565,0.332,0.701,0.202,0.566,-0.174,0.743,0.725,0.844,1.521,1.575,1.398,0.284,0.598,1.677,1.968,0.409,0.8,0.559,0.503
"7","Chad","July",-0.76,0.18,0.087,-0.484,0.219,0.883,0.208,-0.587,0.577,0.266,0.018,1.113,1.061,-0.831,-0.479,0.121,0.64,-0.642,0.109,-0.372,-0.653,1.281,1.123,0.555,-0.414,-0.258,1.599,-0.269,-0.1,-0.055,-0.168,-0.431,0.412,-0.264,1.244,0.686,0.206,0.715,-0.606,-0.038,0.612,0.796,-0.205,0.501,0.366,1.149,0.467,0.513,1.13,0.174,1.434,-0.325,0.832,1.582,1.932,0.553,0.617,0.307,1.104
"8","Chad","August",-0.765,-0.329,0.298,-0.649,-0.038,0.534,-0.251,0.508,0.546,-0.159,-0.272,0.873,0.573,0.263,-0.166,0.544,0.039,0.425,0.563,0.26,1.456,0.259,1.163,1.784,0.883,0.963,1.348,-0.548,0.34,1.013,0.017,-0.412,1.292,-0.583,0.702,0.678,0.792,0.383,-0.648,0.502,0.554,1.107,0.457,0.859,0.587,0.595,-0.095,0.345,1.242,0.373,0.537,-0.254,-0.046,-0.104,1.317,0.843,0.277,0.467,0.671
"9","Chad","September",-0.795,-0.235,0.591,-0.458,0.117,0.353,-0.153,0.431,0.426,-0.389,-0.401,1.035,0.877,-0.165,-0.529,0.351,0.699,0.096,0.68,0.802,0.988,1.059,0.97,0.953,0.436,0.507,1.436,-0.069,0.768,1.14,0.894,-0.513,0.828,-0.451,0.566,0.137,1.599,0.428,-0.344,0.67,0.214,1.449,0.744,0.878,0.808,0.587,0.71,0.688,0.994,0.327,0.34,0.356,0.403,0.576,1.06,1.645,1.209,0.732,1.109
"10","Chad","October",-0.916,0.198,0.629,-0.844,-0.352,0.337,-0.513,0.081,0.866,-0.403,-0.679,0.621,0.548,0.278,-0.387,0.892,-0.58,0.468,0.721,0.669,1.269,0.424,-0.039,0.953,0.559,0.36,0.326,-0.47,0.711,0.781,0.103,-0.346,0.583,0.16,0.062,0.325,1.332,0.885,-0.184,0.063,0.185,0.701,0.946,1.349,0.334,1.154,0.386,0.752,1.385,0.827,0.78,0.52,0.831,0.486,2.766,1.537,1.386,2.632,1.297
