"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Channel Islands","January",0.425,0.934,-5.824,-1.677,0.146,-0.463,0.736,0.88,1.952,0.853,0.71,0.018,-0.057,2.342,2.861,1.162,-0.37,0.078,-3.09,-1.469,1.028,0.856,2.274,0.963,-3.074,0.737,-4.283,2.26,1.422,2.502,-0.06,-0.541,2.786,2.004,1.679,1.443,-2.124,1.124,2.315,0.696,0.793,2.182,0.098,1.874,2.314,-0.065,3.244,2.583,-0.887,-1.767,0.627,2.331,0.884,2.687,1.596,2.298,-0.187,2.95,0.861
"2","Channel Islands","February",2.803,-0.15,-4.411,0.427,-1.945,3.041,1.14,-1.026,-1.719,0.162,0.218,0.922,-0.105,1.354,1.377,0.315,2.026,-0.157,-1.15,1.951,-0.986,1.11,-1.715,-0.179,-1.024,-5.221,-0.437,0.663,1.858,3.866,-2.307,0.786,-0.048,1.003,3.252,-0.782,2.465,1.972,1.241,2.525,1.191,3.071,0.318,0.957,-0.282,-0.697,3.085,1.773,0.059,-0.231,2.524,-0.612,-0.44,2.442,0.052,1.671,2.368,-1.074,2.792
"3","Channel Islands","March",1.528,-2.75,0.032,-1.008,0.057,0.419,0.659,0.287,-0.431,-1.557,-1.535,1.25,-0.183,0.183,-0.854,-0.562,1.463,0.85,-0.629,-0.735,2.16,0.179,0.204,-0.999,-0.973,-0.809,-1.23,0.709,2.249,2.092,1.925,1.124,0.718,2.006,0.277,-0.377,2.335,1.865,1.505,0.955,1.364,2,2.361,0.282,1.078,-0.352,1.264,0.878,0.982,0.088,1.333,2.479,-1.35,1.678,0.992,0.269,3.125,0.249,2.387
"4","Channel Islands","April",2.249,-0.345,-0.158,-0.031,-0.175,1.197,-0.245,-0.068,0.164,-1.165,0.417,0.107,-0.919,0.334,-0.214,-0.287,-0.766,-1.264,-0.468,0.25,0.148,0.355,-0.827,0.709,0.538,-2.368,1.907,0.72,-0.937,0.291,-0.058,0.29,1.438,-0.071,0.607,0.565,1.033,-0.071,1.322,0.061,0.295,1.274,1.837,0.94,1.149,0.762,3.517,0.396,1.307,1.058,3.835,-0.086,-0.31,2.031,2.135,0.256,1.183,2.537,1.467
"5","Channel Islands","May",0.227,-1.259,-0.885,1.362,0.089,-0.049,-0.56,-1.118,0.121,0.658,0.423,-1.106,0.349,-0.47,-0.862,0.918,-0.444,0.33,-1.232,-0.317,-0.17,0.604,-0.847,-1.681,-0.02,-0.412,-0.682,1.01,2.889,2.624,-0.215,2.316,0.904,0.422,1.139,-1.35,1.313,2.395,2.18,1.272,1.336,0.812,0.924,1.106,0.789,0.997,1.364,2.672,1.045,0.091,1.643,1.165,-0.755,0.939,0.835,1.447,2.647,1.848,0.687
"6","Channel Islands","June",0.245,-0.466,-0.124,0.025,-0.452,0.821,-0.281,0.17,-0.201,1.544,-1.192,-2.434,0.626,0.054,0.664,3.283,-1.634,-0.761,-0.503,-0.49,-0.678,1.365,0.727,0.357,-0.675,0.519,-0.959,0.573,1.166,-0.301,-1.415,1.141,1.014,0.613,0.452,1.089,0.255,0.468,0.243,1.085,0.809,0.234,2.46,1.704,2.268,2.041,1.062,0.812,1.396,1.293,0.527,0.301,-0.14,1.527,1.13,1.109,2.751,2.358,1.486
"7","Channel Islands","July",-0.119,-0.516,-0.418,0.473,-1.368,-0.862,0.76,-0.362,0.866,-0.716,1.658,-0.566,-0.248,-0.647,1.172,2.283,0.148,-1.018,0.182,-1.256,-0.291,0.995,3.589,0.919,0.576,-0.222,0.336,-0.95,2.42,1.675,0.65,0.872,-0.415,1.895,2.468,0.744,0.575,-0.394,2.051,-0.017,1.137,0.059,1.819,0.272,1.589,3.618,-0.176,0.59,0.763,1.693,-0.303,-0.14,2.505,1.96,1.383,1.359,1.769,3.053,2.568
"8","Channel Islands","August",-0.006,-0.54,-1.467,0.228,-0.813,-0.521,-0.079,-0.034,0.49,0.122,0.226,-0.708,1.426,-0.142,2.213,2.12,-0.599,-0.854,-0.856,0.391,0.881,0.048,1.495,1.245,-0.81,-1.52,0.464,-0.018,1.389,2.396,1.674,0.723,-0.166,0.922,3.026,0.769,3.04,0.7,1.347,1.253,1.634,0.629,3.524,1.64,0.92,0.558,0.173,0.455,0.95,0.327,0.174,1.453,1.421,0.101,0.921,2.021,0.989,1.696,1.706
"9","Channel Islands","September",1.855,-0.689,-0.579,1.092,-1.861,0.972,-0.355,-0.026,0.584,0.796,0.852,-1.664,0.941,-1.529,-0.177,-0.16,-0.818,0.046,-0.311,0.693,0.8,1.217,0.359,-0.213,0.96,-2.047,1.136,-0.097,1.368,0.378,1.857,-0.365,-0.918,-0.739,-0.259,-0.329,1.234,0.883,1.897,1.234,-0.138,0.797,1.127,1.343,1.439,2.594,-0.043,-0.441,0.679,0.243,1.57,-0.234,0.979,2.127,-0.409,2.599,-0.101,1.19,1.322
"10","Channel Islands","October",0.395,0.114,0.086,-1.654,0.523,0.169,0.559,1.773,1.99,-0.157,0.951,-0.451,-0.931,-3.088,-0.939,0.038,1.237,0.865,0.715,-1.153,-1.147,-0.4,-0.167,0.253,0.185,0.983,-0.2,0.613,1.777,1.538,-0.603,-1.993,-1.889,0.26,2.586,0.838,0.68,0.311,0.36,-0.106,2.726,0.562,-1.015,0.484,2.832,2.777,0.184,-0.561,1.245,0.361,1.702,0.489,2.268,2.349,0.467,-0.119,1.919,0.883,1.177
