"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","China","January",-0.012,-0.468,-0.682,0.337,1.361,1.039,-0.594,-0.147,-0.932,-0.5,0.15,1.43,1.038,0.391,1.037,0.899,-2.068,-0.584,1.541,0.105,0.159,1.948,0.403,-0.884,-0.178,0.918,1.584,1.806,0.946,1.047,1.065,1.253,-0.163,1.311,0.506,0.449,1.296,0.165,2.38,0.19,0.743,2.818,1.356,1.256,0.955,1.423,2.027,-0.28,1.63,1.857,-1.954,-0.72,0.548,2.34,2.61,0.543,2.549,0.654,2.008
"2","China","February",0.353,1.046,0.7,-2.788,0.419,2.224,-0.601,-2.437,-2.498,0.792,-0.236,-1.871,1.783,-0.774,0.768,2.136,-0.721,-0.779,2.095,-0.304,0.845,1.017,-0.588,-1.19,0.429,0.071,2.318,-0.157,0.804,1.45,1.333,0.684,2.856,1.187,1.335,0.531,0.966,3.178,3.468,-0.148,1.456,3.761,2.544,2.723,-0.378,2.151,4.368,-0.705,3.593,1.43,2.311,0.133,1.687,0.575,2.757,1.511,3.123,1.055,1.805
"3","China","March",0.275,-0.505,1.383,0.484,-0.673,0.885,0.208,0.975,0.111,-2.737,-0.459,1.21,0.763,-0.71,0.957,-0.924,0.98,-0.075,-0.381,-0.441,1.379,0.62,-0.079,-0.229,-1.249,0.089,0.096,-1.336,0.494,1.564,0.325,0.002,1.121,-0.611,0.372,0.099,1.898,0.883,0.301,0.87,1.168,2.645,1.074,1.784,0.977,1.312,1.519,3.244,1.498,0.359,-0.634,0.429,2.581,2.098,2.448,2.677,0.232,3.61,2.348
"4","China","April",0.884,-0.633,-0.448,1.207,-0.335,-0.433,-0.246,-0.198,0.053,-0.417,0.389,-0.447,0.965,0.911,0.455,-0.747,0.361,0.842,-0.143,-0.556,1.186,-0.01,-0.188,0.018,0.667,-0.391,0.299,0.108,0.153,-0.484,-0.054,1.093,0.055,1.158,-0.38,-0.637,0.775,2.668,1.472,0.716,0.505,1.187,0.955,2.16,1.545,0.825,1.112,1.596,2.163,-0.869,1.384,1.751,0.558,1.848,1.34,2.201,1.845,2.115,2.517
"5","China","May",-0.135,-0.011,0.706,-0.003,0.294,-0.141,1.129,0.054,0.755,0.313,-0.194,0.434,-0.282,0.489,-0.702,-0.023,-0.331,0.488,-0.106,0.346,0.138,0.386,0.491,0.324,0.502,0.67,-0.172,0.032,0.366,0.039,0.02,0.079,-0.45,0.969,0.48,0.399,0.982,0.798,0.511,1.589,1.122,0.532,0.43,0.691,0.636,0.984,1.877,1.355,1.08,0.878,0.729,1.624,1.479,0.763,1.215,0.839,1.633,1.627,0.743
"6","China","June",0.762,-0.169,0.009,-0.44,-0.027,0.028,-0.028,0.023,-0.607,-0.404,0.074,0.276,-0.141,-0.342,0.265,-0.779,-0.099,0.602,0.251,0.405,0.474,-0.212,-0.461,0.236,-0.093,0.418,-0.28,0.709,-0.166,0.485,0.415,-0.378,0.045,0.712,0.739,0.18,0.411,0.816,0.819,0.996,1.084,1.131,0.51,0.703,1.565,0.983,1.326,0.99,0.932,1.211,1.297,1.072,1.332,0.788,0.77,1.193,0.862,1.432,1.075
"7","China","July",0.57,0.275,0.007,-0.158,-0.224,-0.133,0.124,-0.039,-0.184,-0.091,0.199,-0.171,0.04,0.012,-0.195,-0.923,0.144,0.298,-0.479,0.067,0.629,-0.119,-0.35,-0.381,-0.253,-0.09,-0.109,0.539,-0.297,0.074,0.333,-0.439,-0.429,0.791,0.002,-0.035,0.534,0.596,0.568,1.198,1.09,0.564,0.122,0.295,0.978,0.977,0.604,0.731,0.631,1.455,0.803,0.858,0.871,0.618,0.469,1.223,1.575,1.34,0.641
"8","China","August",0.115,0.055,0.439,0.179,-0.602,0.575,0.515,-0.639,-0.351,0.317,-0.225,-0.085,0.167,-0.395,0.514,-0.799,-0.033,0.228,-0.134,-0.35,0.055,0.193,0.173,-0.033,0.557,-0.185,0.043,0.118,-0.106,0.426,0.217,-0.18,-0.794,0.757,0.061,0.003,0.697,0.444,0.223,0.41,0.421,0.494,0.36,0.154,0.36,1.463,1.183,0.28,0.599,1.085,1.02,0.871,1.416,-0.119,0.532,1.425,0.772,1.347,1.127
"9","China","September",0.243,0.295,0.519,0.033,-0.283,-0.522,-0.49,-0.29,-0.238,-0.182,-0.296,-0.791,0.287,-0.194,0.99,-0.297,0.509,0.182,-0.818,-0.385,-0.135,-0.464,0.865,-0.52,-0.662,-0.216,0.197,0.383,0.232,0.582,0.344,-0.19,0.234,0.076,0.412,0.43,-0.601,1.526,1.17,0.646,0.834,0.243,0.99,0.765,1.679,0.778,1.037,1.086,1.253,1.221,0.461,0.547,0.637,0.617,0.642,1.508,1.578,0.58,1.739
"10","China","October",0.018,-0.072,-0.221,0.194,0.638,0.004,-0.189,-0.736,0.465,-0.138,-0.248,-0.4,-0.535,-0.329,0.818,-0.052,0.821,-0.095,0.788,-0.023,-1.139,1.161,0.497,-0.185,0.471,-0.733,0.262,0.522,0.882,1.03,0.208,-0.649,-0.248,-0.336,0.949,0.378,0.207,1.77,0.668,-0.081,1.326,0.031,0.734,0.394,1.003,2.396,0.749,1.507,1.708,0.724,1.206,0.589,1.236,1.099,1.196,0.675,0.759,0.175,1.295
