"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","China, Macao SAR","January",-0.427,-1.681,-1.925,0.399,1.054,2.458,-1.377,1.183,0.738,-1.129,-1.677,0.438,-0.145,0.285,0.278,0.322,-2.762,0.079,1.484,0.951,1.093,1.951,-1.243,-2.268,-0.296,0.62,2.28,2.433,-0.392,0.282,0.861,-0.133,-1.537,1.388,-0.201,1.24,1.085,0.314,1.749,1.071,1.97,1.484,0.565,0.197,0.216,1.464,0.812,-0.141,-0.348,1.371,-2.872,-1.187,1.18,1.211,1.375,0.667,3.569,1.169,2.822
"2","China, Macao SAR","February",-0.438,0.863,-0.095,-1.999,2.329,2.051,-1.744,-4.911,-2.702,2.162,0.492,-1.166,3.939,-2.052,1.577,1.462,-1.757,-0.227,2.741,-2.491,1.366,-0.333,-1.417,-2.071,-0.454,-1.288,2.895,-0.108,0.566,0.141,1.457,-1.326,1.969,0.689,-1.067,-2.08,-0.403,0.772,2.771,-0.703,1.104,2.714,2.913,1.721,-0.109,2.612,4.365,-2.954,6.141,1.675,0.75,-0.143,3.501,-0.432,2.536,-0.719,1.608,0.568,4.5
"3","China, Macao SAR","March",0.228,-0.638,0.226,-0.098,-0.086,1.746,0.609,-0.749,-1.44,-3.383,-0.076,0.921,2.589,-1.064,0.158,-0.961,1.269,-0.659,-0.255,1.633,1.885,0.325,-1.848,-0.608,-2.384,-0.973,2.866,-2.775,0.024,0.321,1.535,-1.485,0.38,-1.596,-0.975,0.179,1.296,0.527,1.059,0.779,1.765,2.774,0.474,0.225,-1.32,0.085,1.583,1.788,0.53,1.152,-1.243,0.623,2.289,0.261,1.458,-0.778,0.31,2.353,2.292
"4","China, Macao SAR","April",0.029,-1.428,0.716,2.409,-0.509,1.3,-0.147,-1.195,-0.806,-1.203,1.034,-1.069,1.253,-0.097,1.688,-1.311,1.746,-0.167,-0.636,-0.343,2.094,-1.053,0.556,-0.783,-1.556,0.904,-0.03,-1.538,-0.101,-0.694,0.624,-0.052,-0.513,2.249,0.321,-2.411,0.347,2.506,1.879,0.633,-0.056,2.508,1.747,1.121,0.608,1.639,-0.805,0.975,-0.023,-1.466,1.214,1.737,-0.578,1.141,1.027,1.678,0.652,1.061,2.353
"5","China, Macao SAR","May",-0.352,0.393,2.024,-0.062,-0.859,-0.574,1.403,-0.127,0.451,-0.364,-0.602,-0.825,0.667,0.638,0.202,-0.28,1.93,-1.035,-1.354,-1.11,-1.428,-1.028,-0.316,-1.402,0.974,0.135,-0.541,0.99,-0.786,-1.34,0.451,-1.039,-0.031,1.342,-0.357,-0.746,-0.102,0.574,-1.581,0.214,0.693,1.134,1.097,0.175,1.214,-0.406,0.753,-0.453,-0.306,0.105,-0.128,1.611,0.126,0.201,1.145,0.82,0.213,2.486,-0.702
"6","China, Macao SAR","June",0.888,0.041,0.422,-0.411,-0.814,-0.772,0.439,-0.678,-0.748,0.389,0.224,-0.11,-0.166,-0.361,-0.2,-0.324,1.109,0.448,-0.64,0.448,-0.37,-0.435,0.796,0.253,-0.083,0.284,-0.107,1.009,0.186,0.526,0.75,-0.459,0.355,-0.074,0.88,0.877,-0.303,0.339,1.217,0.803,-0.148,0.983,-0.108,1.384,0.222,0.321,1.037,-0.684,0.573,-0.566,1.163,0.833,0.888,1.65,2.018,1.683,1.489,1.075,1.453
"7","China, Macao SAR","July",-0.213,0.462,-0.739,0.351,-0.408,-0.561,0.695,0.443,0.1,0.209,-0.085,0.217,-0.708,-0.222,-0.214,-0.665,0.103,0.324,0.696,0.103,-0.579,0.02,0.826,0.488,-0.18,-0.006,0.215,0.298,0.306,0.467,0.198,-0.547,0.888,-0.592,-0.153,0.404,-0.687,0.39,0.38,0.25,-0.496,0.033,1.285,-0.06,0.804,0.816,1.326,-0.006,0.607,0.824,0.481,0.284,-0.183,1.33,0.558,1.149,0.241,0.781,0.987
"8","China, Macao SAR","August",-0.149,0.842,0.229,-0.241,0.081,0.365,-0.191,0.119,0.167,-0.106,-0.476,-0.722,-0.801,0.307,-0.298,-0.514,0.73,-0.037,-0.258,0.517,0.964,0.179,0.437,-0.052,-0.098,0.808,0.412,-0.364,0.774,1.507,0.547,1.192,0.507,-0.427,-0.792,-0.022,0.166,1.236,-0.194,0.457,0.904,0.207,0.678,0.741,0.302,0.534,0.356,0.326,1.384,0.923,1.565,1.167,0.431,0.577,1.073,0.6,1.274,0.808,1.078
"9","China, Macao SAR","September",-0.278,0.085,1.203,-0.096,-0.663,-0.384,-0.694,0.114,1.153,-0.074,0.145,-0.104,-0.222,0.27,0.39,-0.767,-0.039,0.273,-0.674,-0.39,-0.024,0.302,0.69,-0.265,-0.715,0.438,-0.183,0.172,0.731,0.681,0.736,1.135,0.168,-0.221,0.44,0.167,-1.37,0.513,0.242,0.238,0.803,-0.576,0.55,0.705,1.378,-0.375,0.745,1.615,1.888,0.902,0.752,0.666,0.544,1.567,0.991,0.952,2.227,1.133,1.455
"10","China, Macao SAR","October",0.86,0.003,-0.193,0.921,0.23,0.726,-0.594,-0.411,0.025,-0.493,-1.162,0.368,-0.417,0.027,0.003,-0.216,0.72,-0.914,-0.675,0.809,-0.387,0.846,1.166,0.276,1.013,0.262,1.026,-0.136,0.567,0.537,0.115,-0.345,-0.392,0.008,0.546,1.316,1.227,1.582,1.586,1.205,1.736,0.051,0.604,0.384,1.917,2.45,1.346,1.974,2.051,0.126,0.186,1.362,1.076,1.758,1.279,2.469,1.598,0.526,2.076
"11","China, Macao SAR","November",1.196,-0.896,1.556,-0.504,1.564,1.201,1.244,1.208,-1.234,-0.142,-0.757,0.689,-0.639,-0.548,-1.542,-2.796,-0.888,-0.228,-1.264,1.254,-0.896,0.82,-0.424,0.908,1.117,-0.718,0.371,-1.46,0.528,1.1,-0.024,-0.534,0.176,2.205,-0.342,1.897,1.568,1.946,1.001,-0.474,0.463,0.017,1.228,1.809,2.531,2.526,0.259,0.772,-1.29,0.817,2.602,1.022,0.889,1.428,2.925,0.882,1.215,1.984,2.151
"12","China, Macao SAR","December",0.875,0.046,0.279,-0.539,-0.158,0.743,-2.941,4.092,-0.833,0.504,-0.525,-0.308,-1.321,-0.17,-3.265,-0.292,2.112,0.941,1.272,0.417,-1.255,-1.898,-1.195,-1.262,-0.743,0.331,-0.638,0.253,-0.022,1.567,0.898,1.713,-0.801,1.453,-0.472,0.634,0.729,1.548,-0.847,1.412,-0.019,0.307,0.056,1.514,-0.274,0.961,2.34,0.795,-0.136,0.743,-0.497,0.188,-1.557,-1.466,0.64,2.44,0.81,1.504,2.271
