"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","China, mainland","January",-0.01,-0.462,-0.672,0.336,1.364,1.037,-0.593,-0.146,-0.941,-0.498,0.157,1.432,1.039,0.392,1.04,0.903,-2.075,-0.585,1.541,0.105,0.158,1.955,0.404,-0.882,-0.178,0.923,1.587,1.806,0.946,1.048,1.066,1.256,-0.162,1.311,0.507,0.448,1.301,0.161,2.382,0.186,0.738,2.826,1.36,1.26,0.958,1.422,2.032,-0.285,1.636,1.859,-1.953,-0.723,0.547,2.345,2.617,0.544,2.548,0.654,2.007
"2","China, mainland","February",0.356,1.049,0.709,-2.795,0.415,2.225,-0.6,-2.433,-2.505,0.793,-0.235,-1.876,1.78,-0.772,0.768,2.14,-0.717,-0.781,2.096,-0.302,0.843,1.021,-0.588,-1.19,0.428,0.078,2.324,-0.159,0.807,1.449,1.336,0.689,2.863,1.189,1.345,0.537,0.97,3.186,3.477,-0.148,1.46,3.769,2.547,2.728,-0.381,2.154,4.375,-0.701,3.592,1.429,2.318,0.132,1.685,0.576,2.762,1.517,3.131,1.059,1.803
"3","China, mainland","March",0.276,-0.505,1.389,0.488,-0.673,0.88,0.207,0.981,0.114,-2.74,-0.459,1.217,0.761,-0.709,0.962,-0.924,0.98,-0.074,-0.383,-0.446,1.377,0.619,-0.076,-0.226,-1.25,0.093,0.091,-1.339,0.498,1.568,0.32,-0.001,1.125,-0.61,0.375,0.097,1.901,0.882,0.296,0.871,1.168,2.645,1.077,1.791,0.985,1.315,1.518,3.254,1.502,0.355,-0.63,0.429,2.584,2.103,2.454,2.688,0.236,3.614,2.351
"4","China, mainland","April",0.887,-0.631,-0.451,1.202,-0.334,-0.436,-0.249,-0.194,0.052,-0.412,0.391,-0.445,0.963,0.914,0.452,-0.748,0.356,0.846,-0.144,-0.555,1.186,-0.004,-0.194,0.022,0.674,-0.394,0.302,0.113,0.152,-0.483,-0.055,1.097,0.057,1.155,-0.384,-0.63,0.777,2.668,1.476,0.719,0.505,1.184,0.953,2.167,1.548,0.824,1.119,1.6,2.174,-0.869,1.39,1.753,0.563,1.852,1.341,2.205,1.847,2.114,2.519
"5","China, mainland","May",-0.136,-0.012,0.701,-0.003,0.299,-0.139,1.129,0.055,0.755,0.313,-0.192,0.436,-0.284,0.489,-0.701,-0.024,-0.336,0.493,-0.1,0.35,0.143,0.387,0.491,0.33,0.5,0.673,-0.171,0.029,0.369,0.039,0.017,0.083,-0.452,0.97,0.483,0.406,0.984,0.796,0.517,1.593,1.124,0.529,0.431,0.689,0.635,0.987,1.882,1.36,1.084,0.881,0.734,1.627,1.483,0.767,1.217,0.836,1.634,1.621,0.747
"6","China, mainland","June",0.76,-0.171,0.011,-0.44,-0.024,0.031,-0.029,0.027,-0.604,-0.405,0.07,0.276,-0.141,-0.342,0.267,-0.781,-0.101,0.603,0.254,0.401,0.48,-0.209,-0.465,0.234,-0.091,0.419,-0.28,0.707,-0.169,0.486,0.411,-0.379,0.043,0.712,0.74,0.175,0.415,0.816,0.819,0.997,1.084,1.131,0.512,0.705,1.569,0.985,1.328,0.992,0.933,1.217,1.297,1.075,1.332,0.789,0.765,1.19,0.864,1.435,1.077
"7","China, mainland","July",0.573,0.275,0.01,-0.16,-0.223,-0.133,0.123,-0.038,-0.186,-0.091,0.198,-0.169,0.042,0.013,-0.195,-0.923,0.144,0.297,-0.484,0.065,0.633,-0.118,-0.355,-0.383,-0.252,-0.091,-0.111,0.537,-0.3,0.073,0.331,-0.441,-0.434,0.793,0.002,-0.038,0.538,0.594,0.569,1.201,1.092,0.566,0.116,0.295,0.98,0.979,0.601,0.733,0.631,1.457,0.805,0.858,0.873,0.617,0.473,1.224,1.578,1.342,0.642
"8","China, mainland","August",0.115,0.054,0.439,0.18,-0.604,0.577,0.516,-0.642,-0.352,0.318,-0.226,-0.081,0.167,-0.394,0.517,-0.802,-0.033,0.228,-0.135,-0.353,0.053,0.194,0.173,-0.031,0.559,-0.187,0.039,0.116,-0.107,0.426,0.216,-0.182,-0.8,0.76,0.061,0.003,0.7,0.441,0.223,0.411,0.418,0.495,0.357,0.152,0.36,1.466,1.187,0.278,0.598,1.085,1.021,0.873,1.419,-0.122,0.535,1.429,0.77,1.351,1.128
"9","China, mainland","September",0.243,0.295,0.518,0.03,-0.281,-0.517,-0.489,-0.29,-0.241,-0.185,-0.297,-0.792,0.286,-0.193,0.991,-0.295,0.509,0.182,-0.822,-0.385,-0.134,-0.465,0.864,-0.522,-0.666,-0.216,0.2,0.386,0.232,0.585,0.344,-0.191,0.234,0.079,0.413,0.43,-0.6,1.531,1.174,0.649,0.838,0.244,0.99,0.768,1.681,0.781,1.039,1.087,1.252,1.222,0.461,0.549,0.638,0.612,0.646,1.512,1.576,0.579,1.742
"10","China, mainland","October",0.016,-0.072,-0.22,0.19,0.641,0.004,-0.187,-0.735,0.47,-0.14,-0.246,-0.404,-0.538,-0.333,0.816,-0.052,0.821,-0.094,0.794,-0.025,-1.145,1.163,0.493,-0.186,0.468,-0.737,0.258,0.522,0.886,1.034,0.211,-0.648,-0.248,-0.336,0.949,0.377,0.206,1.772,0.666,-0.088,1.328,0.029,0.735,0.396,1.003,2.399,0.748,1.506,1.712,0.725,1.21,0.591,1.239,1.1,1.197,0.668,0.755,0.177,1.294
