"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","China, Taiwan Province of","January",-0.48,-1.921,-3.351,0.685,0.586,1.527,-0.811,-0.356,1.287,-1.005,-1.71,1.032,0.724,0.169,0.385,-0.268,-0.243,-0.263,1.626,0.194,0.356,0.07,0.158,-1.283,-0.153,-0.507,0.729,1.759,0.913,0.876,0.892,0.527,-0.37,1.18,0.247,0.695,0.066,1.3,1.916,1.356,2.033,0.781,0.255,0.193,0.057,1.566,0.701,1.166,0.098,1.349,-2.087,-0.021,0.914,1.088,0.655,0.369,2.882,0.771,2.274
"2","China, Taiwan Province of","February",-0.484,0.259,-1.654,-0.824,1.293,1.849,-0.916,-3.329,-0.533,0.541,-0.511,-0.677,2.553,-1.298,0.747,1.157,-1.628,-0.367,1.736,-0.802,1.267,0.113,-0.609,-1.295,0.596,-1.778,0.768,0.473,0.022,1.707,0.533,-0.565,0.953,0.687,-1.142,-0.919,0.021,1.162,1.184,-0.056,0.405,1.554,1.666,1.444,0.356,1.402,2.539,-1.682,3.715,1.771,0.628,0.477,2.292,0.342,1.322,0.056,1.05,0.089,2.213
"3","China, Taiwan Province of","March",0.124,-0.537,-0.106,-0.558,-0.661,2.264,0.541,-0.618,-0.568,-2.017,-0.49,-0.598,1.181,-0.845,-0.333,-0.845,0.991,-0.303,0.262,0.742,1.95,0.81,-0.776,-0.952,-1.055,-0.866,1.337,-0.506,-0.473,0.516,1.581,0.739,-0.006,-0.858,-0.429,0.603,1.186,1.058,1.642,0.733,1.039,2.62,0.218,-0.144,-1.156,0.533,1.691,0.54,0.565,1.425,-1.811,0.553,1.747,0.865,0.993,-0.256,-0.829,2.578,1.521
"4","China, Taiwan Province of","April",0.195,-1.093,0.26,2.393,-0.581,0.324,0.439,-1.202,0.323,-1.605,-0.084,-0.979,1.41,0.073,1.199,-0.5,1.617,-0.147,0.055,-0.886,1.274,-1.698,1.342,-0.972,-1.015,0.388,-0.404,-1.075,0.399,-0.87,0.253,0.03,-0.406,1.927,0.739,-2.311,0.389,2.599,0.395,-0.15,0.394,1.891,1.422,0.227,0.875,0.999,-0.647,0.524,-0.608,-0.945,-0.148,1.192,-0.606,0.874,1.216,1.242,1.237,2.407,1.887
"5","China, Taiwan Province of","May",0.09,0.145,2.082,0.041,-0.874,-0.531,1.086,-0.209,0.69,0.205,-0.656,0.001,0.091,0.356,-0.887,0.202,1.018,-0.771,-1.561,-0.702,-1.223,0.239,0.39,-1.17,1.039,-0.113,-0.535,0.744,-0.506,0.022,0.724,-0.833,0.069,0.65,-0.339,-1.338,0.453,1.333,-0.997,0.491,0.546,1.248,0.24,1.231,0.988,0.325,0.647,-0.027,0.015,0.004,-0.475,0.749,0.59,-0.203,0.686,1.634,1.291,3.215,-0.307
"6","China, Taiwan Province of","June",1.405,0.229,-0.473,-0.45,-0.772,-0.868,0.11,-1.115,-1.351,-0.188,1.133,0.359,-0.261,-0.399,-0.209,-0.357,0.471,0.42,-0.63,1.409,-1.018,-1.014,0.442,0.667,-0.492,0.238,-0.345,1.331,0.556,0.335,1.571,-0.168,0.576,0.808,0.565,1.542,-0.72,0.853,0.849,0.74,1.228,1.22,-0.017,0.272,0.623,0.58,0.87,0.539,0.683,-0.393,1.335,0.401,1.33,0.471,2.113,1.95,0.374,0.663,0.473
"7","China, Taiwan Province of","July",-0.141,0.298,-0.686,0.471,-0.39,-0.111,0.259,-0.205,0.381,0.011,0.43,-0.669,-0.407,-0.141,-0.099,-0.975,0.209,0.565,0.723,0.644,-0.375,-0.39,0.966,0.248,-0.425,0.229,0.308,0.996,0.587,0.41,0.888,0.028,0.737,0.252,-0.037,0.634,-0.435,1.098,0.245,0.413,0.481,0.148,1.645,0.389,0.569,0.446,1.444,0.323,0.567,0.836,0.37,0.794,0.408,0.907,-0.579,0.983,0.782,0.739,0.293
"8","China, Taiwan Province of","August",0.13,0.211,0.434,0.034,-0.171,0.003,0.322,0.042,-0.048,0.149,0.088,-1.15,0.064,-0.657,-0.364,-0.043,-0.015,0.162,0.075,0.328,0.474,-0.15,0.176,-0.465,-0.076,0.449,0.963,0.576,0.089,0.45,0.537,0.192,0.636,-0.052,0.045,0.047,0.039,1.295,0.196,0.084,1.081,0.316,1.121,0.671,0.382,0.676,0.177,0.716,0.877,0.972,0.783,0.427,0.52,0.578,-0.306,0.405,1.27,0.37,0.969
"9","China, Taiwan Province of","September",0.358,0.305,0.765,0.894,-0.778,-1.836,-0.801,-0.358,0.462,0.521,-0.03,-0.476,0.682,-0.559,0.749,-0.848,0.402,0.302,0.137,-0.41,-0.481,-0.33,1.154,-0.017,0.299,-0.106,-0.653,-0.348,0.197,-0.097,0.271,0.164,0.127,-0.788,0.151,0.502,-0.821,0.096,0.14,-0.246,-0.231,-0.052,0.935,-0.063,1.178,-0.083,0.594,0.876,1.617,1.051,0.355,-0.023,0.494,1.839,-0.488,0.381,2.047,0.737,1.048
"10","China, Taiwan Province of","October",0.438,-0.006,-0.502,1.185,-0.068,0.007,-0.822,-0.88,-0.954,0.5,-0.806,0.563,0.323,0.665,1.269,0.018,0.753,-0.411,-0.683,0.468,0.53,0.697,1.494,-0.034,1.177,0.17,1.268,0.526,-0.094,0.071,-0.541,-0.967,-0.279,-0.259,0.999,0.683,0.464,1.349,1.068,1.649,0.793,0.678,0.494,-0.251,0.96,1.674,0.945,1.768,0.748,0.358,0.145,0.158,0.324,0.814,1.047,2.409,1.755,-0.406,1.561
