"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Christmas Island","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.517,-0.733,0.218,-0.373,-0.112,0.368,-0.002,0.117,-0.262,NA,NA,0.188,NA,-0.132,0.087,0.477,0.517,0.108,0.087,0.317,0.417,0.527,0.728,0.477,0.127,0.658,0.198,-0.243,0.897,0.697,1.158,0.558,1.447,0.177,-0.023,0.477,0.278,0.678,NA,0.268,0.978,0.627,0.627,2.078,0.627,0.577,NA
"2","Christmas Island","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601,-0.729,-0.279,-0.109,0.181,-0.089,0.381,0.041,-0.019,NA,1.551,-0.119,NA,-0.429,-0.169,1.001,0.001,0.761,0.621,0.451,0.201,0.211,0.051,0.701,NA,1.301,0.221,-0.359,0.301,0.151,1.351,0.451,1.501,0.671,1.391,-0.429,0.071,1.171,NA,0.251,1.471,0.821,1.021,1.521,0.771,0.671,1.471
"3","Christmas Island","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121,-0.269,-0.389,-0.549,-0.009,0.301,NA,0.791,0.651,-0.369,NA,0.201,NA,NA,0.711,0.661,0.111,0.561,0.101,0.811,0.491,0.351,NA,0.781,NA,0.871,0.021,-0.289,0.001,0.901,1.001,0.401,1.651,0.721,0.751,-0.179,0.621,1.991,-0.379,-0.739,1.411,1.041,0.721,1.821,0.821,0.921,0.721
"4","Christmas Island","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477,-0.283,-0.583,0.067,0.317,-0.393,NA,0.397,0.227,NA,NA,-0.023,-0.453,NA,0.427,0.367,-0.123,0.677,-0.233,0.107,-0.113,NA,0.147,0.427,NA,0.687,-0.273,-0.173,0.417,0.717,1.117,1.217,1.137,-0.363,0.727,-0.163,0.037,0.137,0.007,0.037,0.937,0.267,0.837,1.137,0.237,0.837,0.587
"5","Christmas Island","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.027,0.252,-0.368,-0.168,-0.068,-0.317,-0.078,0.772,NA,NA,NA,NA,NA,NA,0.743,0.673,0.222,0.412,0.752,0.533,0.553,NA,NA,0.482,NA,0.952,0.262,-0.018,0.652,1.452,0.853,0.252,1.942,0.433,1.372,0.172,0.072,0.273,0.072,0.213,0.933,1.572,0.623,0.973,0.723,0.973,0.873
"6","Christmas Island","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,0.438,0.087,-0.373,0.038,-0.983,0.157,0.567,NA,NA,NA,NA,NA,-0.543,0.798,NA,-0.233,0.377,0.438,1.317,0.837,-0.673,0.577,0.608,NA,0.978,0.428,0.417,1.077,0.978,1.278,0.477,1.058,0.697,0.697,0.298,0.798,NA,0.398,0.697,0.688,1.398,1.298,0.947,0.848,0.198,0.347
"7","Christmas Island","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825,0.185,0.265,-0.675,-0.115,-0.535,-0.285,0.335,NA,-0.125,NA,0.735,NA,-0.455,0.665,0.445,0.315,0.365,0.355,0.415,0.415,-0.765,NA,0.975,NA,0.555,-0.085,0.565,0.715,0.615,0.515,0.615,1.345,-0.365,0.335,-0.265,0.905,NA,0.075,0.615,0.855,0.585,0.535,1.535,0.335,-0.815,0.235
"8","Christmas Island","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764,-0.146,0.104,-0.026,-0.246,0.044,-0.496,NA,NA,NA,0.734,0.954,NA,-0.826,0.724,0.554,0.954,0.514,0.324,0.114,0.294,NA,NA,0.524,NA,1.604,0.414,0.174,0.984,1.034,0.084,0.184,0.934,-0.296,0.304,0.204,0.694,NA,0.404,0.504,1.074,1.304,0.904,1.754,0.554,-0.796,0.054
"9","Christmas Island","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.41,0.54,-0.07,-0.26,-0.61,-0.39,0.11,NA,NA,NA,1.08,NA,NA,-0.37,0.72,0.72,0.73,0.67,0.15,-0.17,0.41,-0.01,0.34,0.8,NA,1.14,0.47,0.62,0.59,0.09,0.19,0.39,0.11,-0.19,-0.09,0.94,0.01,NA,0.51,0.61,1.09,0.91,1.01,1.11,0.71,-0.94,0.41
"10","Christmas Island","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.74,-0.23,-0.35,-0.42,0.06,-0.26,0.02,0.28,NA,NA,1.24,NA,NA,NA,0.62,0.23,0.59,1.03,0.47,0.19,0.07,NA,0.71,1.14,NA,0.68,0.49,0.23,0,0.3,0.1,0.3,0.82,0.32,0.12,1.07,0.22,NA,0.42,1.22,1.44,0.77,1.57,0.67,0.42,NA,0.87
