"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Cocos (Keeling) Islands","January",0.302,0.312,-0.208,0.322,-0.428,-0.238,0.132,-0.498,0.152,0.002,-0.668,-0.498,0.902,-0.638,-0.658,-0.408,0.162,-0.158,0.262,0.362,-0.738,-0.548,0.532,0.102,0.302,-0.338,-0.218,0.202,0.012,-0.178,0.252,0.292,0.082,0.242,0.412,0.582,0.352,1.122,1.072,0.542,0.252,1.012,0.992,0.732,1.512,0.332,-0.168,0.832,0.332,0.432,0.762,0.732,0.832,0.332,0.732,1.532,0.482,0.282,0.982
"2","Cocos (Keeling) Islands","February",-0.069,-0.129,-0.469,0.361,-0.159,-0.379,0.241,-0.499,0.011,0.311,-0.539,-0.159,0.181,-0.649,-0.439,-0.239,0.111,0.101,1.041,0.181,-0.939,-0.459,0.971,-0.699,-0.459,-0.499,0.061,0.691,0.171,0.701,0.281,-0.319,0.011,0.021,-0.089,0.731,-0.409,1.641,0.541,0.021,-0.619,0.351,0.651,0.651,0.651,0.051,1.181,0.151,0.351,0.901,0.151,0.551,1.151,1.251,1.001,1.201,0.501,0.401,1.151
"3","Cocos (Keeling) Islands","March",-0.174,-0.244,-0.214,0.186,-0.504,-0.454,0.006,-0.454,0.056,0.426,-0.824,-0.054,0.206,-0.204,-0.614,-0.564,-0.074,0.196,0.236,0.876,-0.524,-0.654,1.046,-0.544,-0.164,-0.154,0.676,0.236,0.346,0.366,0.656,0.806,-0.064,-0.284,0.346,0.246,0.276,1.696,0.696,-0.194,-0.234,0.466,0.366,0.166,1.206,0.366,0.266,0.116,0.776,1.276,0.366,0.366,0.466,1.066,0.816,1.166,0.316,0.266,0.766
"4","Cocos (Keeling) Islands","April",-0.639,0.041,-0.019,0.311,0.021,-0.079,0.331,-0.329,0.181,-0.229,-0.299,-0.049,0.061,-0.889,-0.289,0.001,0.411,-0.209,-0.519,0.061,-0.639,-0.459,0.791,-0.019,-0.119,0.031,1.011,0.871,0.261,0.591,0.221,0.971,0.171,0.131,0.251,0.611,0.481,1.771,1.021,0.151,-0.239,1.061,0.751,0.861,0.791,0.061,0.591,0.581,0.801,1.191,0.461,1.061,1.621,1.461,1.161,1.411,0.511,0.611,0.811
"5","Cocos (Keeling) Islands","May",-0.479,0.531,-0.139,-0.069,0.061,-0.199,0.861,-0.259,0.491,-0.069,-0.159,-0.219,-0.369,-0.269,-0.679,-0.109,0.121,-0.989,-0.529,0.191,0.201,-0.199,0.281,0.221,0.311,-0.089,0.321,0.141,0.281,0.421,1.151,0.561,0.361,-0.119,1.261,0.641,0.501,1.281,1.101,-0.079,-0.009,0.891,0.791,0.391,1.151,0.721,0.491,0.231,0.661,0.841,0.391,0.991,0.841,0.791,0.941,0.891,0.841,1.041,1.141
"6","Cocos (Keeling) Islands","June",0.21,0.19,-0.07,0.1,-0.02,0.08,0.54,-0.93,0.54,0.22,-0.66,-0.53,-0.26,0.11,-0.29,0.01,0.15,-0.97,-0.27,-0.49,-0.32,-0.22,0.35,0.68,0.29,-0.46,0.63,0.31,-0.06,0.13,0.82,0.39,-0.04,-0.26,0.15,1.07,1.38,0.7,1.44,0.23,0.72,1.02,1.22,0.52,0.38,0.67,0.82,0.72,0.95,0.72,1.15,0.96,0.7,1.02,0.87,1.17,0.37,1.22,1.02
"7","Cocos (Keeling) Islands","July",0.396,0.106,0.526,-0.004,0.226,-0.324,-0.034,-0.724,1.056,-0.024,0.126,-0.154,-0.384,-0.204,-0.694,-0.104,0.326,-1.084,0.036,-0.824,-0.044,-0.304,0.056,0.296,-0.044,-0.594,0.696,0.286,0.396,0.116,0.586,0.686,0.816,-0.654,0.306,0.646,0.536,0.686,0.986,0.736,0.796,0.396,1.096,0.496,0.516,0.346,0.906,1.026,0.896,0.946,0.396,1.096,0.436,0.596,0.996,1.046,0.396,0.796,0.696
"8","Cocos (Keeling) Islands","August",-0.102,0.338,-0.022,0.008,-0.302,0.368,-0.462,-0.792,0.578,0.278,0.558,-0.562,0.228,NA,0.158,-0.452,-0.072,-0.862,-1.062,-0.112,-0.152,-0.242,0.648,0.198,0.208,-0.802,0.668,0.668,0.448,-0.062,0.498,0.178,0.268,-0.022,0.798,0.428,-0.472,0.998,1.608,0.618,0.418,0.718,0.018,-0.082,0.238,0.518,1.158,0.928,1.108,1.018,0.718,1.018,0.978,0.918,0.518,0.518,0.268,-0.032,-0.232
"9","Cocos (Keeling) Islands","September",0.242,0.002,-0.348,-0.018,0.132,-0.248,-0.278,-0.778,-0.108,-0.388,0.172,-0.338,0.042,0.142,0.042,-0.308,-1.068,-0.698,-0.418,-0.058,0.242,-0.868,0.602,0.202,0.112,-0.628,0.172,0.682,0.432,0.112,0.012,-0.398,0.522,-0.608,0.172,0.892,-0.008,1.052,1.862,1.012,0.012,0.112,-0.188,-0.188,0.212,0.312,0.912,0.802,0.312,1.392,0.512,0.312,0.722,0.962,0.862,0.512,0.512,0.162,0.362
"10","Cocos (Keeling) Islands","October",0.037,-0.383,-0.223,-0.313,0.197,-0.193,-0.013,-0.583,0.347,0.017,-0.243,-0.313,0.517,-0.653,-0.613,-0.163,-0.083,-0.103,-0.313,-0.223,0.237,-0.353,0.577,0.177,-0.103,-0.633,0.327,0.367,0.077,0.657,0.217,-0.613,-0.133,0.177,0.497,0.847,0.237,1.137,1.787,0.227,0.127,0.727,-0.273,0.227,0.027,0.027,0.127,0.057,0.027,0.627,0.527,0.887,1.017,0.677,1.127,0.977,0.027,0.727,0.527
"11","Cocos (Keeling) Islands","November",0.163,-0.307,0.493,-0.227,-0.447,-0.067,-0.047,0.953,0.633,-0.737,-1.207,0.233,-0.947,-0.557,-0.727,-0.357,0.253,-0.147,0.623,-0.297,-0.527,0.143,0.243,0.573,-0.027,0.033,0.333,0.043,0.303,0.523,-0.297,-0.317,0.223,0.763,0.243,0.643,0.543,1.203,0.833,-0.027,0.253,0.903,-0.347,0.253,0.653,0.253,0.053,0.443,0.653,1.133,0.853,0.853,1.153,0.653,1.253,0.703,0.653,0.553,0.553
"12","Cocos (Keeling) Islands","December",0.366,-0.164,0.626,-0.234,0.096,-0.114,-0.424,0.346,0.226,-0.424,-0.574,0.666,-0.574,-0.594,-0.474,-0.084,-0.044,0.476,0.276,-0.254,-0.134,0.736,-0.174,-0.034,0.036,0.016,-0.084,-0.384,0.266,0.616,-0.314,-0.274,0.166,0.246,-0.044,0.126,1.216,1.016,0.376,0.066,0.486,0.836,0.286,0.286,0.286,0.286,0.386,-0.514,0.286,1.126,0.786,0.586,0.586,0.886,1.286,0.286,0.286,-0.014,1.486
