"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Colombia","January",0.289,-0.051,-0.033,0.789,-0.651,0.471,-0.321,-0.176,0.046,0.209,-0.639,-0.729,0.887,-0.528,-0.326,-0.658,0.565,0.405,0.464,0.418,0.526,0.204,1.219,-0.458,-0.217,-0.103,0.249,0.654,-0.5,0.181,0.574,0.445,-0.031,0.193,0.68,-0.064,0.004,1.534,-0.173,-0.235,-0.062,0.82,1.348,0.585,0.655,0.334,1.172,0.237,0.241,1.38,0.493,0.405,1.225,0.883,0.931,2.02,0.345,0.686,1.136
"2","Colombia","February",0.148,0.15,-0.551,0.838,-0.196,0.512,-0.389,-0.334,0.14,-0.172,-0.967,-0.46,0.963,-0.461,-0.267,-0.625,0.454,0.7,0.59,0.532,0.141,0.079,0.929,-0.364,-0.029,-0.325,0.588,0.667,-0.582,-0.128,0.805,0.735,0.163,0.124,0.798,-0.171,-0.136,1.749,-0.648,-0.56,0.136,0.855,1.08,0.709,0.389,0.653,1.254,0.187,0.273,2.133,0.254,-0.363,-0.376,-0.627,-0.119,1.113,-1.176,0.861,1.494
"3","Colombia","March",0.327,-0.454,-0.183,0.653,-0.083,0.062,-0.443,-0.376,0.602,0.063,-0.666,-0.407,0.822,-0.428,-0.18,-0.598,0.307,0.217,-0.075,0.72,0.52,0.247,1.161,0.14,0.335,-0.256,0.683,1.063,-0.548,-0.111,0.395,1.281,-0.077,0.001,0.494,0.191,0.272,1.104,-0.079,-0.433,0.124,0.649,0.853,1.041,1.077,0.253,0.571,0.227,0.182,1.71,0.074,0.406,1.071,0.889,0.992,2.135,0.436,1.084,1.329
"4","Colombia","April",0.171,-0.015,-0.169,-0.285,-0.554,0.393,-0.329,-0.435,0.456,0.142,-0.39,-0.249,0.727,-0.314,0.002,-0.336,0.437,-0.189,0.048,0.839,-0.071,-0.173,0.483,0.17,0.347,0.215,0.645,0.764,0.398,0.323,0.514,1.06,0.202,0.206,0.764,0.315,0.569,1.091,-0.1,0.023,0.765,0.429,0.811,0.721,1.119,0.591,0.658,0.738,0.838,1.176,0.548,0.154,1.067,0.83,0.85,0.411,0.563,0.738,1.497
"5","Colombia","May",0.561,-0.398,-0.238,0.083,-0.442,0.003,-0.065,-0.549,0.775,0.148,-0.448,0.122,0.302,-0.241,-0.229,-0.177,-0.077,-0.016,0.341,0.634,-0.042,-0.042,0.812,0.118,-0.029,0.316,0.467,0.733,-0.063,0.37,0.664,0.816,0.271,0.303,0.526,0.271,0.517,0.906,0.268,0.082,0.368,0.924,0.898,0.49,0.917,0.44,0.57,0.415,1.062,1.351,0.585,0.878,0.933,1.185,1.617,1.49,1.083,0.757,1.392
"6","Colombia","June",-0.072,-0.492,0.131,-0.444,0.003,0.092,-0.437,-0.454,0.569,0.267,-0.079,0.32,0.385,0.087,0.016,-0.32,0.013,-0.021,-0.063,0.632,0.124,0.59,0.749,-0.069,0.059,0.171,0.859,0.16,0.182,0.686,0.866,1.069,0.644,0.556,0.615,0.246,0.746,0.708,0.286,0.301,0.426,0.487,0.562,0.566,0.975,0.651,0.507,0.76,0.962,1.045,0.654,1.09,1.003,0.953,1.165,0.295,0.793,1.144,1.693
"7","Colombia","July",-0.227,-0.14,-0.05,-0.494,0.199,0.059,-0.251,-0.134,0.44,0.158,0.007,0.643,0.208,-0.241,-0.735,0.04,0.28,0.136,0.321,0.359,-0.075,0.326,0.795,-0.369,-0.052,0.03,0.781,-0.139,0.029,0.376,0.232,0.026,0.326,0.244,0.373,0.09,0.875,0.455,0.264,0.252,0.707,0.901,0.483,0.334,0.919,0.592,0.932,0.438,1.159,0.343,0.98,1.053,1,1.532,1.319,1.005,1.175,1.218,1.392
"8","Colombia","August",0.194,-0.095,0.204,-0.385,-0.176,0.177,-0.049,-0.015,0.215,-0.122,-0.426,0.139,-0.111,-0.095,-0.283,0.133,0.209,-0.268,0.259,0.322,0.048,0.654,0.491,-0.275,-0.407,0.397,0.598,-0.12,0.285,0.594,0.084,0.348,0.497,0.141,0.406,0.115,0.965,0.626,0.086,0.354,0.976,0.809,0.713,0.84,0.75,0.915,0.324,0.494,1.329,0.693,1.124,1.059,0.873,1.029,1.89,1.521,1.637,1.261,1.375
"9","Colombia","September",-0.057,0.292,0.181,-0.211,0.082,-0.11,-0.164,-0.101,0.348,-0.365,-0.323,0.297,-0.366,-0.686,-0.394,0.465,0.089,-0.13,0.021,0.438,-0.065,0.518,0.595,-0.559,0.052,0.168,0.609,-0.087,0.15,0.604,0.542,0.257,0.171,0.454,0.753,0.14,0.912,0.69,-0.13,-0.202,0.297,0.851,0.656,0.47,0.74,0.854,0.584,0.64,1.759,0.481,0.602,1.033,0.708,0.733,1.678,0.594,1.278,1.364,1.531
"10","Colombia","October",-0.024,0.013,0.379,-0.21,0.248,0.074,-0.154,-0.134,-0.235,-0.022,-0.379,0.438,0.04,-0.358,-0.431,0.152,0.232,0.102,0.309,0.18,0.166,-0.109,0.179,-0.165,0.015,-0.259,0.534,0.075,0.012,0.273,0.21,0.362,0.29,0.198,0.324,0.279,1.221,0.784,-0.1,0.352,0.944,0.756,0.592,0.855,0.531,1.009,0.236,0.626,1.474,0.662,0.685,1.023,1.114,0.759,1.919,1.092,1.293,1.329,0.877
"11","Colombia","November",-0.485,-0.081,-0.06,-0.157,-0.157,-0.219,-0.169,0.182,0.328,-0.18,-0.345,0.325,-0.229,-0.105,-0.437,0.35,0.299,0.32,0.371,0.179,0.429,0.204,0.426,-0.205,-0.235,0.049,0.749,-0.16,0.571,0.395,0.264,0.153,0.078,0.17,0.283,0.214,0.769,0.274,0.255,0.238,0.692,0.556,0.4,0.617,0.534,0.538,0.757,0.143,1.117,0.11,0.33,0.954,0.488,0.658,1.29,-0.637,1.249,1.535,1.455
"12","Colombia","December",-0.209,0.168,0.502,-0.615,0.116,-0.396,-0.075,0.432,0.524,-0.067,-0.56,0.41,-0.537,-0.266,-0.911,0.099,0.469,0.035,0.181,0.331,0.274,0.284,-0.167,-0.119,-0.193,0.216,0.701,-0.421,0.301,0.134,0.447,0.379,0.438,0.38,0.229,-0.032,1.28,0.343,-0.1,0.23,0.435,0.806,0.487,0.529,0.216,0.744,0.056,0.385,1.505,0.087,0.688,0.99,0.744,1.232,1.925,0.771,1.173,1.056,1.471
