"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Comoros","January",0.735,-0.149,0.004,0.006,0.018,-0.135,0.357,-0.216,0.045,-0.161,-0.159,-0.52,0.38,-0.42,-0.304,NA,0.453,0.312,-0.133,0.128,0.047,0.877,0.453,-0.273,-0.083,-0.513,0.087,0.827,-0.793,-0.223,0.187,0.427,0.547,0.137,0.727,0.247,0.927,0.587,0.357,0.227,1.027,0.697,0.817,0.927,0.927,0.427,0.977,0.877,1.327,1.097,0.497,0.897,1.397,0.997,0.597,1.697,1.097,0.697,1.497
"2","Comoros","February",0.04,-0.06,-0.304,0.532,-0.36,0.371,0.161,0.295,0.075,0.308,-0.309,0.008,0.257,-0.209,0.33,-0.518,0.382,0.318,-0.122,0.186,0.338,-0.31,NA,-0.114,-0.664,0.366,0.546,0.706,0.016,0.356,0.456,0.136,0.516,0.356,0.436,0.146,0.096,1.446,0.626,-0.024,0.376,0.666,0.906,0.746,1.246,0.796,0.746,0.196,0.866,1.466,0.566,0.466,1.466,0.416,1.266,1.366,0.966,1.116,1.416
"3","Comoros","March",0.567,0.139,-0.069,0.309,-0.547,-0.291,0.205,-0.356,0.174,0.521,-0.763,-0.741,0.398,-0.363,-0.307,-0.468,0.032,-0.027,0.156,0.192,0.193,0.658,NA,-0.41,-0.16,0.13,0.76,0.77,-0.2,0.37,0.27,0.03,0.11,0.73,-0.04,0.46,0.25,1.3,0.1,-0.37,0.21,0.65,1.09,0.5,1.1,0.65,0.7,0.49,1.33,1.52,0.46,0.32,1.02,0.87,0.87,2.07,1.42,0.67,1.67
"4","Comoros","April",0.383,0.144,-0.106,0.063,-0.3,-0.153,0.274,-0.596,0.512,-0.124,-0.208,-0.669,0.47,-0.391,-0.086,-0.179,0.121,0.317,-0.02,0.056,0.212,0.101,NA,NA,-0.29,0.36,1.03,0.45,0.04,NA,0.32,0.43,0.2,0.85,0.48,0.79,0.51,1.09,0.16,0.45,0.24,1.23,0.71,0.46,0.71,0.36,0.86,0.28,0.95,1.53,0.58,0.78,0.9,0.88,1.43,1.98,1.08,1.38,2.08
"5","Comoros","May",0.544,-0.256,-0.64,-0.556,-0.526,-0.026,0.518,-0.83,0.403,0.034,-0.358,0.203,0.375,-0.219,0.263,-0.037,0.463,0.195,0.657,0.341,0.007,0.52,NA,-0.513,0.127,0.167,1.137,0.387,0.077,0.107,0.477,-0.043,0.507,0.887,0.677,-0.073,0.127,1.147,0.437,0.727,0.927,1.047,0.907,0.607,1.057,0.357,0.957,0.177,0.677,1.677,0.377,0.777,1.077,1.027,1.877,1.277,1.727,1.527,2.027
"6","Comoros","June",0.418,-0.537,-0.321,-0.665,-0.693,0.163,0.276,-0.319,0.351,0.053,-0.506,0.161,0.388,-0.217,0.238,0.338,0.395,0.304,0.33,0.118,-0.105,0.838,NA,-0.202,0.168,0.258,0.528,0.528,-0.562,0.038,0.238,0.498,0.648,0.638,0.628,0.278,0.358,1.248,0.448,0.698,0.508,0.888,0.688,0.238,0.388,0.638,1.088,0.588,0.708,1.458,1.348,0.908,0.508,1.408,1.408,1.008,1.808,1.608,2.058
"7","Comoros","July",0.705,-0.125,-0.439,-0.576,-0.289,0.414,0.465,-0.521,0.457,0.276,-0.28,0.192,0.247,-0.286,0.149,0.049,0.449,-0.015,0.014,0.259,-0.061,0.669,NA,-0.636,NA,-0.166,0.824,0.824,-0.226,0.304,0.484,0.344,0.374,1.104,0.944,-0.276,0.374,0.884,0.504,0.484,NA,1.014,0.524,0.274,0.854,0.124,0.724,0.374,0.884,0.844,1.044,0.744,0.944,1.444,1.444,0.594,1.844,1.444,1.894
"8","Comoros","August",0.31,0.246,-0.707,-0.607,-0.462,0.024,0.159,-0.327,0.32,0.198,-0.868,0.171,-0.029,-0.406,-0.524,0.276,0.776,0.324,0.456,0.521,0.411,0.766,0.676,-0.664,NA,NA,0.636,0.666,0.006,0.636,0.506,0.286,0.466,0.956,1.066,-0.364,0.426,1.156,0.456,0.926,0.426,1.326,0.086,0.086,0.456,0.536,1.546,0.606,0.906,1.106,1.106,0.776,0.656,1.506,1.106,1.206,1.806,1.406,1.906
"9","Comoros","September",0.022,0.391,-0.792,-0.492,-0.17,0.391,-0.149,-0.51,-0.088,0.109,-0.825,0.475,0.136,-0.625,-0.402,-0.202,0.798,0.385,0.67,0.103,-0.468,0.65,-0.262,-0.862,NA,0.288,0.328,0.548,0.208,0.538,0.188,0.158,-0.222,0.768,0.898,-0.352,0.408,0.758,0.848,0.748,0.058,1.088,0.288,0.848,0.448,0.398,0.698,1.118,0.918,0.518,0.918,0.718,1.018,1.068,1.268,0.518,1.618,1.718,1.918
"10","Comoros","October",0.481,-0.019,-0.335,-0.649,-0.249,-0.01,0.033,-0.484,0.586,-0.192,-0.882,0.418,0.041,-0.198,-0.559,-0.259,0.841,0.786,0.221,0.21,0.458,0.541,0.241,0.282,NA,0.111,0.371,0.741,-0.389,0.091,0.561,0.161,0.321,0.801,0.781,0.331,0.371,0.391,0.231,0.931,0.141,1.001,0.331,1.141,0.481,0.541,0.541,0.961,0.861,0.861,1.161,0.961,1.061,1.661,2.111,1.061,2.061,1.261,2.361
