"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Congo","January",0.057,-0.314,-0.292,0.43,-0.251,0.185,-0.129,-0.333,-0.362,0.111,-0.309,-0.091,0.7,-0.404,-0.287,-0.276,-0.007,0.097,0.444,0.535,-0.615,0.035,-0.06,-0.248,-0.107,-0.209,0.505,0.24,-1.161,NA,-0.12,-0.34,-0.433,0.518,0.546,-0.013,0.023,0.9,0.159,0.358,0.022,0.208,0.524,1.195,0.814,0.664,1.273,0.224,0.553,1.3,0.159,0.259,1.162,0.994,0.523,1.631,1.383,0.886,1.333
"2","Congo","February",-0.641,-0.106,-0.039,0.231,-0.465,-0.194,0.168,-0.17,0.303,0.591,-0.122,-0.05,1.124,-0.155,-0.111,-0.534,0.154,0.675,0.297,0.436,0.01,-0.161,0.776,0.321,-0.535,0.083,0.225,0.642,-0.341,0.312,0.452,-0.18,-0.419,0.415,0.16,-0.096,0.046,1.606,0.558,-0.016,-0.241,0.712,0.937,0.566,1.314,0.804,1.041,0.731,0.234,1.162,0.471,0.062,1.281,0.979,0.594,1.769,0.997,1.168,1.822
"3","Congo","March",-0.056,-0.121,-0.18,0.176,-0.4,0.187,-0.338,-0.45,0.505,0.313,-0.138,-0.186,0.852,-0.164,-0.06,-0.304,0.086,0.341,0.336,0.385,-0.198,-0.177,1.16,-0.074,-0.091,-0.704,0.477,0.239,-0.528,-0.463,-0.124,0.06,-0.291,0.691,0.485,-0.348,0.522,0.975,0.597,0.369,0.344,0.746,0.732,1.143,0.898,0.255,0.809,0.342,0.993,1.599,0.746,0.547,0.604,0.73,0.836,1.573,0.252,1.116,1.338
"4","Congo","April",-0.081,0.067,-0.245,-0.226,-0.433,-0.171,0.29,-0.074,0.205,0.386,-0.218,-0.359,0.271,-0.062,0.144,-0.191,0.337,-0.229,0.371,0.352,0.093,-0.048,0.843,-0.096,-0.554,-0.063,0.159,0.077,-0.096,0.201,-0.023,-0.208,-0.343,0.359,0.475,-0.07,0.163,1.539,0.667,0.323,0.416,0.914,0.623,0.593,0.517,0.547,0.522,0.314,0.533,1.546,0.546,0.271,0.782,0.564,0.885,1.477,1.406,0.937,1.417
"5","Congo","May",0.168,0.159,0.108,0.033,-0.07,0.236,-0.052,-0.367,0.391,0.126,-0.051,0.249,-0.001,-0.105,0.009,-0.244,0.287,-0.172,0.247,0.138,-0.295,-0.505,0.246,-0.131,-0.734,0.224,0.662,0.279,-1.068,-0.5,0.797,-0.583,-0.151,0.259,0.512,-0.528,-0.333,1.17,0.308,0.704,0.591,1.074,0.52,0.425,0.313,0.272,1.024,0.769,0.707,1.457,0.877,0.403,0.664,0.445,1.135,1.045,1.096,0.689,0.984
"6","Congo","June",-0.561,-0.186,0.714,-0.273,0.238,0.43,0.085,-0.2,0.203,-0.049,0.43,-0.301,0.561,0.323,0.201,-0.402,-0.061,-0.296,0.366,0.076,0.099,-0.56,-0.081,1.366,-0.212,0.264,1.087,0.289,-0.019,0.215,0.955,-0.439,0.253,0.279,1.035,0.471,NA,1.202,0.961,0.659,0.83,0.648,0.642,0.085,0.042,1.664,0.633,0.53,0.763,1.045,0.755,0.727,1.02,1.065,0.794,1.237,1.163,1.631,2.03
"7","Congo","July",-0.204,0.119,0.453,-0.31,-0.036,0.45,-0.543,0.107,0.005,-0.018,0.112,0.494,0.755,0.044,0.034,-0.345,0.262,-0.018,0.301,0.14,0.049,0.056,0.144,0.72,0.348,0.291,1.214,0.355,-0.139,0.409,NA,-0.588,0.706,0.37,1.082,0.579,NA,1.454,1.213,0.342,0.765,1.109,1.247,0.958,0.708,1.183,1.292,0.897,0.82,1.303,0.745,1.012,0.765,1.039,1.843,1.425,1.373,1.725,1.635
"8","Congo","August",-0.511,-0.065,0.32,-0.457,-0.074,0.366,-0.384,0.34,0.157,0.22,-0.131,0.168,0.26,0.157,-0.332,-0.346,0.526,0.293,0.435,0.099,-0.335,-0.126,0.141,0.87,0.557,0.451,0.529,0.585,0.516,0.242,0.125,-0.436,0.572,0.462,0.873,0.506,NA,1.147,0.83,0.284,0.429,0.788,1.388,0.988,1.001,0.825,0.91,1.121,0.808,1.048,0.545,0.93,0.737,0.629,1.465,1.58,1.163,1.551,1.554
"9","Congo","September",-0.218,-0.089,0.521,-0.492,-0.124,-0.209,-0.469,-0.212,0.079,-0.018,-0.177,0.234,0.321,-0.202,-0.156,0.286,0.538,0.159,0.447,0.507,-0.298,-0.398,-0.106,-0.336,-0.171,0.457,0.084,0.009,-0.649,-0.599,-0.701,-0.436,-0.041,0.283,0.452,0.315,1.467,0.657,0.349,0.257,0.472,0.5,0.911,0.855,0.998,0.595,0.535,0.988,0.693,1.029,0.33,0.523,0.603,0.218,0.832,1.397,1.28,1.232,1.576
"10","Congo","October",-0.242,0.107,0.163,-0.549,-0.068,0.014,-0.064,-0.225,-0.021,0.129,-0.119,0.011,0.361,-0.015,-0.189,-0.11,0.349,0.211,0.489,0.11,-0.289,-0.979,0.004,-0.045,-0.344,-0.22,-0.055,-0.372,-0.147,-0.205,-0.868,-0.334,0.126,-0.124,0.179,-0.277,NA,0.602,0.17,-0.039,-0.117,0.315,0.76,0.349,0.319,0.672,0.397,0.611,0.169,0.868,0.082,0.569,0.584,0.724,1.145,1.418,1.014,1.015,0.74
