"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Cook Islands","January",0.134,-0.05,-0.115,0.244,-0.68,-0.014,0.268,-0.081,0.024,0.477,0.008,0.132,0.336,-0.127,-0.228,-0.714,0.237,0.015,-0.164,0.384,0.131,0.56,0.142,0.332,0.145,0.484,0.441,0.528,-0.144,0.524,0.637,0.255,0.53,-0.123,-0.41,0.379,0.377,NA,0.297,0.897,1.097,-0.503,1.097,0.347,0.727,0.727,-0.303,-0.293,0.957,0.637,0.447,0.247,-0.143,0.837,NA,NA,1.557,0.587,0.747
"2","Cook Islands","February",-0.07,-0.188,0.144,0.198,-0.443,-0.197,-0.434,-0.401,-0.063,0.384,-0.615,0.41,0.941,-0.419,-0.056,-0.662,0.848,0.208,0.332,0.424,0.059,-0.008,1.149,0.822,0.225,0.441,0.636,0.309,0.491,-0.091,0.802,0.521,0.261,1.369,0.781,0.762,1.597,NA,0.778,0.828,0.178,1.335,0.078,0.478,0.238,0.738,0.688,0.158,1.368,-0.062,-0.3,0.238,-0.55,1.028,NA,NA,0.528,-0.092,0.258
"3","Cook Islands","March",-0.534,-0.001,-0.004,0.059,-0.72,-0.107,-0.357,-0.66,0.442,-0.173,-0.111,-0.256,1.092,-0.332,-0.538,-0.122,0.999,0.279,0.148,0.685,-0.21,0.751,0.968,0.281,0.476,0.374,0.628,0.789,0.41,0.108,1.035,0.35,0.314,1.21,0.788,1.29,NA,NA,1.04,0.99,1.19,1.05,0.353,0.976,0.34,1.4,0.13,0.61,0.51,0.744,0.46,-0.608,0.88,0.67,NA,NA,1.8,0.64,0.65
"4","Cook Islands","April",0.025,-0.13,-0.454,0.007,-0.438,-0.095,-0.576,-0.732,0.342,0.171,0.299,0.391,0.863,-0.389,-0.908,-0.509,0.673,0.139,0.237,0.104,-0.076,0.443,0.21,0.547,-0.178,0.302,0.296,0.368,0.617,0.095,0.877,0.112,0.59,0.214,-0.378,0.271,1.208,NA,1.411,0.811,2.111,0.411,-0.009,1.911,0.211,0.771,0.451,0.041,1.161,0.731,0.481,0.821,0.571,-0.069,NA,NA,1.811,0.061,0.041
"5","Cook Islands","May",0.232,-0.206,-0.075,-0.207,0.092,0.189,-0.544,-0.262,-0.537,0.453,-0.183,0.495,0.252,-0.108,-0.585,-0.039,0.112,0.403,0.738,0.2,-0.213,0.315,0.929,0.335,0.471,0.34,0.275,0.959,0.403,0.85,0.11,0.337,-0.002,0.371,0.775,1.378,0.193,NA,0.493,0.543,-0.067,-0.257,0.593,1.343,-0.727,0.293,1.033,0.563,0.786,1.263,0.118,0.993,1.773,0.923,NA,NA,0.943,1.363,0.783
"6","Cook Islands","June",-0.324,-0.317,-0.383,-0.18,-0.396,-0.449,0.055,-0.597,0.202,0.732,-0.027,0.087,0.223,-0.248,-0.291,-0.149,-0.085,0.514,0.562,0.188,0.491,0.211,-0.106,-0.088,0.023,0.639,0.074,0.469,0.537,0.804,0.425,0.031,0.15,0.272,1.171,1.608,-0.318,NA,0.72,-0.59,1.17,0.17,0.15,0.49,-0.39,0.63,1.09,0.45,-0.16,0.8,0.806,-0.06,2.03,0.2,NA,0.56,0.46,1.1,1.18
"7","Cook Islands","July",0.079,0.033,-0.314,-0.16,-0.426,-0.077,-0.457,0.002,0.052,-0.051,0.417,-0.136,0.385,0.155,0.514,-0.625,-0.195,-0.08,-0.114,0.502,0.566,0.216,-0.032,-0.327,0.133,0.603,-0.426,0.263,0.271,0.665,0.521,1.421,-0.645,0.778,1.374,-1.425,NA,NA,1.495,0.145,0.685,0.595,1.395,-0.005,0.355,1.025,0.995,-0.225,0.765,2.075,1.665,0.127,1.045,NA,NA,0.845,1.475,0.465,0.605
"8","Cook Islands","August",0.261,-0.409,-0.314,0.245,-0.52,0.238,-0.53,-0.205,-0.19,0.089,-0.307,0.093,0.205,-0.052,-0.013,-0.312,-0.169,0.484,-0.108,0.455,0.228,0.066,-0.478,-0.295,0.437,0.086,-0.136,0.448,0.464,0.617,0.441,1.142,0.645,-0.283,1.383,0.472,-0.287,0.362,1.062,0.162,0.779,-0.298,0.602,0.742,-0.138,0.562,1.022,0.952,-0.288,0.493,1.232,-0.068,0.252,NA,NA,1.392,0.372,0.242,1.282
"9","Cook Islands","September",0.283,0.139,-0.267,0.238,-0.863,-0.36,-0.334,-0.094,-0.41,0.35,0.105,-0.382,0.656,0.013,0.45,-0.061,0.034,0.131,0.52,0.641,0.432,-0.649,0.451,-0.074,0.02,0.587,-0.253,0.764,0.548,0.708,-0.111,1.613,0.727,-0.616,0.658,-0.103,0.334,0.217,0.617,1.067,-0.553,0.393,1.267,-0.043,1.127,0.177,0.577,0.987,-0.143,2.057,1.741,0.595,0.967,NA,NA,2.387,0.487,0.767,0.077
"10","Cook Islands","October",0.049,-0.325,-0.185,0.185,-0.213,0.143,-0.542,-0.193,0.001,0.554,0.096,-0.305,0.163,-0.165,-0.168,0.396,0.156,0.075,0.397,0.491,0.236,0.043,0.3,-0.065,0.295,0.547,-0.158,0.551,0.495,0.804,0.03,1.007,-0.436,-0.119,0.386,0.33,0.918,1.094,0.444,0.333,-0.033,-0.216,-0.016,0.344,1.774,0.154,1.254,1.444,-0.436,0.994,1.054,0.724,0.794,NA,NA,1.104,0.664,-0.066,-0.326
"11","Cook Islands","November",-0.225,-0.288,0.021,-0.029,-0.026,0.074,-0.461,-0.42,0.042,0.693,-0.017,-0.472,0.3,0.114,0.055,0.417,0.144,-0.071,-0.312,0.439,0.586,-0.222,0.258,0.101,0.207,0.344,0.684,0.325,-0.026,0.005,1.405,-0.551,1.054,0.041,0.684,0.578,0.996,1.748,0.798,0.798,0.248,1.548,-0.152,-0.302,0.838,-0.042,0.848,1.958,-1.112,0.998,1.268,2.108,0.538,NA,NA,1.418,-0.142,NA,-0.302
"12","Cook Islands","December",-0.125,-0.363,0.136,-0.921,0.013,-0.575,-0.718,0.386,-0.005,0.002,0.193,0.639,0.08,-0.381,0.075,0.161,0.185,0.101,-0.405,0.351,0.137,0.061,0.653,0.399,0.588,0.342,0.97,0.13,-0.376,0.108,0.088,0.288,1.33,0.293,0.202,-0.337,NA,1.883,1.083,1.333,2.583,0.954,0.233,0.573,0.883,-0.107,-0.597,0.933,-0.167,0.517,1.023,0.484,0.903,NA,NA,1.703,0.343,1.173,-0.207
