"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Costa Rica","January",NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.15,-0.75,-0.369,0.462,-0.172,0.173,-0.2,0.175,-0.379,0.053,0.301,-0.274,0.163,1.099,-0.116,0.023,-0.044,0.284,0.678,0.467,0.753,0.528,0.439,-0.231,0.06,0.286,-0.317,-0.098,1.413,-0.031,-0.42,-0.059,0.676,1.412,0.998,0.557,0.394,1.831,0.916,0.802,1.488,0.795,0.35,1.814,0.358,0.532,1.656,1.331,1.125,1.349
"2","Costa Rica","February",NA,NA,NA,NA,NA,NA,NA,NA,0.21,-0.39,-0.49,-0.14,0.265,-0.748,-0.236,-0.586,0.667,0.179,0.404,0.238,0.248,0.844,1.255,0.166,-0.054,-0.342,0.587,0.742,-0.04,-0.034,0.378,0.374,-0.031,0.17,0.306,0.048,-0.043,1.719,-0.281,-0.395,0.116,0.526,1.297,0.447,0.282,0.395,1.155,0.316,0.677,2.088,1.02,-0.075,0.229,0.304,0.888,0.592,0.626,1.1,NA
"3","Costa Rica","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.422,-0.828,-0.44,0.851,-0.773,0.156,-0.235,0.685,0.145,-0.167,0.538,0.132,0.177,0.858,0.187,-0.389,-0.6,0.455,-0.152,-1.108,0.221,0.513,0.624,-0.265,0.17,0.201,-0.475,-0.187,1.348,-0.571,-0.465,-0.304,0.461,0.522,0.808,0.739,0.325,0.59,-0.399,-0.761,1.543,0.23,0.711,1.066,0.81,-0.296,2.088,0.352,0.936,1.111
"4","Costa Rica","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.391,-0.448,-0.251,0.532,-0.37,0.212,-0.304,0.765,-0.102,-0.615,0.469,0.012,0.289,1.149,-0.24,-0.215,0.089,0.236,0.255,0.038,0.656,-0.036,NA,0.246,0.457,-0.43,-0.012,0.099,1.585,-0.385,0.051,0.487,0.372,0.909,1.094,0.9,-0.01,0.201,0.038,1.149,1.36,0.041,-0.909,1.105,1.819,1.493,0.717,1.471,0.826,1.78
"5","Costa Rica","May",NA,NA,NA,NA,NA,NA,NA,-1.141,NA,-0.641,-0.353,-0.164,0.241,-0.582,0.042,0.062,0.3,0.261,0.022,0.322,-0.112,NA,1.245,0.002,-0.079,0.739,-0.117,0.214,0.079,0.743,-0.134,1.137,0.148,0.459,0.127,-0.464,0.851,1.887,-0.507,-0.196,0.884,-0.026,0.561,0.697,0.733,0.693,0.38,0.111,0.651,1.107,1.019,-0.382,0.972,0.116,NA,0.565,1.039,0.453,1.247
"6","Costa Rica","June",NA,NA,NA,NA,NA,NA,NA,-0.613,0.387,-0.113,-0.291,0.223,-0.319,-0.171,0.21,-0.026,-0.184,-0.299,0.053,0.794,-0.065,0.767,1.185,0.423,0.281,-0.135,1.421,0.27,0.113,1.27,0.64,1.088,0.898,0.449,NA,0.051,0.402,1.412,-0.007,0.079,1.44,0.825,0.611,1.697,0.628,0.843,1.005,0.765,1.151,0.962,1.219,1.457,1.381,0.895,2.59,1.474,0.408,1.642,2.136
"7","Costa Rica","July",NA,NA,NA,NA,NA,NA,NA,-0.263,0.037,-1.063,-0.419,1.009,-0.393,-0.398,-0.869,0.681,0.887,-0.678,0.104,0.12,0.067,0.566,0.984,-0.658,-0.512,-0.083,0.194,-0.385,-0.192,0.197,0.978,-0.267,0.899,0.665,0.035,-0.059,1.577,0.208,-0.186,0.03,0.565,0.625,0.812,0.443,0.754,0.444,0.655,0.066,1.327,0.083,0.495,0.436,1.24,1.074,0.588,1.682,0.247,1.291,1.795
"8","Costa Rica","August",NA,NA,NA,NA,NA,NA,NA,-0.203,0.297,-0.403,-0.725,0.189,-0.366,0.261,-0.716,0.372,0.491,0.322,0.078,0.223,-0.059,1.527,1.071,-0.01,-0.374,0.477,0.576,-0.467,1.225,0.457,0.887,-0.502,1.009,0.284,-0.653,0.171,1.962,0.496,-0.327,0.564,1.3,0.537,0.847,0.908,0.743,0.953,0.415,0.276,1.412,0.473,0.78,-0.262,-0.158,1.587,1.351,0.575,0.289,1.113,0.497
"9","Costa Rica","September",NA,NA,NA,NA,NA,NA,NA,0.287,-0.213,-0.313,-0.849,0.479,-0.523,-0.76,-0.484,0.527,0.107,0.016,-0.108,1.513,0.557,0.543,0.401,-0.361,-0.348,0.467,0.747,-0.65,-0.556,0.904,1.101,0.212,0.223,0.568,0.201,-0.035,0.951,0.132,-0.833,-0.216,0.664,0.95,0.736,NA,0.932,1.093,0.654,-0.011,1.4,0.181,1.019,1.372,-0.194,-0.1,0.884,1.729,0.973,1.177,1.371
"10","Costa Rica","October",NA,NA,NA,NA,NA,NA,NA,-0.246,-0.846,-0.346,-0.486,0.375,-0.347,-0.409,-0.269,0.456,-0.188,0.116,0.207,0.697,-0.012,0.325,0.13,0.148,-0.352,0.811,1.024,-0.407,0.357,-0.245,0.717,-0.019,0.939,0.273,-0.622,-0.323,1.44,0.197,-0.392,0.764,1.255,0.991,0.876,0.638,-0.097,0.97,0.15,0.062,1.367,1.06,-0.155,1.247,0.094,0.141,0.95,0.276,1.145,0.804,0.677
"11","Costa Rica","November",NA,NA,NA,NA,NA,NA,NA,0.093,0.193,-1.207,-0.426,0.279,0.071,-0.146,-0.654,0.144,-0.048,0.54,0.554,-0.14,0.126,0.79,0.261,-0.274,-0.268,0.161,0.684,0.111,0.292,0.587,0.18,-0.41,0.687,-0.243,0.266,-0.846,0.415,-0.029,-0.674,0.242,0.548,0.939,0.625,0.438,-0.079,0.132,-0.058,0.304,0.84,-0.225,0.203,-0.113,0.581,0.885,0.329,-0.747,0.737,NA,1.376
"12","Costa Rica","December",NA,NA,NA,NA,NA,NA,NA,-0.353,-0.153,-0.653,-0.05,0.854,-0.904,-0.183,-0.613,0.561,0.444,-0.087,0.005,-0.005,0.921,0.885,0.096,-0.179,0.039,0.727,0.319,-0.348,-0.192,0.177,0.344,0.049,NA,NA,0.344,0.432,0.968,-0.426,-0.69,0.07,0.906,1.092,0.453,0.825,0.375,1.135,0.496,0.432,1.368,-0.65,-0.389,1.165,0.389,0.194,1.458,1.002,1.126,0.89,1.81
