"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Croatia","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.146,1.238,3.202,0.309,0.881,1.282,2.958,1.517,-1.166,3.184,0.356,0.402,-0.415,0.564,-1.057,4.979,2.931,0.186,-0.197,1.421,1.158,2.142,4.737,2.571,1.946,-2.811,4.293,0.336
"2","Croatia","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.012,-1.261,0.401,3.472,-2.146,1.991,3.589,-0.942,1.632,1.992,3.868,-3.581,0.724,-3.033,-0.505,3.916,2.445,0.152,0.307,0.331,-3.952,0.099,3.892,0.578,4.372,2.953,-1.133,2.752
"3","Croatia","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836,-0.722,3.676,-0.329,-2.194,1.257,-0.583,1.784,1.115,4.039,3.118,0.912,-0.052,-0.711,-0.726,2.689,1.382,0.939,0.695,0.952,3.299,-0.231,3.466,1.306,1.639,3.89,-0.169,3.254
"4","Croatia","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678,0.789,0.459,0.214,0.569,-2.735,1.362,1.399,3.103,-0.089,0.496,-0.045,1.117,0.595,1.622,3.189,1.213,3.065,1.349,2.637,1.349,2.324,2.189,0.831,2.851,1.102,4.929,1.822
"5","Croatia","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.158,2.453,1.204,0.128,1.55,1.335,0.618,1.707,2.693,2.485,2.401,3.886,-0.773,1.637,0.959,2.646,1.977,3.043,0.843,1.435,1.076,0.962,0.274,2.143,0.55,1.896,3.726,-1.497
"6","Croatia","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,1.117,0.704,-0.624,1.298,1.201,1.871,1.183,2.267,-0.136,2.354,4.89,0.677,0.987,0.997,2.847,2.141,0.595,1.266,1.833,3.236,0.936,1.143,1.715,1.814,3.377,2.219,4.315
"7","Croatia","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.729,0.303,2.646,2.369,-0.354,0.111,1.743,1.025,0.396,1.633,1.791,2.528,1.257,1.331,2.79,2.69,1.615,1.898,2.511,1.193,3.606,2.377,0.579,4.243,2.602,2.782,2.083,2.386
"8","Croatia","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.067,1.943,2.895,-0.153,0.456,0.403,2.218,1.429,2.86,2.938,0.825,4.714,1.319,-0.481,-0.557,1.801,2.1,2.697,1.529,2.903,3.655,2.806,0.726,3.263,1.114,3.827,3.436,3.474
"9","Croatia","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909,-0.017,2.398,-1.167,-2.888,0.662,-0.223,2.09,0.556,-1.507,-0.724,-0.036,0.297,0.941,1.548,-1.28,-0.522,2.116,-0.416,3.861,2.058,0.36,0.236,1.59,1.913,-0.336,2.137,1.643
"10","Croatia","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349,1.713,-0.335,1.558,0.175,-1.299,1.031,1.209,2.365,3.258,0.784,-1.195,2.751,0.795,2.528,-0.444,1.833,0.153,-1.133,-0.031,1.747,2.2,2.277,0.718,-0.129,1.213,2.831,3.008
