"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Cuba","January",-0.021,0.705,-0.023,0.224,-0.516,-0.317,0.526,-0.242,0.019,-0.834,0.023,1.554,0.998,1.414,1.217,-0.572,-0.553,-0.36,0.523,0.503,-2.291,1.002,0.774,0.856,-0.898,0.081,0.105,0.89,1.485,2.236,2.318,0.91,1.712,1.269,1.004,0.726,0.87,1.746,0.947,0.702,-0.986,0.789,1.341,1.033,0.144,0.976,1.883,0.929,1.012,-0.377,0.588,0.676,1.68,1.626,1.257,1.076,1.452,0.746,1.524
"2","Cuba","February",1.293,0.622,-0.062,0.273,1.018,-0.058,0.026,-1.397,-0.812,-1.319,0.791,0.699,-0.629,0.052,1.826,-0.108,0.224,-1.499,-0.128,-0.597,0.212,1.673,0.159,0.948,0.52,0.661,0.956,0.853,0.895,1.826,0.836,1.161,0.304,2.211,1.006,0.502,1.485,0.975,0.353,1.067,1.711,1.139,1.548,1.338,-0.199,0.852,1.514,1.048,0.54,-0.109,1.152,1.544,1.531,1.892,0.289,0.86,2.132,2.156,2.442
"3","Cuba","March",0.709,-0.363,0.638,1.196,0.378,-0.9,-0.58,-1.485,-0.507,-0.394,-0.405,-0.093,1.104,0.363,0.75,0.251,1.084,-0.764,-0.845,0.544,-0.781,1.14,-0.676,0.105,0.151,-0.593,-0.008,-0.002,-0.018,0.57,1.021,0.467,-0.24,0.748,0.122,0.077,0.849,0.592,0.166,0.598,0.662,0.956,1.672,0.81,0.534,0.578,0.89,0.622,-0.929,-1.307,0.139,0.552,-0.714,0.627,1.113,0.475,0.303,0.093,1.191
"4","Cuba","April",0.31,-0.009,-0.182,0.604,0.119,-0.274,-0.996,-0.88,0.741,0.755,-0.949,0.062,0.344,0.199,0.95,-1.019,-0.407,-0.42,0.148,0.251,-0.053,0.901,-0.874,0.4,-0.51,-0.809,-1.414,0.536,0.432,0.282,1.266,0.008,-0.434,0.976,1.111,0.426,0.513,0.438,0.554,0.074,0.402,0.627,0.706,0.231,-0.291,0.732,0.528,0.323,0.318,0.28,1.183,-0.067,0.925,0.757,1.393,1.152,0.981,1.342,1.345
"5","Cuba","May",-0.285,-0.506,-0.552,0.102,-0.671,-0.421,-0.011,-0.003,0.421,-0.376,0.395,0.06,0.547,-0.115,0.686,0.088,-0.892,0.923,0.217,0.805,0.848,-0.602,0.243,0.253,0.093,-0.312,0.414,-0.059,0.435,0.879,0.667,-0.601,-0.121,0.808,1.553,0.095,0.911,0.874,0.771,0.485,-0.369,0.785,1.012,0.656,0.551,0.852,0.266,0.382,0.133,1.377,0.579,0.234,0.298,0.222,0.545,1.406,0.905,0.524,1.523
"6","Cuba","June",-0.049,-0.016,-0.069,0.006,-0.306,-0.716,-0.5,-0.163,0.258,0.259,0.062,-0.131,0.351,-0.148,0.309,-0.993,0.121,0.388,0.273,0.539,0.7,0.387,0.417,-0.263,0.636,0.057,0.93,0.42,0.619,0.565,0.752,0.656,0.75,1.206,1.196,0.332,1.07,1.571,0.766,0.982,0.886,0.508,0.64,1.402,0.402,0.68,0.985,0.576,0.293,1.593,0.764,0.769,0.551,0.579,1.063,1.219,1.388,1.027,1.866
"7","Cuba","July",0.201,0.537,0.122,-0.051,-0.324,-0.172,0.067,-0.078,0.528,-0.157,-0.087,-0.093,0.153,-0.144,-0.306,-0.164,-0.097,-0.097,0.159,0.316,0.295,0.134,0.526,-0.271,0.109,0.32,0.923,0.487,0.145,0.338,0.636,0.44,0.601,0.207,0.361,0.254,1.121,1.36,0.88,0.809,0.449,0.769,0.668,0.713,1.01,0.96,0.776,0.205,1.263,0.788,0.575,0.465,0.068,1.324,1.398,1.412,1.484,1.2,1.315
"8","Cuba","August",0.158,0.088,0.136,0.065,-0.169,0.148,-0.286,0.027,0.119,-0.201,-0.191,-0.073,-0.264,0.012,0.206,-0.309,-0.056,-0.118,0.387,0.212,0.235,0.462,0.301,-0.108,-0.083,0.128,1.032,0.366,0.338,0.686,0.405,0.411,0.863,0.437,0.196,0.047,1.154,1.419,0.496,0.731,0.924,0.789,0.664,1.143,1.126,0.588,0.669,0.178,1.088,1.096,0.71,0.372,0.244,0.624,1.548,1.409,1.466,1.174,1.259
"9","Cuba","September",-0.021,0.013,0.451,-0.122,-0.083,0.448,-0.121,-0.043,0.148,-0.391,0.054,-0.144,0.003,0.18,-0.209,-0.01,0.005,0.021,-0.086,0.148,0.364,0.416,0.211,-0.339,-0.099,0.367,1.14,0.269,0.453,0.639,0.388,0.233,0.633,0.393,1.326,0.23,1.255,1.035,0.957,0.073,0.512,0.565,0.909,0.82,0.71,1.051,0.611,0.143,1.192,0.618,0.736,0.681,0.833,0.507,1.567,1.307,1.291,1.161,1.277
"10","Cuba","October",-0.441,0.208,-0.634,-0.532,0.103,0.047,0.043,-0.025,0.396,0.21,0.161,0.236,-0.004,-0.492,0.147,0.051,0.04,0.184,0.267,0.904,0.466,0.187,0.371,-0.106,0.477,0.685,0.247,0.439,0.345,0.606,0.467,0.543,0.906,0.747,1.161,0.554,0.72,1.325,0.794,-0.118,1.058,0.828,1.084,0.35,0.235,1.337,0.065,0.478,1.58,0.548,0.433,0.519,1.115,0.503,1.426,0.916,1.044,1.156,1.831
