"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Cyprus","January",0.251,0.937,2.235,-3.006,0.08,1.554,-0.626,-1.226,-0.48,1.544,1.849,-1.466,-1.24,-2.175,-0.331,-0.115,-1.357,0.671,0.664,-1.001,-0.116,0.525,-2.442,0.857,1.207,0.729,1.12,0.227,-2.256,-1.643,0.067,-2.135,-1.156,1.904,0.702,-0.362,1.117,-0.021,1.401,-1.562,1.249,-1.337,2.1,-0.172,0.836,-0.129,-0.114,-1.687,1.1,2.295,1.168,-0.505,0.605,2.106,0.055,-0.559,-0.924,1.372,0.481
"2","Cyprus","February",-1.038,-0.431,1.478,-0.766,-0.129,1.649,-2.253,-0.526,0.534,1.498,-0.401,-2.252,1.293,-0.154,-1.266,-2.348,1.878,1.159,1.612,-0.925,-0.123,-1.865,-2.023,0.845,-2.115,0.902,1.614,-0.251,-1.056,-0.753,-0.411,-3.854,-2.336,0.151,0.781,0.74,-1.509,0.095,0.75,-0.775,0.924,1.947,-1.474,-0.214,-0.241,0.527,0.548,-0.663,0.81,1.929,0.793,-0.938,1.952,1.525,0.327,2.489,-0.181,2.678,1.019
"3","Cyprus","March",-1.058,2.202,-1.18,1.055,0.791,0.154,-1.839,-0.714,1.209,1.454,0.367,-0.101,-0.378,0.652,0.369,-0.48,-0.268,0.337,0.888,-0.512,1.147,-1.63,-1.28,0.224,-0.627,1.004,-3.211,-1.094,0.842,0.354,1.558,-1.972,-0.962,0.139,0.551,-0.374,-1.532,-0.813,0.823,-0.918,3.366,1.72,-1.426,1.546,1.082,0.779,0.549,3.162,-0.063,2.508,0.547,-0.846,1.711,2.104,1.423,2.132,1.209,3.157,0.504
"4","Cyprus","April",0.355,-0.563,0.26,-0.742,-0.618,0.819,-0.988,1.321,-1.579,1.797,-1.495,1.415,-0.562,-0.536,1.688,-0.376,-0.021,-0.365,0.57,-0.336,0.143,0.447,-0.489,-0.962,0.431,2.184,-1.328,0.347,3.613,0.4,1.04,-0.442,0.043,2.052,-0.588,-1.213,-1.976,1.627,0.714,1.282,1.787,-0.022,-0.131,0.449,1.066,0.935,-0.314,2.146,0.73,1.615,0.282,1.252,1.523,1.989,-0.168,3.063,1.259,2.805,-0.143
"5","Cyprus","May",0.532,0.559,-1.368,-1.634,-0.607,-0.406,-0.461,1.818,1.045,-0.404,0.641,-0.565,0.449,-0.486,-0.473,-0.115,0.612,0.968,0.039,-0.289,-1.363,-0.162,-0.008,0.747,1.173,-1.296,-0.609,1.039,1.468,0.247,-0.152,-0.472,-1.087,1.326,0.853,1.918,1.191,0.707,2.217,0.828,1.288,0.152,3.175,0.327,0.712,0.901,1.88,0.631,0.745,1.614,0.229,1,2.423,1.073,1.582,1.388,1.346,3.61,2.365
"6","Cyprus","June",0.084,0.499,0.401,-0.27,1.02,0.186,-1.144,0.297,0.889,-0.085,-0.066,-0.512,-0.595,0.093,-0.293,-0.655,-0.052,-0.023,0.69,-0.335,0.37,-0.377,-0.727,-0.259,-0.028,0.186,-0.433,0.27,-0.494,-0.063,0.16,-0.413,0.448,0.493,1.287,0.961,0.739,0.989,0.968,1.855,1.147,0.987,1.055,0.58,0.208,1.167,1.582,1.979,2.121,1.106,0.764,1.692,1.101,1.077,-0.403,2.516,1.405,1.813,2.467
"7","Cyprus","July",0.265,0.031,0.783,-0.425,0.135,0.008,-0.453,0.353,-1.038,-0.471,-0.602,-1.054,0.326,0.136,0.002,-1.115,0.754,1.072,-0.019,0.219,0.225,-0.788,-0.192,-0.398,-0.207,-0.048,0.647,1.879,0.463,0.369,-0.304,-0.683,0.5,0.083,0.522,1.025,1.019,1.511,1.252,2.273,1.052,1.757,1.374,1.15,1.14,0.72,1.921,1.624,1.821,1.241,1.391,2.582,0.833,1.16,1.055,2.075,2.746,1.813,1.636
"8","Cyprus","August",0.469,0.847,1.583,-0.5,-0.205,0.431,-0.052,-1.069,-0.428,-0.122,-0.378,-0.591,-0.314,-0.671,-0.741,-1.464,0.441,-0.994,-0.444,0.034,0.21,-0.287,-0.669,-1.265,1.021,0.273,0.337,0.849,-0.013,-0.018,0.095,0.486,0.742,0.699,0.697,0.78,-0.786,2.293,1.234,1.005,1.111,0.858,1.367,0.406,0.861,1.239,1.394,1.95,1.253,2.976,1.286,2.076,1.267,1.492,1.652,1.954,1.728,1.804,1.836
"9","Cyprus","September",-1.387,0.807,0.894,-0.939,0.084,-0.339,-0.531,-0.519,0.829,-0.27,0.199,0.576,0.365,-0.401,0.046,-1.109,0.174,-0.791,0.616,-0.564,0.439,0.594,-0.367,0.047,0.489,1.256,0.804,0.609,0.215,0.038,0.289,-0.042,0.161,2.495,0.384,0.304,-0.504,1.169,1.02,0.997,0.858,0.927,0.511,0.72,0.933,1.299,1.058,1.248,0.584,2.338,1.572,1.595,0.791,1.312,3.058,1.378,2.059,2.347,1.944
"10","Cyprus","October",-0.229,0.498,0.899,0.088,-2.245,0.789,-0.189,-0.57,-0.082,-1.404,-1.035,0.179,0.659,1.278,-0.353,0.017,-1.683,0.456,0.402,-0.089,1.288,0.133,-1.224,0.399,-1.752,-0.228,-0.829,-0.884,-1.216,0.864,0.898,0.674,2.448,2.922,-0.207,-0.883,0.073,1.294,1.243,-0.011,0.702,1.278,0.891,1.995,-0.532,0.364,1.637,0.495,2.306,1.674,0.003,1.842,-0.88,0.339,2.071,1.834,0.83,1.881,2.655
