"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Czechia","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04,4.701,1.025,-1.357,-1.224,3.451,2.901,0.626,1.831,1.954,0.437,-0.376,2.683,-2.227,6.192,4.44,-0.715,-1.997,2.015,2.862,1.297,3.725,3.774,1.701,-2.202,4.942,1.27
"2","Czechia","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.947,0.424,4.628,-2.81,3.292,4.499,-0.074,3.795,2.274,5.121,-2.336,2.127,-1.744,-1.002,4.295,4.039,0.518,-0.084,0.082,-3.463,0.098,4.296,1.457,4.569,3.06,-1.665,4.099
"3","Czechia","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.293,3.466,0.122,-2.719,1.872,0.684,2.503,1.647,1.827,2.504,1.812,0.548,-0.599,-1.638,3.163,1.287,1.106,0.976,2.007,3.575,-2.442,4.565,2.33,1.49,4.274,-1.01,3.852
"4","Czechia","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.927,0.613,0.959,0.617,-2.086,2.227,1.73,3.666,-0.063,0.579,0.28,1.823,1.837,1.487,3.339,0.855,4.726,1.211,3.604,1.431,1.462,3.158,1.015,1.168,0.205,5.853,2.525
"5","Czechia","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.263,0.759,0.345,0.823,1.403,1.643,1.688,3.099,2.564,3.299,3.365,-0.415,1.366,0.956,2.606,2.055,1.786,0.034,1.603,2.575,0.734,0.562,0.824,1.727,2.208,4.485,-0.923
"6","Czechia","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211,0.742,-0.796,0.745,0.551,1.553,0.136,1.905,-1.056,2.128,4.053,0.013,0.688,1.365,2.722,2.095,-0.28,1.096,1.693,1.492,0.748,0.915,0.971,2.177,2.921,2.679,5.282
"7","Czechia","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49,4.032,3.257,-1.017,-0.079,0.49,1.847,-1.031,1.449,1.848,2.058,0.533,1.373,4.612,1.646,1.265,1.695,3.19,-0.168,1.877,2.782,2.637,3.565,2.277,2.068,3.11,2.521
"8","Czechia","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354,2.117,1.082,0.495,2.109,0.929,0.588,2.239,2.439,2.409,4.218,2.009,-0.271,-0.727,1.392,1.359,2.302,0.885,2.125,2.4,2.049,-0.096,4.895,1.276,2.751,4.553,3.39
"9","Czechia","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.357,1.36,-0.661,-2.915,0.535,-0.043,3.397,0.338,-1.565,-0.562,0.751,0.424,1.703,3.136,-1.05,-0.639,2.058,-1.038,2.431,1.033,-0.375,1.594,0.78,3.681,-0.35,2.439,1.188
"10","Czechia","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,-1.27,2.573,0.971,-1.561,0.402,0.499,2.969,3.777,-0.658,-2.722,1.719,1.766,2.864,-0.513,0.858,-0.518,-1.386,0.502,0.146,1.774,2.744,0.089,-0.265,2.149,2.747,2.498
"11","Czechia","November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.225,2.455,-2.092,1.642,0.237,-2.489,-1.033,2.857,-0.914,2.143,2.215,0.579,-0.451,2.868,-1.076,1.748,2.879,2.08,0.337,2.143,1.251,3.27,3.383,0.169,1.08,1.986,2.636
"12","Czechia","December",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.312,2.101,-1.685,-3.35,1.754,-0.76,0.851,2.178,-2.389,-1.176,0.915,0.699,-0.193,3.378,0.438,1.589,0.039,-3.664,2.966,0.022,2.746,2.375,4.98,1.001,1.783,2.283,3.138
