"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Czechoslovakia","January",-0.562,1.938,-6.052,-3.432,1.72,-2.135,-0.295,-1.252,-0.703,-0.416,0.055,-0.714,1.379,3.351,4.794,1.482,1.655,1.708,-2.174,-2.074,-1.145,-1.62,5.047,2.052,-4.621,1.138,-4.642,4.588,2.761,2.596,2.461,2.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Czechoslovakia","February",2.791,-0.728,-5.618,-1.139,-3.773,4.943,1.316,1.62,-1.169,-1.427,1.398,2.789,1.56,4.174,0.576,-0.083,2.88,-1.051,-0.211,1.852,0.071,-1.073,-1.632,-0.237,-4.846,-5.434,-0.247,2.262,3.813,5.302,-2.816,2.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Czechoslovakia","March",3.102,-3.121,-2.285,-3.149,-0.906,0.175,2.083,1.088,-2.159,-1.622,-2.368,2.603,0.705,3.436,1.881,-2.524,3.649,1.768,1.686,-0.284,3.434,1.261,1.728,-0.815,0.087,-0.268,-4.688,-1.013,3.563,4.259,2.93,1.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Czechoslovakia","April",3.284,1.758,1.126,1.081,-1.044,2.013,-0.264,1.845,-0.269,-0.847,0.865,0.349,-1.475,-0.273,-0.371,0.191,-1.298,-0.978,-1.106,-2.125,-0.407,-1.937,2.043,-0.444,0.361,1.495,0.534,0.048,1.577,-0.15,-0.776,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Czechoslovakia","May",-1.311,-1.641,0.878,0.346,-1.524,0.628,0.733,0.397,2.507,-1.196,2.052,0.141,0.713,-0.95,1.374,0.167,0.336,-1.192,1.005,-2.333,0.735,0.775,1.638,-0.175,1.57,2.663,-1.319,1.515,0.669,1.241,-2.674,1.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Czechoslovakia","June",0.887,-1.821,0.579,2.437,-0.107,0.239,-0.399,1.03,-0.742,0.635,-1.115,0.18,-0.264,-1.972,-0.495,-0.112,0.303,-1.091,2.208,-0.845,0.942,0.617,0.197,-1.602,-2.157,-0.161,-0.136,-0.477,-1.156,-0.202,-0.735,1.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Czechoslovakia","July",-1.296,-1.595,1.476,0.618,-1.042,-0.719,1.761,-0.501,0.602,-0.232,0.362,1.138,-0.084,-1.22,0.679,1.225,-0.647,-1.683,-2.025,-1.523,-0.408,1.006,2.559,-1.558,0.295,-0.429,1.233,1.345,0.502,-0.394,1.714,1.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Czechoslovakia","August",-0.046,0.876,0.81,-0.873,-1.674,-0.58,0.339,-0.652,-0.667,0.089,1.754,-0.402,0.677,1.696,0.773,-1.899,-0.591,-1.506,-0.574,-0.212,0,1.041,1.144,0.017,0.593,0.733,-1.365,0.8,0.57,1.416,0.895,4.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Czechoslovakia","September",2.36,-0.733,1.369,-0.102,0.372,-0.171,1.595,0.151,0.35,-0.663,-1.84,-2.38,0.995,0.247,2.759,-0.857,-1.921,-1.269,0.39,-0.411,0.757,3.084,0.739,-0.256,-0.033,-0.768,1.847,0.187,0.863,-1.817,1.255,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Czechoslovakia","October",1.931,0.193,-0.304,-0.551,-0.878,3.58,2.306,0.419,0.949,-0.674,-0.622,-2.373,-1.368,-3.235,-0.357,1.331,1.382,0.385,-1.049,-0.382,0.565,1.068,0.174,1.473,-0.163,0.34,0.816,0.337,1.222,0.883,-0.807,-1.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
